姓,名,家庭手机,工作手机
天盛商务宾馆,,03913703888,3703666
鑫华快捷宾馆,,03916136777,
太极缘商务酒店,,03916100817,
温县龙源宾馆,,13939137122,
腾云宾馆,,03916131258,15538953962
太极苑酒店,,18973205213,13383916435
金谷穗快捷宾馆,,03916189997,
利民宾馆,,03916182188,13598546686
永鑫宾馆,,03916105558,
七沂宾馆,,03916107788,
天赐良友大酒店,,03916166655,18037046998
长城宾馆,,03913707666,
天天大酒店,,03916125333,
昆仑乐居商务酒店,,03916107999,
蓝梦大酒店,,03916195419,3705999
明泰招待所,,03916194282,
海旺信阳庄园酒店,,03916188888,6137777
黄金宾馆（太行路店）,,03916189116,
金都快捷宾馆,,03916169666,13782709706
万荣酒店,,03913828777,
美巢商务宾馆,,03913700000,
鸿昌大酒店,,03916182282,
王庭大酒店,,03918377666,8377222
华玉宾馆,,03916161196,
中豪假日酒店,,03916176888,
银苑大河商务酒店,,03916182222,
海旺弘亚温泉大酒店,,03916178828,6178838
太极明珠商务酒店,,03916126222,
沃莱商务宾馆,,03916186558,6181558
锦城宾馆,,03916111311,
地达宾馆,,03916182015,
银河快捷宾馆,,03916136868,
金世纪宾馆,,03916129997,
君怡明珠酒店,,03916176666,6171616
皇冠商务快捷酒店（温县店）,,03916186000,
大河之星主题酒店,,03916128888,
太极主题精品酒店,,03916182288,
帝苑大酒店,,03916161888,6161889
金帝宾馆,,03916112238,
香格里宾馆,,039110106666,6182288
富法大酒店,,03916119688,
溢香大酒店,,03916184688,
发财旅社,,03916192359,
现代宾馆,,03916112189,
滨河商务酒店,,03916423456,
佳信招待所,,03916182689,
新城招待所,,13782640459,
平安招待所,,03916197675,
鑫源宾馆,,03916111278,
小象美农家院,,13721461025,
祥龙大酒店,,039183796666,
新鸿招待所,,03916111683,
金鑫宾馆,,03918312544,13782686788
