姓,名,家庭手机,工作手机
蓝天家庭旅馆（一店）,,18253653467,
新金马宾馆（金马路店）,,05362293536,
隆泰宾馆,,05368637838,
九州客房部,,15064646759,
家兴客房,,15864560415,
诚信宾馆,,15966118448,
开元旅馆,,15314417668,
恒隆旅馆,,05367252363,
健泰宾馆,,05362457275,18663673461
春意宾馆,,13864612393,
世花短租宾馆,,13070799091,
永福旅馆,,05367262093,
大众宾馆,,05366013911,15069628884
红苹果宾馆,,05368131110,
馨怡宾馆,,05368832815,
久隆宾馆,,15269658078,
馨泰旅馆,,13963678710,
顺平宾馆,,15964316012,
潍坊富得利旅馆,,05368255259,13468472157
依桢宾馆,,05368053103,13780893485
瑞丰宾馆,,05362257798,
鸢城旅社,,13573614892,
相洲宾馆,,05365229091,13081653398
民意宾馆,,15692362597,
向阳商务宾馆,,05362222395,13280700338
和悦商务宾馆,,17753632880,
富阳宾馆,,05362969266,
紫金花客房,,13853699279,
舜天宾馆（福寿东街店）,,18653651115,
同心宾馆,,13869636060,
平安外贸招待所,,15864307412,
汇鑫宾馆,,13081455787,
华鑫大酒店,,05366581088,
金润大酒店,,05364297999,4223561
百惠宾馆,,13153682309,
鲁东商务酒店,,05366107776,6107779
豪润公寓客房,,05362228898,
日升昌宾馆,,15253668180,
海化客房,,18663653652,
交运商务宾馆,,15064625064,
潍坊大酒店,,05368232188,
潍坊大洋生态村,,05368110369,
家合旅社,,13455649191,
乐佳缘宾馆,,15069612707,18353689799
月亮湾宾馆,,18660633021,
天成宾馆（围子粮管所东）,,13081683129,
怡欣宾馆,,15165361000,
佳悦宾馆,,05368054231,13792600941
鸿缘宾馆,,13854441073,
顺达旅馆,,05362967710,13792678070
金梦园客房,,13356730915,
煜鑫宾馆（二店）,,05367518528,
华铃宾馆,,13475699705,
滨河商务旅社,,18765683138,
金天商务客房,,13475696687,
天润宾馆（西沿街店）,,13465653811,13465657225
意和宾馆,,18253639577,
东方宾馆（利群路店）,,13361572533,
东关客房,,13475696687,
睡吧,,15053658449,
东新宾馆,,13964739118,
宗知宾馆,,13516368295,15095104880
鑫江商务客房,,05368365072,
悦客栈,,05362227898,
青年旅社（后门街店）,,13963658788,
伊春商务客房,,18866736941,
今明宾馆,,05368235950,
潍坊朋友旅馆,,13869647455,
宝华宾馆,,13706468633,
花缘客房,,13963693263,
明珠宾馆（和平路）,,05362100963,
华新旅馆,,13210751222,
翠竹园招待所,,13791600876,
康安宾馆,,13153646365,
鑫翔宾馆,,15169541525,
聚鑫商务宾馆,,13562632676,13506471617
秀芬商务宾馆,,15094992034,
鑫汇源宾馆,,15318969985,
草堂春商务宾馆,,15315269017,
鸿泰宾馆,,05365171573,
东外环家庭旅馆,,13081443923,
新天地宾馆,,13793627401,
瑞利宾馆,,18553631840,
西城宾馆,,05365220173,
非凡宾馆,,15854431831,
宜家宾馆,,15963662518,
游子驿站,,05362222203,
成中旅馆,,15589695118,
三利宾馆,,05367873936,
市直机关招待所,,05362291690,
苇湾社区旅社,,13455687928,15610258827
乐嘉商务宾馆,,15965099718,13356701378
顺兴宾馆（机场路店）,,053615064619,15064619901
雅洁客房,,05362227198,
瑞昌宾馆,,05363761150,
四海宾馆（海岱路店）,,05363284833,
静雅宾馆,,05368132999,
贝宁宾馆,,18663679449,13455659648
唯家客房,,05365175251,13165362046
景胜商务宾馆,,05364865558,
街客快捷酒店,,05363856000,
星空精品酒店,,05362228880,
街客快捷酒店（火车站店）,,05363501567,13210740600
祥和宾馆,,13853610958,
鑫海宾馆,,05368988621,
阳光宾馆,,05367215059,13173123596
东门客栈,,05363232401,
阳春宾馆,,13953688375,
万隆商务宾馆,,05365224448,13589195499
双竹缘宾馆,,15966112773,13869619158
惠和宾馆,,15689824727,
汇丰商务宾馆（东风东街店）,,18764695948,
金阳光客房,,13258063552,
鑫雅客房,,05368213100,
宜家宾馆,,05367117728,
林旺宾馆,,05362222673,13371058701
鲁穗旅社,,05368656850,8650506
永顺宾馆,,05366013331,
圣龙宾馆,,05365235738,
温馨旅馆,,18706671790,
温馨旅馆（北营街店）,,05363233357,
和平宾馆,,05366120106,
心悦宾馆,,15265640516,
恒天宾馆（银枫路店）,,15053602551,13721986903
春晖宾馆,,05362195877,2195899
天祥宾馆,,05365853423,13656365617
正阳宾馆（四平店）,,05368811790,15165615487
洪涛商务宾馆,,13563683927,
老田客房,,18763658166,
七点主题客房（东城全福元店）,,05365898777,
广进宾馆,,15963442714,
伟业客房,,05367580678,
冉冉商务宾馆,,15763002127,
天天客房,,18863652662,
聚朋缘宾馆,,05365170098,15964348828
晨光客房,,18654720087,18053639487
奥鑫宾馆,,05368389838,
茶艺旅馆,,13188864766,13070756677
永顺宾馆,,15725621265,
月相朋宾馆,,18765169288,
昕泰宾馆,,05368691636,
足疗宾馆火车站店,,18678091908,
早春园南巷家庭旅馆,,18364600409,
潍水客栈,,05362222803,
荣源宾馆,,18764615127,
佳美宾馆,,05367657583,
金江宾馆,,15063666731,
兴新商务宾馆,,13406653793,
阳光客房,,13963672007,
龙湾客栈,,13406672562,
渤海宾馆,,05368668912,
鑫都商务宾馆,,05368212202,
足疗宾馆（北方茶都店）,,05368391186,
彤鑫佳宾馆,,15866133596,
舒心旅馆,,05362105877,
居家宾馆,,15966103338,
天天客栈,,05366506222,
朝阳宾馆,,13953662710,
兴泰旅馆,,13964798963,
聚鑫宾馆,,13792660038,
