姓,名,家庭手机,工作手机
工招宾馆,,03756100618,
红玉红快捷酒店,,03758129588,
御景快捷酒店,,03756101555,
观湖苑家庭公寓,,13461207598,
佳丽快捷宾馆,,03758369518,18837537383
至家宾馆,,03758121777,13461165777
林泉酒店,,15036863352,
厚德酒店,,03756108339,6108239
华都宾馆（舞钢市第二招待所店）,,03758128576,
云梦宾馆,,03756106669,
双江假日酒店,,03753302789,
国凌商务酒店,,03758130688,13639813236
锦江快捷宾馆,,03758258555,
君之堡快捷酒店,,03758122666,
舞钢丽晶快捷酒店,,03757281888,
至青春时尚主题宾馆,,03758255766,
奥利丰快捷酒店,,03758139555,
中泰商务酒店,,03758369999,
水月洞天假日酒店,,03758102666,
蒙古包快捷酒店,,03758181069,13803957182
欧菲商务宾馆,,03758129555,7281222
新阳光商务酒店,,03758379398,13703903406
锦绣大酒店,,03757355555,6108999
鑫鑫宾馆,,03758181769,13523270627
尚客优连锁酒店（舞钢朱兰建设路店）,,03758138666,
龙湖商务酒店,,03758286666,8192999
秀甲宾馆,,03758101118,13783246361
舞钢大浪淘沙休闲会馆,,03758200666,8200777
泉清阁主题宾馆,,03756106111,
美嘉酒店,,03756108888,
易居快捷宾馆,,03758101111,
舞钢市美如家快捷宾馆,,03758259688,
九号公馆假日酒店,,03758106666,
民政快捷酒店,,03757672999,
紫悦轩快捷酒店,,03758195999,
二郎山农家院,,18317627613,
南湖庄园,,03758338222,8366707
华建之星快捷酒店,,03757289888,
凤凰愉家精品酒店,,03757231666,
龙圣快捷酒店,,03758136726,
红山宾馆,,03758331538,
蓬莱宾馆,,18937580922,
三和快捷宾馆,,03758189366,
柏龙皓苑酒店,,03758181111,8189668
新星宾馆,,03758185333,
兰兴宾馆,,15037572168,
舞钢大酒店,,03758116999,
柏都家世界商务酒店,,03758253777,
白天鹅大酒店,,03758111413,
天元宾馆,,03758182016,
越秀快捷酒店,,03758166888,
灯台架假日酒店,,15937583775,
水利局招待所,,03758160869,
群英之星宾馆,,03757280999,
金枕头时尚主题宾馆,,03758101999,
文明宾馆,,03758181236,
云鹏宾馆,,03753308661,
山河宾馆,,03758187536,
山城宾馆,,03758187538,
盘古山庄,,03758365555,
几时重旅馆,,15237532185,
福临门宾馆,,13837580912,
万客隆宾馆,,15994031918,
山河园宾馆,,03758208108,
河滨旅馆,,13937583317,13409451876
琳苑宾馆,,03753306333,
宜居宾馆,,03758149359,
舞钢大酒店商务休闲宾馆,,03758205006,
新金龙宾馆,,13939953323,
寺坡宾馆,,03758183537,
山湖渔村,,13164201918,
福馨宾馆,,03758132880,
长虹旅馆,,03758183231,
公惠招待所,,03758113019,
火车站宾馆,,13733919930,
舞钢市小江南商务宾馆,,03758367777,
北港湾宾馆,,03758310003,
满意宾馆,,18337553368,
家家快捷宾馆,,18937564229,
大转弯宾馆,,03758143856,15837555029
舞钢宾馆,,03758117666,
教育局招待所,,03758129886,
舒心旅社,,13703401069,
福乐园宾馆,,03758135883,
阳光宾馆,,15886758060,
