姓,名,家庭手机,工作手机
憩园宾馆（古贝春大街店）,,15953431853,
华骏快捷酒店,,05346281555,
天成快捷酒店,,05346213666,15305346670
泰昇商务酒店,,05346761333,
豪泰商务宾馆（汽车站店）,,05346769998,15998758576
玲珑宾馆,,05348300888,
天成宾馆（中心店）,,05346287777,15345458710
欣隆大酒店,,05346761111,
品格快捷酒店,,05345075777,
武城宾馆,,05346767618,
兴隆商务宾馆,,05342176699,13375449678
长城商务宾馆,,05346762777,
武城星怡商务酒店,,05346513888,
供销宾馆（历亭路店）,,05346768777,18453471678
9号商务宾馆,,05346562678,
四女寺景区宾馆,,05346389666,15965906161
宏图宾馆,,05346692111,
阳光假日商务宾馆,,05348126777,
豪庭快捷酒店,,05346766789,
楠杉商务宾馆,,13639475177,
金水湾生态园,,05346372678,
中天宾馆,,05346658186,
锦绣园宾馆,,13734342831,
晟峰商务酒店,,18353423883,
金马商务宾馆,,13256257999,
华泰宾馆,,05346289999,13791369656
丽都商务宾馆,,05342171588,
泉兴宾馆,,05346692033,
汉轩快捷商务酒店,,05344621111,
裕丰宾馆,,18963016383,
和谐商务宾馆,,05346212417,
老城宾馆,,05346311290,
同太商务宾馆,,05342177199,18005344018
鸿运旅馆,,15066521609,
青年宾馆,,13515444420,
春城宾馆,,18953489306,
艾嘉宾馆,,13516306952,
东海宾馆,,05346658765,
鑫海酒店,,05346690565,
伟林旅馆,,13573403929,
迎宾旅馆（古贝春大街）,,05346289798,
四女寺旅馆,,15066600007,
永安旅馆,,05346311278,
中心宾馆,,05346219488,
爱家商务宾馆,,05345077789,
禧泽宾馆,,05346692788,
南门旅馆,,05342171826,
锦绣园商务宾馆,,13734342831,
裕星宾馆,,13583409136,
憩园旅馆,,15953431853,
永顺居宾馆,,05342174333,
净雅大酒店,,05345592888,
聚缘宾馆,,15820060018,
聚鑫商务宾馆,,05342171678,
庆军宾馆,,15853498262,15998758567
万福旅馆,,18866076162,
车站宾馆,,13792212222,
向阳宾馆,,18266699149,
新印宾馆,,05342172236,
凯悦商务宾馆,,05342171789,
鑫光旅馆,,13639475925,
文生旅馆,,05346696341,
