姓,名,家庭手机,工作手机
公园宾馆,,05974832086,
金池商务宾馆,,15880375085,
祥云公寓,,13599613615,
红东商务宾馆,,05974823838,
智慧宾馆,,13959041556,
鑫辉宾馆,,05974898796,
成功宾馆,,05974824191,
南桥商务酒店,,05974896000,
君缘商务宾馆,,05973339777,
金城宾馆,,05974866966,
绿源宾馆,,05974868666,
龙运快捷酒店,,05974821666,
阳光清境商务宾馆,,05974828866,
金都商务宾馆,,05974891888,
真味馆酒店公寓,,05974866969,
新好景公寓,,05975351998,18250124671
骑记青年旅馆,,05974888318,
曼哈顿城市酒店,,05973333888,18859039755
新园宾馆,,05974898822,
星星旅馆,,18250025220,
彬彬招待所,,13859535182,
中凯国际酒店,,05974896888,
紫金大酒店,,05973239666,
天新商务宾馆,,05974836222,
至尊大酒店,,05974896999,
九珍宾馆,,05974822123,
璐名大酒店,,05974898000,
金客莱宾馆,,05974867888,
来源宾馆,,05974584581,
邓记岩前宾馆,,05974587335,
三丰旅馆,,05974823488,
鸿发宾馆,,05974893028,
十方鹅山旅馆,,13459726426,
龙岩武平县友谊酒店,,05974550962,
十方情满楼宾馆,,05974563043,
三星宾馆,,05974560819,
世聚酒店,,05974579995,
十方建兴宾馆,,05974563999,
十方三龙宾馆,,05974562398,
荣成宾馆,,05974588974,
赣汇旅馆,,05974835810,
三三招待所,,05974586766,
鑫都宾馆,,05974892688,
新丰宾馆,,05974581138,
园丁旅馆,,05974828478,
河东金源宾馆,,05974836828,
顺发大酒店,,05974869883,
万和大酒店,,05974866689,
龙岩邮政宾馆,,05974861866,
联发大酒店,,05974836168,4835168
东留乡东仁宾馆,,13859521270,
建豪宾馆,,13600994125,
龙门宾馆,,05974827651,
东城宾馆,,05974866602,
新龙宾馆,,05974561811,
鑫源宾馆,,05974863885,
陆峰宾馆,,05974566682,
食里香酒店,,05974827235,
