姓,名,家庭手机,工作手机
豆捞时尚酒店,,03917297399,
万佳主题宾馆,,03913818333,
海为家旅馆,,03917281106,13839185726
天马宾馆,,13849595572,
尚品商务宾馆,,03913796555,
喜来宾馆,,03917275592,13403991661
新时代快捷宾馆,,03913780000,
桔子主题宾馆,,03917687777,
宜家快捷宾馆,,03917223456,7297399
恒通宾馆,,18839161961,
焦作星期天网络宾馆,,03916316222,18037049025
得月楼,,03917298766,
朋来宾馆,,13938144207,
宏达快捷酒店,,03917596888,
尚都精品酒店,,03917578888,
金元宝商务酒店,,03912538888,
昆仑乐居商务酒店（焦作武陟店）,,03916317999,7640000
浩扬商务酒店,,03917234567,
四通快捷宾馆,,13838903250,13839168953
江天快捷宾馆,,03917299456,
美宜家连锁酒店（黄河大道店）,,03916314999,
铂金宾馆,,03913813399,15239111123
五洲网络宾馆,,03917281278,
木栾大酒店,,03917559666,7559233
星期六商务宾馆,,03916318666,7267010
瀚海国际酒店,,03913799999,
昆仑乐居商务酒店（武陟沁河路店）,,03913818999,
春梅家庭旅社,,13938139943,
鑫源快捷宾馆,,15664059881,15514755918
尚客优连锁酒店（武陟迎宾大道店）,,03917259888,
同乐招待所,,15639110856,
绿宇公寓,,03913798885,18339702888
玖壹商务宾馆,,03913799191,
贝森商务快捷宾馆,,03917268855,
圣佳宾馆,,15539113336,
锦辉宾馆,,03916315666,15713918899
祥瑞宾馆,,03912041297,
振华宾馆,,03917262277,13721499152
西滑封迎宾馆,,03917563777,7567999
康乐主题宾馆,,17083914000,
燕子宾馆,,18939174033,
宜安快捷宾馆,,03912041759,13938183817
爱尚宾馆,,03917282866,17772105986
惠普宾馆,,03917268066,
华都温泉酒店,,03917662555,
怀庆居宾馆,,03917298505,
沁园春宾馆,,03917588755,13721481885
尚客宾馆,,03917666188,
悦园客栈,,13513817172,
温馨宾馆,,13673914552,
未来假日酒店,,03917299999,15939129999
昊云旅社,,15893053580,
温馨旅社,,03917285598,18639173773
兴华宾馆,,03917294685,18039125002
丽都快捷宾馆,,03917598666,
鸿运网络宾馆,,13203945527,18639151076
舒悦宾馆,,03916313838,
新和平宾馆,,03917286383,
东方商务酒店,,03917233116,7233888
中星之宝,,18638758750,
武陟宾馆,,03917291039,
德龙旅馆,,03917293119,
吉祥宾馆,,18739111868,18790203105
黄淮招待所,,03917268518,
焦作市武陟县兴华集团公司,,15838972345,
祥和宾馆,,15839119786,
长恒招待所,,03917295455,
阳光宾馆,,13603449876,
豫鑫快捷酒店,,03913816888,
万豪宾馆,,03918361988,13462817567
豫锦食尚酒店,,03917233888,
香云阁招待所,,13598521991,
天虹旅馆,,03913818673,
一分利好运来商务会所,,13137180291,
永恒大酒店,,03917567087,
大益浴池招待所,,03917562568,13569168590
东港酒店,,03917593399,
鑫莎商务酒店,,03912096915,
馨月湾宾馆,,03917206198,
鑫东方温泉宾馆,,03916310000,
和谐宾馆,,03917207885,
