姓,名,家庭手机,工作手机
建浩旅馆,,07743885522,
新农村宾馆,,07748516308,
园湖大酒店,,07742466655,
柏雅湾假日宾馆,,07742571518,
华安旅馆,,07742838910,3910208
富友宾馆,,15777443371,
泽民宾馆,,07742833336,3916666
常源宾馆,,07743856686,
华轩旅馆,,07747082988,
万隆宾馆,,07743986182,13878405500
凤凰宾馆,,07743868298,
客来缘宾馆,,07746019600,
加州旅馆（西环路店）,,07743880886,
富和旅馆,,07742689630,
富都宾馆,,07742592188,15878268956
湖畔商务宾馆,,07742461189,2461192
佳旺旅馆,,07745720868,18276450018
维景商务宾馆,,07742666555,
万鑫宾馆,,07743905988,
隆源宾馆,,07742570338,
建福主题宾馆,,13635113408,
鸿祥客栈,,18589843582,
富会商务经济宾馆,,07742672988,
佳程宾馆,,07743953966,
凌旭商务宾馆,,07742030698,13557348790
远洋时尚酒店,,07742485550,
九腾商务宾馆,,07747291555,
温馨宾馆,,07742585028,18977469771
精途酒店,,07742028123,2038123
皇廷宾馆,,07742477870,
旺角长隆酒店,,07742592118,13481405152
洲洋宾馆,,07747281500,
湘鑫宾馆,,13878407697,
红领宾馆,,07746015108,
港龙商务酒店,,07743139989,
落脚点家庭式公寓,,13737886554,
欣龙商务酒店,,07743916888,
金城宾馆（新兴三路店）,,07746025228,6025218
二号别墅宾馆,,07743827222,
格子微酒店（梧州中山路店）,,07742022877,
蓝宝商务宾馆,,07742505998,
日新商务宾馆,,07747582288,
尚客商务宾馆,,07743999580,
祥泰商务酒店,,07743905555,3906666
中大宾馆,,07747016888,
勃森城市便捷酒店,,07742520168,
蓝天大酒店（新兴二路店）,,07743853818,18579882081
龙顺商务宾馆,,07743925998,3914888
大富贵商务宾馆,,07743950888,3950666
喜相逢宾馆,,07742570688,2570588
腾隆宾馆,,07747299333,
文华大酒店,,07747278888,
时尚快捷酒店,,07742834188,2834288
通和宾馆,,07742515093,
18精品酒店,,07743920668,
华厦大酒店,,07748518588,
夏威夷假日宾馆,,07742068888,
阿里香大酒店,,07748232780,8513333
优程八桂酒店（岑溪店）,,07748111333,
银河酒店,,07746280280,13907742940
龙都大酒店（三龙大道店）,,07743925333,3920188
馨苑商务宾馆,,07747279088,
富丽华宾馆,,07742531158,
清华苑大酒店,,07743822588,
金海悦酒店,,07743925688,
东信宾馆,,07747298888,
梧州伯豪酒店,,07743953666,3953668
梧州伯豪江景大酒店（原白云江景大酒店）,,07743953555,3953355
岑溪大酒店,,07748222010,
维尼便捷酒店,,07747555666,
假日之旅快捷酒店,,07743902118,
小城之旅酒店连锁（百花洲店）,,07742585566,
7天连锁酒店（梧州金晖汽车站店）,,07743920888,3920777
汇创大酒店,,07743998888,
岑溪四季酒店,,07748224444,
牡丹大酒店,,07747288688,7285788
阳光100时尚酒店,,07748157000,
城市便捷酒店（梧州蒙山永安古城店）,,07742532888,2532999
城市便捷酒店（梧州旺城广场店）,,07746039333,
梦憬宾馆,,07743859991,
金粤大酒店,,07742466666,
耀华宾馆,,07746285009,2531988
佛子大酒店,,07742726088,
来往时尚连锁酒店（旺城店）,,07742845138,2816113
雅斯特酒店PLUS（梧州龙湖广场店）,,07742696666,2690888
凤凰城会所客房,,07742666666,
长海酒店,,07745848888,
亿宝宾馆,,07742573653,
青年旅馆,,07742829727,
江畔宾馆（原西江招待所）,,07742688197,
7天连锁酒店（梧州河东步行街店）,,07743925666,
怡裕商务宾馆,,07743891433,
