姓,名,家庭手机,工作手机
晓容客栈,,15070330811,
田园客栈,,13507033360,
婺源石城贤雅居,,15270531839,
悠然宾馆,,15270531663,
洪家鑫鑫客栈,,13407931857,
江湾竹楼砚膳居,,15870964554,
上饶黄源柴火农家饭,,18720354560,
中南山客栈,,15216078158,
山水民宿,,18926005281,
老班长客栈（婺源店）,,18770338605,
江湾砚君楼客栈,,13576330058,
99木屋客栈,,13576340881,
思溪俞老师客栈,,13979387049,
迎宾客栈,,15079368902,
李坑成华农家客栈,,15216001507,
西冲客馆,,13576359433,15079331658
桥头农家乐,,15297930725,
好再来农家乐,,15932906258,
江湾高速住宿,,13367033747,
居易堂（壹店）,,15297931055,
巧云农家乐,,13576328621,
上饶石城观景楼,,15779328599,
婺源人家民宿,,15215152358,
广居堂山庄,,13979324372,
杏林居,,13479328534,
婺源鹤溪农庄,,18720385178,13367031105
通济桥客馆,,15079395150,15079354742
双和顺客栈,,13870357486,
涛峰客馆,,13870311846,
江庄土鸡馆客栈,,15374253779,
江湾农家住宿,,13879366091,
慧祥客馆,,15970378025,
回龙居农家乐,,15870983336,
茶缘居酒店,,13818791281,
婺粤宾馆,,13979314995,
清华百和客栈,,15779946699,
红秋人家,,13958940956,
温馨客栈,,13340037612,
田园人家,,13979360302,
庆源高山客栈,,15779328590,
一家亲农庄,,15879304276,
菊芳客栈,,13970333675,
灵岩老兵客栈,,13576304748,
思溪延村农家乐,,15759230068,15180364690
缘园客栈,,13247099940,
凤巢酒家,,13870327627,
广场人家客栈,,07937399008,15807031096
君悦客栈,,07937252282,13136145118
龙达宾馆,,18162133596,
江岭丽丽农家乐,,15952726594,
李坑苗圃客栈,,18270492388,13979349966
江岭蘭缘农家客馆,,13576317622,
老家婺源菜客栈,,13879387567,
江湾浸歙斋,,18379390538,
江岭花溪客栈,,18907933401,
理坑宾馆,,07937247828,13879313713
婺香客栈,,07937298142,15946830769
清华和芳客栈,,13317033660,
思溪有间客栈,,13367034345,13911014603
花心情客栈,,18707933504,
篁岭那滋味农家乐,,15970359293,
李坑清溪客栈,,18279363839,18170334170
田园小菜客栈,,15216082039,
长溪河畔人家,,15979369891,
壹号客栈,,13979315294,13979387200
古月客栈,,15170380898,
庆源99号客栈（平湖店）,,15170380898,
游菜花客栈,,13755318121,13755349058
金世界宾馆,,18270308212,13780195629
萧江宾馆,,07937252083,15779923163
绿源宾馆（通源路店）,,15870983158,13576340783
小叶之家,,18797930991,
上饶婺源县清华镇桥缘饭店,,13755377291,
田园宾馆,,07937242908,
旺来客栈,,13767339395,
李坑老李农家乐,,13697030063,
又一村湖北客栈,,15879340325,
婺源江湾富山一楼,,07937292365,15270369010
迎都宾馆,,07937348620,13197937699
金乐客馆,,13979315041,
温情商务宾馆,,18357191578,
云溪农家乐,,15946885064,
学苑快捷酒店（婺源北站店）,,18370016876,
佳客隆酒店,,07937370279,
金庭快捷酒店,,07937363899,
