姓,名,家庭手机,工作手机
旺君阁宾馆,,07102095593,
友间舒舍,,13972098288,
嘉帷宾馆,,15971029577,
鸿鑫宾馆,,13227593309,
三星宾馆,,15090975518,
广升宾馆,,18727022029,
阳光宾馆（美食文化街店）,,13797582668,
火车站阳光宾馆（卧龙新港店）,,13797582668,
新港宾馆,,07103268562,
福魁宾馆,,18972221557,
欣怡宾馆,,15271097691,
尚唯爱酒店（万山店）,,07102557777,
丽都宾馆,,07103064126,
宇航宾馆,,13597491359,
乐馨宾馆,,18986330258,
缘聚住宿,,13207239633,
梦甜宾馆,,15271123410,
阳光酒店,,07103343867,18507275955
中国梦宾馆,,18672157729,
美琪宾馆,,15872208946,
景一帆宾馆,,07103355553,
康家宾馆,,13995788592,
佳乐宾馆,,07103769218,17771030667
胡家公寓,,18071560122,
雅客喜客栈,,18986391615,
美乐宾馆,,07103046661,
恬恬宾馆,,15172575055,
佳源宾馆,,15872268722,
盛苑宾馆,,13797565043,
新跃旅馆,,15391571728,18986375972
金苑福宾馆,,13100778797,13647109799
幸福旅馆,,07103211229,
金土地宾馆,,13707276744,
景盛假日酒店,,07102539777,
博客住宿,,07103482846,
镁天招待所,,13597519918,
宾朋宾馆,,15997202112,
襄江宾馆,,13647101648,
襄阳之夜宾馆,,13476342160,
一朵宾馆,,07103223339,
龙腾宾馆,,07103596508,
清江宾馆,,07103498176,
玉兰时尚旅馆,,07103469333,
旺嘉商务宾馆（长安市场店）,,07102810991,
襄阳两站宾馆,,15571043912,13697111498
文化宫宾馆,,07103234502,
华雅宾馆,,07102788688,
怡美家快捷酒店,,07103907227,18995599087
久悦商务宾馆,,07103258877,
客一家宾馆,,07103801188,
海兴顺商务宾馆,,07102391236,
吉祥宾馆,,13972051377,
帝缘商务宾馆,,07103235576,
荣凤宾馆,,07103345988,
和福家宾馆,,07103068780,13986388826
合佳宾馆,,13972093452,
凯吉商务宾馆,,07102357868,
港湾宾馆,,13165646528,
红日宾馆（航空路店）,,07103767402,
丹桥商务宾馆,,07103455577,
浩宇宾馆,,18972242327,
金荣誉宾馆,,13677103938,
天缘住宿,,13597463084,
福家星宾馆,,07102812173,
秦缘宾馆,,07103333200,
铁路招待所,,13797563416,
