姓,名,家庭手机,工作手机
公盂前坑美丽姐姐的家,,057687951847,18506555105
乡野人家住宿,,057689320351,
前坑老柯农家乐,,13819662590,
缦野乡舍农庄,,057687797227,15557636261
双景宾馆,,15067623469,
大同宾馆（城北东路店）,,057687775019,
仙居美景农家乐,,18658663996,
天天冉酒店,,13736256381,13282617717
神农居宾馆,,13758614612,
百家姓农庄,,13758614612,
金海湾宾馆,,057687927666,
泰盛农家乐,,18658321010,
范范的家民宿,,15268639522,
听溪居客栈,,18158583358,13506764845
逸闲客栈,,13968483827,
欢迎回家公寓,,13058932553,
紫荆宾馆（花园路店）,,057687836301,
广兴宾馆,,057687821118,
仙人居宾馆,,057687772038,
天一宾馆,,057687811978,
伟福商务宾馆,,057687756888,
德根宾馆,,15967052636,
南苑e家（南门店）,,057687836888,
希尔顿大酒店,,057687779788,
高迁人家民宿,,13575848009,
观景商务宾馆,,057687632888,87633229
恋家客栈,,13566693881,
廷豪商务宾馆,,057689379888,
南兴园宾馆,,057687813808,
名仕商务宾馆,,057687729888,
仙居大酒店,,057687772208,
松林阁客栈,,18906575616,
友缘客栈,,15988991590,
宏都明珠大酒店,,057687772111,
仙乡人家,,13968569329,
天府大酒店,,057687821133,87821155
南苑e家（河埠路店）,,057687816666,
新海阔天空宾馆,,057687775526,15057290569
龙家客栈,,057687931889,13665781233
万德兰商务酒店,,057687826888,
佳人宾馆,,057687931900,
私人空间主题酒店,,057687890777,
德亨概念酒店,,057687957777,
仙豪主题酒店,,057687088788,
锦江之星（仙居环城北路店）,,057687781888-0,
禾居苑客栈,,18806551996,
米兰主题酒店,,057687686666,
杨梅精品酒店,,057687723456,
迎君客栈,,18817682505,
CC印象酒店,,057687967777,
爱尚主题酒店,,057687662888,
宸琚客栈,,057687951856,
柳叶轩民宿,,13666451297,
189商务宾馆,,057687832666,
骑士主题酒店,,057687932666,
意家大酒店,,057687730888,87767777
青禾墅民宿,,18858656761,
记忆农家住宿,,057687099188,
豪升大酒店,,057689385555,
南苑E家主题酒店（廊桥店）,,057687826666,
迎晖宾馆,,057687786985,18806533237
华泰精品酒店,,057689322788,
芬芳农家客栈,,15968605343,15888605450
乡间小憩民宿,,18869990038,
叶秦宇客栈,,13626605537,
阿耐斯酒店,,057687729999,
铭豪快捷酒店（仙居客运中心阳光店）,,057687821666,87716666
铭豪风尚酒店（环西南路仙梅店）,,057687096777,87096666
玉龙宾馆,,057687821768,
格林豪泰快捷酒店（仙居客运中心店）,,057687831888,
铭豪快捷酒店（城北店）,,057687718111,87761111
桔子水晶酒店,,057687831666,87831777
奔月居农家客栈,,15325603170,18067738560
神仙居月色田园民宿,,18869960444,13058697715
神仙居华娇客栈,,15858685172,
迎宾农家客栈,,15958671808,
碧莲居农家客栈,,15058605729,
恒源城市艺术酒店,,057687832999,13221681783
荷塘月舍民宿,,13105761371,
城里城外客栈,,15988993637,
绿道风景酒店,,057687918888,87777709
云霄宾馆,,057687751108,
醉影轩农家宾馆,,13626609256,
南苑小筑,,13566693502,
千爱阁农家乐,,18072525559,18072525558
小源幽居宾馆,,13958518215,
土色土香农家乐餐馆（客房部）,,13566692699,
豪特丽宾馆,,057687066929,18157630199
山为居农家乐,,13968486121,
萤光居农家乐客栈,,18720989780,13957632428
白塔商务宾馆,,057687085888,
公盂岩山庄,,13575819756,18072573597
淡竹雅居客栈,,17706865850,
金南宾馆,,057687929111,
云蕾居农家客栈,,15868697437,
华都府宾馆,,057687775688,18358611717
莉苗农家乐,,18968543991,
博客居客栈,,15957165282,13750685738
神仙居归园田居农家乐,,18658662767,
松影雅居小木屋民宿,,057687605566,18858615987
灶香土菜农家乐,,15967638334,
溪边客栈,,18005767535,
忆往昔农家乐,,15990633140,
栖溪别院,,13666477477,
宏远客栈,,18911079906,15957661141
锄禾园农家乐,,057687011753,13666453960
