姓,名,家庭手机,工作手机
东莱商务宾馆,,03706789222,
永盛苑宾馆,,03706229028,13507691776
华商宾馆,,03706888088,
龙泉洗浴快捷宾馆,,15518755181,15518737222
金缘宾馆,,03706218899,
花园商务宾馆,,03706667123,
漓江宾馆,,03706103222,
金御商务宾馆,,03706666658,
青州快捷宾馆,,03706555999,
中源国际酒店,,03706815888,
龙湖快捷宾馆,,03706102666,
华宇精品酒店,,03706555575,
盛庭宾馆,,15939066333,
振东快捷宾馆,,03706218297,15514962588
今世缘宾馆,,18037065666,
忆家快捷宾馆,,03706788883,
艾美酒店,,03706688111,18103979696
大地宾馆,,03702023688,13673706235
中天快捷宾馆,,03706699669,
米兰文化精品酒店,,03706669666,
LOGO商务酒店,,03702337777,
中州快捷连锁酒店（夏邑店）,,03706888908,
L设计酒店,,03706878888,6619999
天悦君豪酒店,,03703079888,
中和快捷宾馆,,03702720111,
美宜家连锁酒店（夏邑滨湖路店）,,03706666686,
名都假日酒店（原帝皇商务宾馆）,,03706216666,6686668
名都快捷宾馆,,03706212580,
亚细亚时尚主题宾馆,,03706757888,
康轩宾馆,,03702728088,13462713666
米兰风格酒店（夏邑店）,,03706111666,
威尼斯商务酒店,,03706577888,
圣和宾馆,,03706289999,
龙凤宾馆,,03706100939,
顺8宾馆,,18236370444,
恒丰快捷宾馆,,03706260792,
夏邑县汉庭宾馆,,03706118886,
鑫隆商务宾馆,,03706800555,18749512306
锦江商务宾馆,,03706668816,
客运商务宾馆,,03706116669,
艾玛宾馆,,03706668966,
金亿快捷宾馆,,03706688222,
美易家商务快捷宾馆,,03706789188,
怡人海商务酒店,,03706660777,
利民快捷宾馆,,03706277886,
水云间洗浴住宿,,03706229888,15993997333
夏邑阳光酒店,,03705076677,
怡和宾馆,,03706686123,
金泰宾馆,,03706228520,
孔祖大酒店,,03706210555,6275555
爱琴海假日酒店,,03706666805,
教育宾馆（夏邑县店）,,03706668355,
登喜路快捷酒店,,03706108369,
雪山宾馆,,13781490300,
艾尔玛时尚宾馆,,03706668966,
龙祥商务宾馆,,15837020666,15729206222
7天连锁酒店（商丘夏邑孔祖大道店）,,03706889777,
汉商快捷酒店,,03706676899,
嵩山快捷宾馆,,03706276888,
儒家快捷宾馆,,03706888883,13592336803
九州商务宾馆,,03706788808,
夏邑泊家艺术酒店,,03706789222,
颐和快捷宾馆,,03706777999,
锦江快捷宾馆,,03702722227,
奥运新村大酒店,,03706757666,
6+1快捷宾馆,,03706668887,
神舟宾馆,,03706229555,
秉轩连锁酒店（夏邑店）,,03706898888,
花亭四季主题宾馆,,03706669998,
满天星宾馆,,15937029189,
兴和宾馆,,03706331988,
亚威宾馆,,15940331740,
夏邑沐格洗浴,,03702720777,
秋林大酒店,,03706111988,
花园宾馆,,03706669456,
夏邑宾馆,,03706218000,
人和宾馆,,13695690585,
春天宾馆,,03706667788,
枫林宾馆,,03706225686,
七溪宾馆,,03706102777,
观音驿宾馆,,03706226655,
大运宾馆,,03706103616,
名人宾馆,,03706101535,
八一宾馆,,03706211886,
乐居快捷宾馆,,03706668318,6217999
易客宾馆,,03706270757,
久加1快捷宾馆,,03706786789,
鑫帝宾馆,,03706109666,
五洲快捷宾馆,,03706666888,
迎宾宾馆,,15837086662,
