姓,名,家庭手机,工作手机
自由点时尚酒店,,037160253456,69563456
真爱主题酒店,,037164612222,
佳美旅社,,13938212509,
豪莱雅酒店,,037168155999,
金鱼座主题酒店,,037169002222,63273999
碧云阁商务酒店,,037164913333,
易佰连锁旅店（荥阳长途汽车中心站店）,,037164629777,
心彼岸网络客栈,,13140020526,
幸福宾馆,,17703825106,
旭翔旅馆,,037164968896,15617540933
华澳商务酒店,,037185221111,
豫佳精品快捷酒店,,037156700567,
运来宾馆,,037164986966,13838341518
西尚宾馆,,037169000100,15538175925
佳轩商务酒店,,037185227777,
晴宇假日酒店,,15639764577,
远方自驾游主题酒店,,037158567000,58567666
华美快捷酒店,,037185099285,
九上快捷酒店,,037185223299,
尚客优骏怡连锁酒店（郑州荥阳三公路店）,,037186573222,86571818
尚客快捷酒店,,037156667111,
华夏快捷酒店,,037164967222,
盛世华都快捷酒店,,037164940123,
嘉缘快捷酒店,,037164611999,
半夏拾光酒店,,037164699990,64799990
莫纳旅馆,,037169001111,
荥阳益闻之星时尚酒店,,037160259799,60259788
山河鸿风尚酒店,,037164986666,
佳之恋旅馆,,037156710618,13721411509
协美时尚酒店,,037164697999,
橘子酒店,,037166121888,
龙栖湾酒店,,037155552976,
晟通快捷酒店,,037169007111,15516981727
金山角农庄,,037156719611,56797502
百悦快捷酒店,,037163251333,13838067747
2+1网络宾馆,,15093171417,
丽都招待所,,037164680552,18739915102
高训酒店,,13017685493,
怡莱酒店（荥阳康泰路店）（原棋源商务酒店）,,037186570000,
和福园酒店,,037163277555,
四季商务宾馆,,037164670990,15638833069
同心精品酒店,,037164906777,64841555
雅美品质酒店,,037156088800,
易居快捷酒店,,037168882228,
蟾宫商务会所客房,,037185097333,
怡路快捷酒店,,037164656076,
檀山假日酒店,,037164693777,
龙吟堂大酒店,,037164657100,64617100
宏兴会所（客房部）,,037164966688,
一家主题小栈,,18530061669,
荥龍快捷宾馆,,037160258567,15238695577
郑州香堤湾酒店,,037185216666,
乔楼镇万山宾馆,,037164656888,
嘉盛机电宾馆,,037164677038,
天隆假日酒店,,037185298000,
青春筑时尚酒店,,037164986498,
桃花源温泉酒店,,037164812888,
海龙大酒店,,037164639999,
金誉宾馆,,18638611229,
建总凯迪宾馆,,15938753066,
江南春温泉度假酒店,,037185218888,
一江春水商务酒店,,037160255555,
方圆快捷酒店,,037185216888,85217888
太和商务宾馆,,037164610338,
五洲优客快捷酒店,,037156262788,13939079729
鸿翔招待所,,037164665569,
泓源宾馆,,037185292086,
嘉盛世纪宾馆,,037160256666,
荥阳宾馆,,037164662804,
郑州商业技师学院招待所,,18503838076,
朗行商务宾馆,,037185090029,
华联招待所,,037164677076,18695859516
水云天商务会馆（华宸美景苑西南店）,,037164631666,
未来快捷酒店,,037164878111,
东升饭店,,15037112981,
居易快捷酒店,,037164940555,
沁园春旅馆,,13598078346,
郑州新田美爵酒店,,037166126666,
少林招待所,,037164610378,
索阳招待所,,13137129979,
芙蓉旅社,,037164655808,
省地质招待所,,037164667003,
鸿运招待所,,037164661137,
乔楼镇建民旅社,,037164943211,13140170528
闫河商务会所,,037164655303,
榴香温泉度假酒店,,037166137999,
万山益寿山庄,,037164938886,
温馨招待所,,037164611378,
清心坊农家宾馆,,037164939445,
华厦快捷酒店,,037164967222,
米美卫浴,,13523456697,
乔楼镇新区旅社,,037164942295,
龙腾山庄,,13523556659,
新建旅馆,,037164943211,
万和客栈,,13782558431,
老八旅馆,,13903867029,
东关宾馆,,037163255566,
乔楼镇越洋旅社,,15093169979,
东屋快捷酒店,,037164965333,
迪佳宾馆,,13592629587,15238018989
鑫源客房招待所,,15036056366,
二妮农家院,,13592419097,
馨馨客栈,,17719827308,
