姓,名,家庭手机,工作手机
春发旅馆,,13971477577,
快乐时空宾馆,,18086522200,
顺丰旅馆,,13517203130,
情缘居旅社,,15827004413,
聚丰招待所,,15997497856,
仙缘招待所,,15172531800,
倾城宾馆（一店）,,13886188515,
艾雅宾馆,,02766660799,
阳柳宾馆,,18971660341,
东方旅馆,,15377036519,
觅你时尚宾馆,,15002711838,
嘉年华时尚酒店,,02759800800,
天香居酒店,,02789435888,
艾仕丽宾馆,,02789994399,
品尚快捷宾馆,,02786983335,13260627608
邾城花园宾馆,,02789352998,13659859693
好再来住宿,,15872360403,
新宏宾馆,,02789351566,13871321308
倾城宾馆（二店）,,13886188515,
世纪祥瑞宾馆,,02789273888,
新宏昌宾馆,,02789005678,
麗枫宾馆,,02786989877,
周全商务宾馆,,02786982079,
约定宾馆,,15827291937,
新怡宾馆,,02786916488,
半岛花园酒店,,02789662366,
逅居主题公寓,,02789777226,
嘉源宾馆,,02789352970,18086416986
城市便捷酒店（武汉阳逻阳光大道店）,,02789006988,
艾仕嘉宾馆（阳逻店）,,02789997780,
维际酒店（武汉阳逻店）,,02786939888,
武汉聚源居主题酒店,,02789089666,13871373927
康豪宾馆,,02789635999,
满江红大酒店,,02786978666,
虹景酒店,,02789805708,
武汉新港国际大酒店,,02789620888,89620708
周全商务宾馆（转盘店）,,02789133588,18607161720
锦程商务宾馆,,02786966808,18827004886
万豪旅店,,13995571453,
华英主题宾馆,,15972228133,
加州旅馆,,15377671229,
君安住宿,,18207150257,
阳光890招待所,,13545220185,
速八住宿,,15827057212,
御泉宾馆,,15872365558,
玉宫公寓,,13607158873,
时信宾馆,,18771987066,
投缘居旅馆,,15871742768,
宏泰宾馆,,02789871399,
春花住宿,,02786965577,18086470288
新城旅馆,,02786939080,
尚豪宾馆,,02789579618,18062580912
红桥宾馆,,13367258829,
鑫泰宾馆,,02789358668,
校园住宿吧,,13886585186,
振兴宾馆（双拥路店）,,02789356179,
久隆宾馆,,18827663115,
名人大酒店,,02786960958,
百世恒大酒店,,02789026666,
天港旅社,,15971496161,
醉人归旅社,,13296521346,
