姓,名,家庭手机,工作手机
菲林青年印象酒店,,09714923100,
紫璘家庭宾馆,,15897185571,
万隆商务宾馆,,09718132933,
港湾家庭宾馆（八一客运站店）,,18997209878,15110955897
馨宿自游家庭宾馆（一号店）,,13639719011,13709767357
牧歌青年旅舍（时光店）,,18697230626,
清云家庭宾馆,,18697164282,
馨缘家庭宾馆,,18997088699,
佳诚客栈,,09717923516,
浩明客栈,,13997167737,
河畔逸栈公寓酒店,,09716157878,
摩托吧西宁接待站,,13897750000,
大美青海家庭宾馆,,18997289503,
安朵宾馆,,09715115307,18097336362
暮光之家青年旅社,,18097333560,
宁洁家庭宾馆,,13299881600,
西海驻青年旅舍（东关大街店）,,09718825566,
西行青年旅社,,09716511451,18397115990
都市家庭宾馆,,18797003992,13897669619
车站小时光家庭宾馆,,18697101540,
康玉家庭旅馆,,13109760598,
温馨家庭公寓,,17709785152,
阳光满屋青年旅舍,,15500792660,15309716527
东升宾馆,,09718863000,8809400
一路向西青年旅舍,,18997000300,
星鑫家庭宾馆（火车站店）,,13519740716,
帝豪家庭宾馆,,18909781665,
靠谱宾馆,,09717527012,18673354988
乐居青年驿站,,18997229184,
康乐家庭宾馆,,13519785998,
天伦家庭宾馆,,18309718088,
张辉宾馆,,09716154670,
都市馨家家庭宾馆,,13639752378,
悦来客栈,,15297124128,
夏都雅居家庭宾馆,,09715133093,15597682898
玖鹰家庭宾馆,,15111724419,
暖心阁家庭宾馆,,15111714566,13897405525
祥瑞家庭宾馆,,13897215846,
温居家庭宾馆,,15009717810,
朋来家庭宾馆,,13897119139,
青海湖家庭宾馆,,13519737799,18697118779
玉树小区公寓酒店,,09716180245,5119655
诚信家庭宾馆（和谐家园店）,,13997273831,
伴旅途青年旅舍（西宁小桥大街分店）,,09715222377,18997180054
西宁吃货青年旅舍,,09716161475,
七星家庭宾馆,,09717338345,13389711654
藏缘印象宾馆,,18909784300,
乡趣主题宾馆,,09718295998,18697181345
友祥家庭宾馆,,18297123469,18297130076
我们青年旅舍,,15297212264,18697235411
素瑞家庭宾馆,,15297153221,
驿旅阳光家庭宾馆,,13299766603,
雅兴家庭宾馆,,09716321950,
蒙古大营酒店,,09717656552,
力盟时尚家庭宾馆,,13119783299,13997076785
藏羚羊家庭宾馆,,18297256888,
洪华家庭宾馆（群星店）,,15297218052,
文寿家庭宾馆,,13909782311,
琴妹家庭宾馆,,13639781055,
同源客栈,,18997056616,
和谐家庭宾馆,,13639710368,13683937299
水晶酒店家庭宾馆（一店）,,13109712688,
青海招考宾馆,,09716317898,6317858
辛格主题客栈（火车站店）,,18009718635,18009718135
明旺家庭宾馆,,18997222210,
水红花短租公寓,,13099798357,
洪华家庭宾馆,,15297218052,
如归宾馆（砖厂店）,,09717526998,13139125354
璟城商务宾馆,,09714317666,
西宁君悦酒店,,09718061688,8209111
浪漫满屋家庭公寓,,13997232491,
好友家庭宾馆,,13997126145,
君悦家庭公寓,,18997273089,
天台帐篷青年旅舍,,18797376101,
新胜家庭公寓,,13099795135,18697175135
紫荆家庭宾馆,,18997483666,
七彩空间青年旅舍,,18697299018,
鸿裕家庭宾馆,,18935512217,
美好时光家庭宾馆,,13997152581,15111714566
雅兰宾馆,,13897657990,
夏都假日温馨宾馆,,17797253603,
悦苑宾馆,,09717720299,
外滩2号家庭宾馆（火车站店）,,09717412773,13897453498
浩良商务宾馆,,09715212889,
甜蜜生活家庭宾馆,,18997020729,
永利商务宾馆,,09718277226,18209714789
欣美家庭宾馆,,13909715720,13997031010
五和宾馆,,09716172733,17697225973
爱拼车青年旅舍（火车站店）,,18697239301,18909717884
友谊主题宾馆,,09718170198,
果儿家太空舱宾馆,,17797086527,
金座豪庭家庭宾馆,,13897429101,
中惠家庭宾馆,,13119712971,13897187281
一帆风顺家庭宾馆,,15349702659,
佳美宾馆,,09716261566,6153566
源峰宾馆,,09717719755,
兴家缘家庭宾馆,,13997064325,
美玲家庭宾馆,,13997053376,
雅阁家庭宾馆,,09717523729,13997116013
宝正宾馆,,09714926111,
朋来宾馆,,09718166305,
金烨宾馆（西宁店）,,09716251222,
华都宾馆（大众街店）,,09717160555,
一站宾馆,,09715565088,
玉润宾馆（火车站店）,,09718122500,18797370033
青春驿站家庭宾馆,,15597222565,
橘子家庭公寓,,13139088585,
暖心家庭宾馆,,15110901290,
快乐驿站,,18909717705,13327651317
西宁布哈拉饭店,,09718221599,7651166
茗城快捷酒店,,09718252455,13327656111
长兴居生态宾馆,,09717667888,7663666
锦太商务宾馆,,09718176131,13086242888
天池花园家庭宾馆,,15110944607,
伊光客栈,,09714125000,
68假日宾馆,,13997266727,
米尔客栈,,09714723889,
鑫悦公寓酒店,,13209787729,
青铁家庭宾馆,,13897651517,
宁静家庭公寓,,13897588917,
博萱家庭宾馆,,18697264276,
新天宾馆,,09716510355,
忠辉宾馆,,09718459388,
悦达商务宾馆,,09717338800,
晨光青年旅社（火车站店）,,18997052361,
瑞翔宾馆,,09715166616,
祥霖家庭宾馆,,13639752264,
雅泰宾馆,,09714389979,
唐蕃公寓,,15897082108,
左岸·驿路青年旅舍,,18997222337,
宗喀藏家客栈,,18297199100,
四季花城家庭宾馆,,13897236052,13997257942
远方的家家庭宾馆,,18697162077,
幸福公寓,,13897452160,
一缕阳光家庭宾馆,,13897585077,
金朵酒店,,09714729888,17725261457
东湖宾馆,,09717661666,7666966
阳阳家庭宾馆,,13119788918,
唐蕃古道客栈,,09718138999,
