姓,名,家庭手机,工作手机
馨馨宾馆,,15893086531,
潇瑶酒家,,13462458288,
青龙峡龙腾居宾馆,,15039123369,
翠翠客栈,,03917171882,15139165582
云台山万福居宾馆,,15138025446,
犇腾宾馆,,18603918976,18639100614
云泉度假酒店,,18103918009,
朋来酒店,,18803911900,
云台山福运来宾馆,,03917709255,15838902061
豫家安宾馆,,03917709608,13937018519
云台山山水宾馆,,13782645217,
途家旅行酒店,,03917708988,18803915657
华都精致酒店,,03917189111,7180111
雲古人家农家院,,03917709083,15139198669
温馨人家宾馆,,03917709069,15225818004
七贤竹林酒店,,03917822111,15938108669
云来商务宾馆,,13203957827,
汇鑫快捷酒店,,03917709082,15993735463
修武县四季如家宾馆,,03917709488,18272739272
云台山彩虹宾馆,,18339719899,
365快捷酒店,,15738522297,
云台山怡园宾馆,,13849599968,
福楼酒店,,03917709316,18639120785
佳圆宾馆,,03917709667,15978719491
云台山喜德隆商务酒店,,03917177888,13569128906
驿路港湾假日酒店,,15670859303,
爱佳客栈（岸上店）,,13298389666,
时光里青年旅社,,13103916574,13283916574
大好河山度假酒店（云台山店）,,03917708088,17335572972
修武县云台山镇新七天酒店,,03917709007,13523200332
旮旯客栈,,13782614631,13569132852
云台山QQ快捷酒店,,03917708005,13939120176
爱尚阳光主题酒店,,03917709916,13501245091
圣杰宾馆,,15538954110,
云溪景苑大酒店,,03917709686,13598513885
钰金阁宾馆,,13782894753,
mi米友之家（云台山店）,,13069416041,
苏鲁美朵连锁客栈（岸上店）,,13939193532,15938165577
云里酒店,,13523210227,
裕和家源主题客栈,,03917709170,13569111802
天雅时尚酒店,,03917709636,13598529636
云台蓝色港湾时尚酒店,,13723170012,18639174191
苏鲁美朵连锁客栈（云台山店）,,15938165577,
云台山两棵树客栈,,03917709433,13782773610
天天顺快捷酒店,,13782713572,
云台山宜捷暖心小筑,,13782621905,
天猫快捷酒店,,03917709095,18739116522
梦里水乡主题酒店,,03917709078,13569157221
灵月酒店,,13782790873,
水云轩时尚公寓,,15939152171,
山水迎宾馆（云台山店）,,13839181593,
云台山保国大酒店,,18239163466,15225829665
苹果主题酒店,,03917709610,
云台山背包客青年之家,,03917709507,13838920304
云台山竹林七贤客栈,,18739138028,15837378228
明月客栈,,15893047468,
紫云轩主题酒店,,13839158879,
玫瑰快捷酒店,,15639101978,13253888520
红鼎快捷酒店,,13462876669,
云台山帝豪宾馆,,13849598597,15993720371
相约客栈,,15239047505,
小酒窝客栈（云台山店）,,13569100771,
云台山云中小筑主题客栈,,13782720376,
花田田园客栈,,15138834333,
时尚主题酒店,,18639134344,
云海观景居客栈,,15893090793,
乐在旅途时尚酒店,,13569196853,
金莱主题酒店,,13782643423,
清休界住宿,,18348227209,13939161923
you家时尚酒店,,18749776222,
云庐美舍,,03917708777,15560058885
云台山清雅居宾馆,,03917709589,13782805006
云台山鑫园宾馆,,03917709160,13782692937
福祥宾馆,,15978719612,
云台山云岭客家主题酒店,,03917709234,13598514818
爱尚农家院,,18697760046,18103913665
云台山芙蓉阁快捷酒店,,13783913978,
云台花园酒店,,03917708018,13569133498
云台山世外人家农家院,,03917821022,13462841552
碧天蓝月主题酒店,,13903898801,
青龙峡望山庭苑宾馆,,13462815009,
舒鑫阁客栈,,15993719287,
青龙峡峰林人家,,15838931691,
云台山长虹大酒店（古洞窑1店）,,15039112589,
云台氧吧酒店,,13782887306,
云台山悦心石屋客栈,,13721450000,
雅乐轩宾馆,,15993730778,
云台山居家快捷酒店,,03917708508,
桔子时尚酒店,,03917709537,13782625007
云台山祥和宾馆,,03917709632,13782657007
武明客栈（云台山岸上店）,,13298389666,13137912362
焦作云台山云都宾馆,,18749776222,13069429308
芙蓉园宾馆,,03917709219,15993751347
印象云台主题酒店,,03917709602,13613910954
梦园宾馆,,13569100193,
云台山新东方度假酒店,,13839100988,
约季·月季驿站,,03917708333,
云台山田园牧歌大酒店,,15639116503,
亨利快捷酒店,,18614922588,18300602555
龙翔宾馆（云台山店）,,03917708788,
众创空间微客栈,,03917708880,15539150051
山里红酒店,,03917709115,18639124013
竹林客栈,,18568227055,
云台山云龙阁宾馆,,15670966267,15837661321
云台山馨缘酒店,,13523203577,18236879711
云鹏居宾馆,,15036544446,15938103308
云台宾馆,,13569107010,
龙乡快捷酒店,,03917115988,13203991616
春诚宾馆,,13783916681,
云台山金福来宾馆,,13223919968,
云台山雲阶酒店,,03917709226,
云台山绿色庄园,,03917709022,13782894919
好再来快捷酒店,,03917709799,13839139771
云台客栈西客栈,,03917709222,
品月山村酒店,,03917800000,13839170777
时尚云景酒店,,13569170692,
云台山满香快捷酒店,,15514786333,
云天宾馆,,15939138383,
青龙峡温馨家园宾馆,,03917803599,
云台山庄,,03917709085,7709930
修武县尚客优快捷酒店,,03917709999,13782699927
星星宾馆,,15639151885,
农家客栈,,13938177801,
鹏辉宾馆,,15838999119,
福田宾馆,,15903912434,
永久假日酒店,,03917709556,
云台山景区内精品客栈,,13298389666,13939100906
高平住宿,,13782887158,
依云阁快捷酒店,,13462476576,18910738889
书苑悠居农家宾馆,,18738584433,15670969238
云台山天源宾馆,,03917709616,
云台山河塘庄园,,03917708990,13569184470
云台山小利农家,,13938161759,
云台山枫林园宾馆,,03917709639,13613911988
温情假日酒店,,15093727323,13782899971
云山宾馆,,13782805069,
青青小屋客栈,,13849592227,
满意农家院,,18153079938,13782608145
昊宇宾馆,,03917709809,13462808222
云台山云台快捷酒店,,18539185220,15517780098
温馨岛宾馆,,13598538466,13598539906
好来屋,,15938186612,
鸿福快捷酒店,,03917708318,13513821330
青龙宾馆,,13782851352,13513829473
康熙酒家,,18238781116,
金香穗客栈,,13782862636,13723187996
时尚之旅酒店,,13639621564,
蓝天宾馆（后黑市岭店）,,13526883644,
尚尚主题酒店,,15839115613,13462808573
云台山玉煌酒家,,13137926593,
杰峰宾馆,,15093730327,15138006286
神华酒店,,18339181288,
峰华园宾馆,,03917709765,
鑫淼宾馆,,18348231465,
枫林驿栈旅馆,,13203958910,
海燕宾馆,,15838925330,
润鸿酒店,,13939185456,
鸿威宾馆,,03917709588,
旅友之家,,15938155774,
农家宾馆,,15938196073,
驿港宾馆,,15139194773,
桃林宾馆,,15538943663,
四季花园宾馆,,18614925070,18614927815
云台主题酒店,,13569164018,
和平宾馆,,03917709638,
有缘之家,,03917709322,
七星苑宾馆（清真店）,,18539109052,
茂源宾馆,,03917825766,
月亮湾避暑山庄,,15838961535,
荷塘月光酒店,,03917709499,13569137750
云台山鑫鑫宾馆,,18348231465,
云台山山里人家客栈,,13782736299,13569166275
云台山梦兴缘,,13569137937,
明亮家园宾馆,,03917709662,
长虹大酒店（云台店）,,03917709122,7709853
焦作青龙峡云海宾馆,,18348277165,
慧杰宾馆,,15939136451,
淼雨宾馆,,13939157506,
温馨农家,,13839107191,
云台山朋来酒店,,18803911128,
乡村客栈,,03917709059,
优优农家,,13938139958,
青龙峡源源宾馆,,03917801209,15939154868
红豆杉大酒店,,13782725993,
怡家酒店,,15093719876,
添福宾馆,,15036500034,
醉美农家乐,,15978728951,
云台山远方假日酒店,,03917708889,
圣明快捷宾馆,,15138035991,
云浩酒店,,13782826738,15839172292
依琳宾馆,,13333915036,
龙凤山庄,,13298470888,
云台山山水苑宾馆,,18739169687,
红树林宾馆,,17737373137,
绿色庄园快捷酒店,,13663916969,
山水悦快捷酒店,,15893057621,13462855058
云台天瀑客栈,,15838943521,
鸿运快捷酒店,,18300622051,
云台山双龙大酒店,,18539109052,
喜客来宾馆,,03917709355,
云台山清清宾馆,,13782866122,
云鹏宾馆,,03917709151,15517744820
云台山温馨港湾宾馆,,13782766697,
云台山桃花源农家宾馆,,03917709891,
温馨家园,,15036517162,
开心家园,,13462438018,
云台山龙凤阁,,15978700130,
青龙迎宾馆,,15139110380,
瑞丰宾馆,,03917709809,
花家怡源酒店,,18937297365,
云台山阳光宾馆,,03917709900,18739139909
隆福寨大酒店,,03917709728,
永青假日酒店,,03917822555,
云台山舒心家园,,13839162522,13939107771
云台山怡然居,,13253887755,
云水丽都主题酒店,,03917709658,
龙翔宾馆,,18739199390,13938169298
我行我宿客栈,,15978720661,
云台天阶国际饭店,,03917705777,
云台山恒通宾馆,,13462430844,
步步高快捷酒店,,15978781680,
天盛宾馆,,13569176860,
玲玲农家,,13782813800,
七贤宾馆,,03917708166,13383913912
日月居酒店,,03917709103,
云台山方圆宾馆,,13069468993,
云台山朋来宾馆,,03917709850,
欢乐假日酒店,,13007650333,
锦江大饭店,,03917186886,7180001
云台度假大酒店,,03916306111,15517766241
焦作云台山芳草缘宾馆,,13782615700,
云台山假日木屋酒店,,03917708266,
九日部落,,18437306999,
保玉酒店,,13782805060,
修武县速捌酒店,,03917709192,
华溪快捷酒店,,03917191188,18239140333
云台山蓝景宾馆,,13782899908,13613912038
恒顺宾馆,,03917709121,
云台山宾馆,,13782805069,
中州宾馆,,03913505888-8000,
云台山山景宾馆,,13723183879,
云台山丽景精品酒店,,03917709668,
淮北人家酒店,,13223921338,
阳阳宾馆,,13639621564,
山水苑客栈,,13523357693,
一间旅馆,,15670866552,
帝苑宾馆,,03917185555,15517760678
云台山颐和大酒店,,03917706999,15639189211
鑫来快捷酒店（原泓州快捷酒店）,,13603916735,
锦绣缘宾馆,,03913800077,
君达快捷酒店,,18639187151,
云台山紫金酒店,,03913809777,
云鼎山庄,,13403998883,13569133498
梦幻山水宾馆,,15993733340,
香格里汀时尚酒店,,03917137999,
云峰酒店,,03917709571,
佳亮酒店,,15039152363,
鑫港酒店,,03917709378,18348273555
温馨家园农家乐,,13723152677,
云台山龙潭养心居客栈,,13938151008,
云台山观云阁假日酒店,,18803911128,
云台山红彤彤宾馆,,13783915760,
竹林快捷酒店,,03917171712,
修武县格林玉园宾馆,,03917118188,
云台山东方红宾馆,,15836020276,
桃园酒家,,03917803868,15939192856
修武县七天快捷酒店,,03918310087,13069451177
阿利连锁酒店,,15503916642,
云台秀水书画院,,03912044098,18903721269
华祥快捷酒店,,03917172221,
龙峰乐,,03917803025,
祥瑞宾馆,,15893057679,
云台山方圆酒店,,13839178669,
云台山银河花园酒店,,03917707777,7707111
云台山茱萸峰避暑山庄,,15138041396,
家和宾馆（云台山店）,,13569164721,
云台山艾美时尚酒店,,03917708007,
云台山翔蕊宾馆,,13782790677,
星期8快捷酒店（修武店）,,03917190831,
佳鹏居宾馆,,13273905734,
龍雲山荘,,15738585184,
君悦客栈,,13393897500,15138000822
云台山昌源酒店,,13707686807,15138082358
仙客来宾馆,,03917118688,
汝家快捷酒店,,13782872975,
云台山长虹大酒店（岸上服务区店）,,15039112589,
龙辉宾馆,,03917113659,13782612550
厚和庄园酒店,,03917700678,
红太阳宾馆,,18739176199,
星光度假村,,03917112331,
云台山朝阳宾馆,,18339712931,
七贤民俗文化度假酒店,,18860372790,
满意人家农家乐,,03917803255,15138036367
云台山燕齐宾馆,,15093731687,
锦绣云台温泉山庄,,13939107888,
