姓,名,家庭手机,工作手机
恒大商务宾馆,,03768117799,
名豪宾馆,,03766170577,13462072529
圣泉宾馆,,03767444166,15517610666
闲居阁宾馆,,13598586301,
馨悦家庭宾馆,,13343971288,
进鑫商务宾馆,,03766768989,
快客商务宾馆,,03767869006,
时光客栈,,03763217199,
万家灯火宾馆,,03766860159,
胜君宾馆,,03768180228,
越秀宾馆,,03766860168,
秀豪宾馆,,18203761179,18037602622
鑫光快捷宾馆,,13233785952,
馨雅公馆,,18039328580,
小蓝鲸宾馆,,03768121757,13183370711
红楼宾馆,,13703766916,
恒丰宾馆,,13353767976,15988508059
中峰宾馆,,15938202809,
标准旅馆,,15637617389,
华舒宾馆,,15537620819,
地球村精品酒店（商城店）,,03767866222,
悦来客栈,,03766512188,
煜鑫宾馆,,15203970079,
友谊宾馆,,03764947916,15938257906
新龙门客栈,,15978549240,
世福宾馆,,17083978687,18336255089
开心宾馆,,18737612346,13333971887
金凯捷宾馆,,18837681119,
迎客松宾馆,,03766806279,15938262296
和兴快捷宾馆,,15937615339,
明珠之星商务宾馆,,15225373073,
学友宾馆,,17637601668,
奥运宾馆,,03766166277,
恒运网络宾馆,,03764999909,
新东方宾馆,,03764663338,
学友旅馆（海苑店）,,13783769937,18336261212
万家宾馆,,13673769259,18238263975
百合宾馆,,15290255237,15837699885
万家宾馆,,15937673461,
温馨家园宾馆,,037615236726,15236726126
e家客房,,13949192032,15937635735
晨光网络宾馆,,15869127122,
宝石快捷宾馆,,03766277658,
领域时尚宾馆,,03766783680,13613767936
梦缘商务宾馆,,03768182706,
imok·可以微主题客栈（师院1店）,,03766788101,
運逹宾馆,,18639705239,
教育宾馆,,03766235396,
吉祥宾馆,,03766101130,
金鑫宾馆,,18738613325,
智绘家旅馆,,03763211123,
美丽客栈,,15637650870,
宜佰连锁旅店,,03766586066,
金鑫快捷,,03766106565,13419960857
百合旅馆,,03764958898,
豫龙快捷宾馆,,03765895999,18348460052
俏甲人公寓,,15139778879,
友佳宾馆,,18606515056,
港湾印象连锁酒店（东方红大道店）,,03763303666,13603762183
鸡公山电力通信宾馆,,03766912086,
唯爱主题宾馆,,03764608886,
青春主题宾馆,,03766774666,
紫荆宾馆,,03768130555,
申鹏假日酒店,,03766573666,6571666
韩舍精品宾馆,,18613749559,18537643080
军威快捷宾馆,,03768110896,13033707979
商西宾馆,,03767885188,
锦绣山酒店,,03766778888,
益友宾馆,,18037611190,
金利源宾馆,,03763779888,18790431865
阳光网络宾馆,,18003974488,
雅居宾馆,,03768157468,
快捷宾馆,,03765853788,15565567227
鑫悦宾馆,,03766781188,
万家快捷宾馆,,03766517552,13137376656
昆仑大酒店,,03767456555,13903975891
天瑞商务宾馆,,03766391388,
欧亚天龙汽车主题酒店,,03763718868,15716587616
至尊客栈（住房部）,,03763221860,
清泉宾馆,,15938208385,
泰和祥快捷酒店,,13569775685,
金水快捷宾馆,,03762797366,13462095602
广源商务宾馆,,03766239111,
天伦快捷宾馆,,03766199788,
鸿运宾馆,,13949171196,
海逸商务宾馆,,03766130099,17737656840
未来连锁酒店（天安宾馆店）,,03766382130,
广元宾馆,,03766771789,13383978678
无限生机宾馆,,03763285666,
新世纪宾馆,,13949183892,18790465546
阳光快捷宾馆,,03764676777,
卧龙宾馆,,03765866686,
金诚快捷酒店（北街店）,,03766109099,13937698288
锦绣快捷宾馆,,03768111122,
康乃馨大酒店,,15937689969,
星光宾馆,,03763112519,13033717066
豫南主题宾馆,,18603977686,18738625298
小皮孩商务会所,,03766235111,
新悦宾馆,,13939704333,15890604260
王朝假日宾馆,,13303971906,
驿家商务宾馆,,03766181222,
鑫新商务宾馆,,03766106288,
7天优品酒店（信阳火车站文化中心店）,,03766185777,
鱼夫客栈,,03763166969,
金冠快捷宾馆,,03766331555,6331999
鼎润商务宾馆,,03763881388,18167101267
八方宾馆,,03762201668,15137670888
近水楼宾馆,,03767860995,
弘昌大酒店,,03766199991,
予悦快捷,,03765895595,
金亿宾馆,,17637675550,
美家园商务宾馆,,15978525629,18039329866
中天商务宾馆,,03764279666,
金三角快捷宾馆,,15037696315,
学梓公寓,,03766189626,13703767872
浩然宾馆,,03768676222,
秀园宾馆,,03764099555,6778555
玉胜宾馆,,03762128388,
福喜宾馆,,03768135736,
军燕商务宾馆,,13523881807,
尚客优快捷酒店（信阳火车站工区路店）,,03766203666,
