姓,名,家庭手机,工作手机
平安宾馆,,15954576116,
嘉朋宾馆,,06352951088,
便宜居连锁酒店（阳谷店）,,06352956699,
金宇宾馆,,06356210077,
泰和宾馆,,06352152555,
天龙商务宾馆,,06356219688,6219788
中天宾馆（谷山路店）,,06356361555,
阳光假日酒店,,06356998777,6995777
锦江商务宾馆（柴庄店）,,06356213222,
格林豪泰快捷酒店（黄山路店）,,06356829666,
名都商务酒店,,06356353999,6354999
万豪宾馆,,18206356013,18205180225
尚客优快捷酒店（聊城阳谷紫石街店）,,06356218111,
华盛商务宾馆,,13406356161,
锦江商务宾馆（站前街店）,,06356266222,
车站宾馆,,06356216736,
东辉宾馆,,06352157566,
江南宜居商务宾馆,,06356219898,
兴华商务宾馆,,06356688588,
如家快捷酒店（聊城阳谷谷山路店）,,06356318888,
汉庭酒店（聊城阳谷店）,,06356121888,
7天连锁酒店（聊城阳谷汽车站店）,,06357127777,
花园宾馆,,18866570345,
文苑宾馆,,06352150866,
鸿翔宾馆,,06356360678,
明珠商务快捷酒店,,06356126333,
长华宾馆,,18863592691,
卡迪亚宾馆,,06356219988,
党校宾馆,,06356218668,
东润商务酒店,,06356360000,
居来福快捷宾馆,,06356266518,15806359621
金霖宾馆,,06356126888,
顺隆城市快捷宾馆,,06356666158,6260188
家园宾馆,,06356363058,
锦兴宾馆,,15966236887,
鼎盛商务宾馆,,06356218777,6218666
万隆商务宾馆,,06356218169,
海润宾馆,,15806359621,
锦驿快捷酒店,,06356776667,
鲁阳宾馆,,06356569688,
金阳宾馆,,13563039807,15106351885
静雅商务宾馆,,06355106566,
万方宾馆,,06355106688,
阳谷宾馆,,06356266199,
一泓温泉假日酒店,,06352156555,
谷山商务宾馆,,06356218788,
嘉年华宾馆,,06356383456,
新世纪宾馆,,06356265488,13869596768
富华宾馆,,06352158568,
鲁阳商务宾馆,,06356385888,
谷山旅社,,18265516219,
信义旅馆,,18365756306,
顺达旅馆,,13506356259,
天源宾馆,,18365768855,
龙岗大酒店,,06356689699,15066351889
党校宾馆,,06356218998,
海天宾馆,,06356217888,
供销宾馆,,06352159533,
景阳宾馆,,13969591475,
景阳宾馆,,13969591475,
鸿源宾馆,,06352150006,
鸿运大饭店,,13793065077,
天成宾馆,,15954156475,
西湖旅馆,,15865752735,
阳谷镇招待所,,13963566907,
日辉商务宾馆,,06352153333,6512345
紫玉金阁大饭店,,13869573229,
金佛宾馆,,18866581985,15265569269
怡家宾馆,,06356991009,13561276963
长青大酒店,,06356781858,15206592888
香格里酒店,,18006353326,
华夏一家,,06356781590,
君盛宾馆,,06356680081,15966216719
福运宾馆,,13869544208,
万嘉鑫宾馆,,13969505551,
万豪商务宾馆,,06356210222,
凤祥宾馆,,06356776888,
鑫源宾馆,,15006356772,
惠民宾馆,,06352150288,
红星宾馆,,13561216595,
华鑫宾馆,,06356781699,
迎春旅社,,13806356729,
天舒休闲商务会馆,,06352166666,
银河酒店,,06356779139,
京九宾馆,,06356339266,13563026286
家外家旅馆,,06356211891,
祥和旅馆,,06356263107,
宾发旅馆,,13561238948,
华舒宾馆,,15020638887,
兴旺宾馆,,15806359621,
