姓,名,家庭手机,工作手机
云来宾馆,,07632272160,
You+ 致青春公寓,,18820543677,
俊兴宾馆（英德汽车站店）,,07632222168,
帝景宾馆,,07632229938,
恒辉宾馆,,07632222668,
壹佰商务宾馆（英德店）,,07632584444,
英东宾馆,,07632272476,2284988
7天连锁酒店（清远英德维多利广场店）,,07632638822,
君悦大酒店,,07633148888,
东方木一宾馆,,07632282296,
皇家假日宾馆,,07632666868,
维也纳酒店（英德光明路店）,,07632233999,13360922786
花园酒店,,07633165888,
铂金酒店,,07632228882,
英德DL城市酒店,,07633166668,
顺丰假日酒店,,07636850888,
金海湾宾馆,,07632289988,
龙逸湾酒店,,07632752828,
左邻佑舍公寓,,13539513553,
狼途青年旅舍,,13160571377,
源兴明镜潭农庄,,13926632397,
奇洞温泉度假村,,400808-9788,13600266758
云水酒店,,07633166788,
书香客栈,,15013122601,
英德行走民宿,,07633876888,13825124232
宝龙旅馆,,07632752182,13680005126
浈阳峡生态旅游度假区,,07632610988,13413479098
黄花艺术宾馆,,18626666542,
凯逸宾馆,,13620587291,
江湾大酒店,,07632892000,
石头酒店,,07632583999,
维多利家庭式公寓,,13610540977,13431996333
翔龙商务宾馆,,07632211663,
隆腾酒店,,07632654268,13676294433
盛逸宾馆,,07632802388,
御竹轩汤泉度假村,,07632710150,
辉煌客栈,,15992046400,
福满园宾馆,,07632582133,
英西驴寨客栈,,15920344500,
南方宾馆,,07632285258,
洞天客栈,,15811729216,
祥和商务宾馆,,07632751189,
奇洞汤山别野,,17688304488,15113703233
山泉山庄,,15999639996,13682334566
华悦宾馆,,07632667666,
英德龙翔度假公寓,,15989149679,
枫林宾馆（和平北路店）,,07632227066,
风尚旅业,,07632611459,13828511918
侨丰旅业,,07632583696,
爱丽大厦,,07632233944,
英州大酒店,,07632224455,2222388
碧湖宾馆,,07632283450,
欣旺商务宾馆,,07632312828,
金碧居商务宾馆,,07632668333,
洲际宾馆,,07632666969,
御之龙宾馆,,07632752388,
火车客栈,,07632610988,2891788
浅水湾酒店,,07632668266,
天景旅业,,07632220382,
旭升宾馆,,07632583736,
锦江酒店,,07632622018,
英华旭峰酒店,,07632639148,
英德愉家宾馆,,07632752808,
清远英德豪爵酒店,,07632890678,
英德翠盈居客栈,,13927667225,
华粤大酒店,,07632666666,
皇朝宾馆（峰光路店）,,07632277988,
栢科大酒店,,07632663999,
忠源旅店,,07632311232,
松石林山庄,,18926635838,
阳光国际商务公寓,,07632227999,
顺泰刘家村客栈,,07632866228,13318384488
通发酒店,,15975855488,
九号驿栈,,07632610988,2669777
锦蝴生态度假村,,13728069132,
兴华商务酒店,,07632605833,
英西别苑,,07632760288,13500298829
东方大酒店（建设路店）,,07632233998,
黄花逸峰酒店,,07632751406,
农家小苑客栈,,13750125766,
英西峰林驴友驿站,,13729689931,
宝逸宾馆,,07633166969,
乡村小屋,,13539338448,
浈阳宾馆,,07632891998,
茶园宾馆,,07636851118,
一休酒店,,07636850989,
峰林小苑客栈（清远）,,13823190607,
鸿发宾馆,,07632606222,
怡海宾馆,,07632285168,
宏发宾馆,,07632582688,15816281898
洞天仙境御竹轩汤泉度假别墅,,07632751322,
浛洸大酒店,,07632852998,
英德九州驿站,,07632619138,
金德商务宾馆,,07632636688,
龙角山宾馆,,07632752988,13076611516
金福宾馆,,07632237382,
奇洞温泉汤山别院,,18607632564,
桥头酒店,,07632752338,
英德宝晶宫天鹅湖温泉酒店,,07633166666,
信益宾馆,,07632287338,
向东宾馆,,07632289909,
皇庭商务宾馆,,07632581333,
茶香源大酒店,,07632200928,
金海商务宾馆,,07632631888,
华冠宾馆,,07632285528,
海螺国际大酒店,,07632788188,
宝安宾馆,,07632283338,
万利来旅馆,,07632611010,
韬涛宾馆,,07632854938,
英红宾馆,,07632501111,
富悦宾馆,,07632638818,15521084525
英德市浛洸镇新春宾馆,,07632855280,
大樟沙滩度假村,,07632897303,
福临宾馆,,07632312888,
爱家宾馆（英洲大道店）,,07632289868,
百利得旅业,,07632280666,13553875027
豪龙宾馆休闲中心,,07632639388,
芳临宾馆,,07632669988,
英德宝墩湖湖山温泉度假村,,07632618888,
仁鑫大酒店,,07632666888,
英发商务宾馆,,07632669666,
俊龙旅业,,07632224587,
俊业宾馆,,07632654818,13380703101
万福宾馆（建设北路店）,,07632220000,
英德倚峦风吕温泉度假酒店,,07632606888,
英西峰林农家小院,,13729629105,
华宾宾馆,,07632611227,
英德奇洞温泉小镇,,07632581888,
南海大酒店,,07632209333,
新汇宾馆,,07632276338,
金汇宾馆（金汇花园店）,,07632229208,
齐力商务酒店,,07632581777,
英德海螺商旅酒店,,07632788188,2788168
金星宾馆,,07632289388,
富域城大酒店,,07632818999,
樱缤客房,,07636996088,6996099
星辉宾馆,,13542455000,
皇岛宾馆,,07632668009,
博士商务公寓,,18926603397,
峰林宾馆,,07632561328,
英德迎宾馆,,07636996888,6996777
金三角酒店,,07632583189,
友好宾馆,,07632605088,
小岛宾馆,,07632288168,
英濠大酒店,,07632655998,
永保宾馆,,07636824518,
太阳城大酒店,,07632229999,
英德市英城如家旅馆,,07632223326,
德信宾馆,,07632238333,
绿环客栈,,07632663888,
奇洞温泉汤山半山别墅,,15218496093,
锦濠酒店,,07632702888,
英德恰青春客栈,,07632891788,
荣华酒店（教育路）,,07632711153,
望埠驿站,,07632586688,
洞天仙境,,07632751666,
顺意酒店,,07632277666,
温馨小苑,,13535978820,
常来宾馆,,07632802228,
舒心公寓,,07632621210,13346558982
幸福楼酒店,,07632891241,
鑫龙酒店,,07632659333,
农业局招待所,,07632222831,400833-6699
大湾镇强盛宾馆,,07632823688,
浛洸宾馆,,07632855428,2854183
木林森旅馆,,07632561162,
柏悦宾馆,,07636851888,
中良宾馆,,07632723838,
水谣生态旅游有限公司,,07632282666,
树上温泉度假区,,076388838287,
光明旅业,,07632611868,
三和山庄,,13679511494,
九龙迎宾馆,,07632751338,
聚贤阁宾馆,,07632228598,
满景楼宾馆,,07632823328,
鞋子农家小店,,07632611742,
活石水民宿度假区,,13076637510,
氧园民宿,,13750145767,
丰盛旅店,,07632228906,
善水居休闲住宿,,15521388955,
大站驿站,,07632668298,
英硫记忆主题旅馆,,07632774999,
英西汤泉度假村,,07632561188,
鑫煌宾馆,,07632823603,13714397865
八角楼客栈,,13609786347,
