姓,名,家庭手机,工作手机
凯悦时尚宾馆,,07174955777,
万家快捷酒店,,07174952888,
福美来快捷酒店,,07174951520,
兴都宾馆,,07174817518,
鸿宾楼旅馆,,07176929848,
博星缘宾馆,,13396146211,
宜平宾馆,,07174830348,13972559027
平湖宾馆,,07174842866,
刘家嘴主题宾馆,,07174840333,
九龙宾馆,,07174824439,13986770080
喜洋洋宾馆,,18086389367,
安吉宾馆,,07174824499,
世纪苑宾馆,,13647170446,
中国结宾馆,,07174727653,
金兴商务酒店,,07174955666,
天成宾馆（城乡路店）,,07174955818,13477155200
洲际宾馆,,07174839906,18571027688
海纳公寓,,07174829802,
东风宾馆,,07174901798,13339798257
子龙宾馆,,13972562848,
鑫园宾馆,,07174831368,
宜都市金帝商务宾馆,,07174831089,
宜都市新如家宾馆,,07174828088,
九九宾馆,,13135815995,15171794297
锦城宾馆,,07174955186,
八字桥宾馆,,13669078884,
金顺宾馆,,13117297925,
金丰宾馆,,07174837705,
洁净宾馆,,13872531618,
鑫桂源宾馆,,07174821818,
光明宾馆,,07174827307,
尚客优连锁酒店（宜都店）,,07174950999,
丽橙酒店（宜都长江大道店）,,07174952333,4953022
聚龙湾宾馆,,07174560666,
恺杰商务酒店,,07174569999,
滨江快捷酒店,,07174951258,18972018181
东广商务酒店,,07174952777,4952609
尚林假日酒店,,07174569988,4569966
雅斯精致酒店,,07174952666,4953666
红花山水假日酒店,,07174568999,4568777
茉莉花开连锁酒店（宜都店）,,07174831988,
NICE 莱斯酒店,,07174600588,4600388
东郡商务酒店,,07174905678,
优客快捷酒店,,07174839116,
茶苑宾馆,,07174900958,
华中宾馆,,07174824168,
金盛商务宾馆,,13872637231,
中华宾馆,,07174820208,13477847130
五宜大酒店,,07174900296,
阳光假日酒店,,07174667708,
华青宾馆,,07174828360,
龙源宾馆,,13872678162,
大众旅馆,,18972018645,
滨江假日酒店,,07174833188,
谊峰宾馆,,07172993055,
丽都宾馆,,07174953218,
华晨商务宾馆,,07174660899,
壹号农庄,,07178997128,
华都宾馆,,07174821628,
宜都人家,,07174903779,13872573573
神州宾馆,,07174828686,
静园宾馆,,13277238195,
紫鑫大酒店,,07174661856,15997508883
义豪宾馆,,07174842123,15717207891
金桥宾馆,,07174832599,13872573047
秀·山水酒店（城河大道店）,,07174663666,
长江宾馆,,13986818385,
宜家宾馆,,07174883777,
康桥宾馆,,07174843678,13872538639
江城宾馆,,13647273892,
竹贤山庄,,07174790777,18271325532
和谐宾馆,,15997551790,
九连环商务酒店,,07174908099,4901099
南粤宾馆,,07174828658,
尚都宾馆,,07174737558,
民贵宾馆,,07174902898,
新天地宾馆,,07174904065,15272150396
交通宾馆,,07174731983,13477130898
涛哥宾馆,,07174952928,
骏杰大酒店,,07174661111,
