姓,名,家庭手机,工作手机
圣丰商务宾馆,,07952969666,18070453689
鸿特利商务宾馆,,07952756780,18770506766
假日主题酒店,,07952966999,13970544846
西利亚主题宾馆,,07952768699,
葡京连锁酒店（老桥头店）,,07952996688,
桂花商务宾馆,,07952758866,
农业宾馆,,07952760586,13766400809
桃花源大酒店,,07957291999,2923666
物华宾馆,,18970554138,
香格里拉蒲京酒店,,07952995988,2995977
客运宾馆,,07952786677,18970537951
党校商务宾馆,,07952788889,
宜丰新农人民宿庄园,,18970527627,
宜丰大酒店,,07957299999,
粮食宾馆,,07957290718,
泓福宾馆,,15079550658,
花园宾馆,,07952751752,
铭城商务宾馆,,07952998777,
金丰大酒店,,07952785777,
竹乡宾馆,,07952755800,
葡京宾馆（富城店）,,07952786799,
锦江大酒店,,07957290999,
葡京宾馆（绿源店）,,07952753899,
葡京宾馆（白泽湖店）,,07952756066,
迎宾大酒店,,07957139996,13970570929
葡京连锁酒店（华鑫铭都店）,,07952992000,
云天宾馆,,07957131794,15070503944
金巢商务宾馆,,07952769899,18007950308
小城客栈,,07952992399,
银海宾馆,,07957131788,
大众宾馆,,15779513869,
城市客栈,,07952993111,
如东宇龙大酒店,,079584816600,
如佳宾馆,,07952753988,7206188
福临99商务宾馆,,07952762677,
红当头酒店,,07952597773,
蒲京宾馆,,07952786799,
宜家宾馆,,07952998166,
金叶宾馆,,07952766988,
泓腾宾馆,,13097050777,
宜春城东宾馆,,07952766859,13319366663
桃源小院,,18279572611,
山里人饭庄,,13576527767,
天龙宾馆,,07952760888,
蒲京连锁酒店,,07952996638,
上海宾馆,,15170596973,
交通宾馆,,18296523438,
宜春宜丰接待中心客房,,07952991266,
汽运城宾馆,,07952787388,
陆和商务宾馆,,07952990166,
七彩湖农庄,,07952904777,
建竹大酒店,,07952788835,
承龙宾馆,,13870576762,
帝豪宾馆,,07952751628,
宜丰宾馆,,07952760100,
金都宾馆,,07952769989,
桃源山庄,,07952789399,
金龙宾馆,,07952758333,
崇文大酒店,,07952992222,13812532429
东方宾馆,,07952750226,
芙蓉宾馆,,13197954883,
站前宾馆,,13979538994,
金鹰商务宾馆,,07952768666,
南昌宾馆,,07952758818,
车站宾馆,,07952786067,
辉翔宾馆,,07952788668,
环宇宾馆,,07952765888,
伟谊宾馆,,07952786596,
飘湘宾馆,,07952763663,
幸福托老院,,13607052647,
