姓,名,家庭手机,工作手机
盛苑快捷宾馆,,03495095999,13546795636
惠通快捷宾馆,,18534983876,
芒果快捷宾馆,,03495066665,15386750202
秦园商务酒店,,03496638999,13613497374
尚客优连锁酒店（应县金城西街店）,,03495885666,
雅居快捷宾馆,,13100040455,
塔前宾馆,,03495023836,
宜家宾馆（汽车站店）,,03495026868,15110823177
迎新酒店,,03495026116,
夕阳红宾馆,,13834405285,
天美宾馆,,03496250966,
九龙休闲会馆,,03495088222,
临通快捷宾馆,,03495023855,
一休快捷宾馆,,18634934946,
泰祥宾馆,,13080399981,
大地宾馆,,15513317978,
舒服宾馆,,15834253501,
宏通宾馆,,03495056888,
昕阳宾馆,,03495080888,
木塔宾馆,,13934986881,
爱尚客栈,,15703495181,18334911345
应州招待所,,13593483262,
微世界主题宾馆,,03495027777,
金海湾商务会馆,,03495880588,
大斌宾馆（三部店）,,03495091333,18734948884
大斌宾馆（一部）,,03495029111,13097687199
颐苑快捷宾馆,,03495098111,
阳光假日宾馆,,03495090222,15234963222
长征休闲洗浴中心,,03495022606,
隆盛快捷宾馆,,03495063889,
应州宾馆,,03495034999,
宜家宾馆,,18735473541,
城市客栈,,03495026666,13593457324
第5季商务酒店,,03496638222,
晨光宾馆,,03495051000,
白塔宾馆,,13097641058,
应县阳光七天宾馆,,03495055333,
阳光速8连锁宾馆,,03495023456,
国利假日酒店,,03495034188,5034166
大斌宾馆（二部 ）,,13546795962,
锦润宾馆,,03495082777,
晋宏宾馆,,13453088542,
晨苑宾馆,,03495090222,
凯悦快捷宾馆,,03495058888,
宜春宾馆,,13593458096,
枫林快捷宾馆,,15392692888,
应县如家宾馆,,13734188522,
欣雅快捷宾馆,,13633490178,
万豪凯悦国际酒店,,03495888666,5888888
芙蓉大酒店,,03496631655,13203491840
海客宾馆,,13934902368,18834914711
嘉兴宾馆,,03495887777,
和谐宾馆,,18603495449,
宏荣宾馆,,18735497022,
永盛宾馆,,03495033336,18634955386
宏达宾馆,,03495885566,
六日宾馆,,03495088678,
鑫源宾馆,,13613496635,
广达宾馆,,13934935001,
西街宾馆,,13100040781,
开元旅社,,13133031506,
聚丰旅社,,03495064905,
龙泉农庄宾馆,,03495626688,
华夏旅店,,03495024179,
应县颐馨快捷宾馆,,18735492633,
景鑫旅馆,,18634913468,
晋源旅馆,,03495028025,
汇源旅馆,,13623499093,
建华宾馆,,03495032186,
顺鑫宾馆,,03495032936,13111021687
欣顺宾馆,,13097689866,
平安旅馆,,13934963094,
通达快捷宾馆,,03495099993,
宏盛旅馆,,03495024987,
富阳旅馆,,18634953744,
新华旅馆,,03495020783,
大众宾馆,,18603490962,
鑫海宾馆,,13934971695,
鑫源旅店,,03495020846,
朔州应县龙泉农庄宾馆饭店,,03495626688,
清新快捷宾馆,,03495030865,
