姓,名,家庭手机,工作手机
雅都商务宾馆（永安店）,,05983806677,
金花源宾馆,,05983620666,
桃源宾馆（市场店）,,05983618895,
大丰山宾馆,,05985117177,
心静宾馆,,05983611768,
康乐旅馆,,15659617113,
君达宾馆,,05985122777,
鑫鹭宾馆,,13690923796,
喜盈门宾馆,,05983621555,3664668
凤凰快捷连锁酒店（零点店）,,05985135888,
凤凰快捷酒店,,05985111666,
红山宾馆,,05983721333,
金桥商务宾馆,,05983630966,
汉庭宾馆（永安店）,,05983778888,3848880
99连锁酒店（永安蓝燕店）,,05983888899,
永春商务宾馆,,05988060123,
燕江宾馆,,05983615919,
新桃源宾馆,,05983664999,
燕秀商务宾馆,,05983873666,
桃姐公寓,,05983631955,3658177
喜迎门大酒店,,05983734567,
兰逸精品酒店（汽车站店）,,05983696333,
友联商务酒店,,05983899333,
万悦酒店公寓（原五洲商务酒店公寓）,,05983558221,3885999
苹果音乐快捷酒店,,05983693777,
悦来商务公寓,,05983841999,
西方财富精品酒店,,05988824888,8824999
维多利商务酒店,,05985115888,
凤凰99客栈,,05985115999,
永安万佳国际酒店,,05983522222,
丽都大酒店（原兰馨大酒店）,,05985928888,
霞鹤生态酒店,,05983865678,
景江燕城宾馆,,05983566555,
竹晟生态酒店,,05983686555,
永盛宾馆,,13348339859,
鑫南门宾馆,,05983818989,
华昌宾馆（小陶镇）,,05983703387,
公路港商务酒店,,05983612222,
九洲宾馆二店,,05983664777,3664111
榕树大酒店,,05983681666,
明都商务宾馆,,05983575555,
永安大酒店（燕江中路店）,,05983608999,3608466
永安大厦,,05983618888,
明运大厦,,05983652499,
兄弟商务酒店,,05983730000,
金鹏宾馆,,05983672999,
燕江国际大酒店,,05983588888,
君临大酒店（东坡路店）,,05983558088,
燕瑞宾馆,,05983606518,13960576677
景江宾馆,,05983664799,
九龙宾馆（燕江东路店）,,05983664888,
五洲大酒店（新安店）,,05983835888,3835999
君临大酒店（永安党校大院店）,,05983868555,
桃姐宾馆（永乐店）,,05983686989,
山水宾馆（中山路店）,,05983801777,3802777
富翔宾馆,,05983855766,
九洲宾馆,,05983664777,3664111
速8酒店（永安新安店）,,05983718888,
金阳光大酒店,,05983815678,
乐嘉旅馆,,05983631820,
新力宾馆,,05983664988,3631184
盛堂商务宾馆,,13163820111,
永安旅社,,05988819604,
彩虹旅馆,,05983661831,
东方宾馆（燕江东路店）,,05983607518,
北门桥旅馆,,05983805567,
商和旅馆,,18760298827,
安华酒店,,05983700108,
黄山宾馆,,05988811085,
三和旅馆,,05983612900,
和平旅馆,,05988819786,
建平大酒店,,05987529988,
东门大酒店,,05983663277,
林业宾馆,,05983631633,
阳光公寓,,13799182975,
清闲小栈（大润发）,,13328599360,
海悦宾馆,,05983637961,18965306395
明商务宾馆,,400833-6699,
江南宾馆,,05983601818,
白云宾馆,,05983624888,
站前招待所,,05988833864,
锦源宾馆,,05983635618,
天缘宾馆,,05985116665,
龙都宾馆,,05983629888,400833-6699
含笑大酒店,,05983566599,
华意旅社,,05983730448,
美食街公寓,,05988818080,
喜来乐旅馆,,05985856623,
东昇宾馆,,05983637019,
江滨旅馆,,15659626119,
龙岭新村公寓,,05983664988,
安贞旅馆,,05983666518,
假日旅馆,,05983735000,
