姓,名,家庭手机,工作手机
五洋心悦公寓,,15023715331,13500344722
陆亿栋宾馆,,02361198508,
鸿达宾馆,,02349481896,13271822440
阿富尔连锁酒店（语鸣度假店）,,02349892341,61161978
丽豪宾馆,,15723396810,
西洲宾馆,,02349580456,13072390118
美天酒店公寓,,18908345613,
秦煌宾馆,,02349866297,
致祥商务宾馆,,02349683858,13648401479
印尚连锁酒店（重庆永川店）,,02349211988,13983396695
五洋温馨公寓（文理学院店）,,15923376543,13696485988
东升宾馆,,02349883229,13983620010
创业号旅馆,,17749988607,
安达宾馆,,02349881348,
爱情公寓,,18523442949,18580077109
艺海宾馆,,02349295016,
五洋都市公寓,,18983219996,
文理1+1温馨宾馆,,18996307335,18983885639
锦致邻家酒店,,02361179222,
香樟苑酒店,,15215199886,
上游客栈,,02349869859,
枫叶宾馆,,02349206298,
二轻宾馆,,02349813186,17783450891
文理学院豪庭公寓,,13896086023,
美晟公寓,,02349833346,18983665447
文曲宾馆,,02349870288,18102347203
江汶公寓,,15826195313,17782357309
香国宾馆,,02349470466,
同聚楼宾馆,,02349889908,13527377106
学苑宾馆,,02385376078,
索菲商务酒店,,02349576999,
朗豪宾馆,,02387162929,
阿富尔连锁酒店（永川火车站店）,,02361180333,
悦城商务宾馆,,02349838758,
重庆小糖人酒店,,02381106777,15320590099
7天连锁酒店（重庆永川客运中心站店）,,02349801777,
百谦宾馆,,02349655518,
平安金怡酒店（原旅伴奈斯酒店）,,02349203366,49360808
精通一心酒店,,02387163888,
好岁商务宾馆,,02349588333,
云漫酒店,,02349666699,13618339522
紫竹园,,13752807059,
乔富商务酒店,,02349397788,
爱尚明珠商务酒店,,02349281888,18002309812
重庆永川大酒店,,02349506888,49506898
文理九鸿宾馆,,13883787719,
紫阳花园酒店,,02349306088,
重庆丝绸宾馆,,02349800056,
iu酒店（重庆永川乐和乐都大南门店）,,02349228333,18182307123
重庆青舟宾馆,,02349295060,
7天连锁酒店（重庆永川渝西广场店）,,02349655577,
中华茶艺山庄,,02349890999,
8天雅居家庭宾馆,,13618333112,
悦苑公寓,,02349355366,17723560752
柏天酒店,,02349396666,
曙光主题酒店,,02349309688,
洪金龙尊居公寓,,15998950329,17708356748
世纪州宾馆,,02349681888,
1320舒适公寓,,18680784845,
御龙雅居家庭宾馆,,15310696820,
永鑫公寓,,17783566160,13452833494
恋旧的喵喵公寓式酒店,,18166598778,18183131500
馨雅酒店（永川万达广场店）,,02349376888,18696618826
蜂尚宾馆,,15086958158,
阿富尔酒店（全恒店）,,02349201999,17783177467
华达宾馆,,17784752436,
渝腾宾馆,,02349890889,13368321768
卡蓝时尚公寓,,13983494753,
港岛大酒店,,02349515888,
福湾大酒店,,02349291999,
佳缘公寓（重庆文理学院店）,,15320218266,
凤凰湖青年客栈,,18623196008,
汉庭（重庆永川名豪美食街店）,,02349579666,
远招旅馆,,13709400203,
恒瑞祥宾馆（环北路店）,,02385376388,
湖畔公寓,,13896133095,
源天奥兰酒店,,02349657777,
韵竹宾馆,,15998984876,
五洋青年公寓,,18716670798,
蜀华宾馆,,02349800785,
怡茹宾馆,,13399883429,13608331430
