姓,名,家庭手机,工作手机
立云宾馆,,07468423367,
回龙宾馆,,13762962997,
梦巢旅馆,,07466322505,18075805855
星燃宾馆,,13016191818,15575203103
天兴宾馆,,07468363399,15074664191
渝州宾馆,,15673473733,13337261715
幸福宾馆,,15974061997,
蓝月亮宾馆,,07467792538,
云居港宾馆,,07462836666,
鑫源宾馆,,07462352881,
兰天宾馆,,07468826288,
金穗宾馆,,07462888111,
鑫鑫宾馆,,13397626110,
今朝宾馆,,07468337779,
南天宾馆,,07468373777,
波斯湾宾馆,,07468212338,
永州市冷水滩区格林假日酒店,,07462817777,8797222
爱度主题酒店,,07468533999,
伊甸园情侣主题酒店,,07468667222,
天然宾馆,,18174629315,
凯悦宾馆,,07463289000,
天鹅湖商务酒店,,07462321555,
六天宾馆,,07468686393,
富临宾馆,,07462855888,13789222059
怡佳公寓,,07468378822,
锦伦宾馆,,18932184851,
藏龙宾馆,,07468212699,15575228099
假日宾馆,,07464728388,18942588426
五洲宾馆,,07462851666,
雅园宾馆,,07464762908,
玉松宾馆,,07468414336,13874618307
园鑫宾馆,,07468628777,
艳阳天商务酒店,,07462886999,
万豪商务酒店,,18944973553,
六加客栈,,07468212399,
湘桂粤客栈,,07465816156,
新田大酒店,,07464866666,
椒山宾馆,,07468839777,
东安县如家宾馆,,15869958689,
瑶家客栈,,13874363508,
道县尚客优快捷酒店,,07465667979,
永回宾馆,,07465911806,18874658365
中山城酒店,,07466777096,6777078
明新天下大酒店,,18944962177,
尚客优快捷酒店（东安湘中城市广场店）,,07464219985,
香府商务大酒店,,07466660603,
鸿运来宾馆,,07463766889,
欧米罗商务酒店,,07468828888,
唯爱主题酒店,,07468618222,
柴火酒店,,07463224577,
阳明山武成楼大酒店,,13874693598,
福鑫宾馆,,07462838111,
威尼斯酒店,,07468859899,
五彩今天连锁酒店（翠竹路店）,,07468873333,
天天主题酒店,,07468322777,
西子湖商务宾馆,,07465666662,15607460088
普华商务宾馆,,07464230666,
欢盈· Argyle公寓,,07468227266,
城品酒店（永州冷水滩零陵中路金水湾广场店）,,07468660777,8521957
7天连锁酒店（永州冷水滩舜德摩尔步步高广场店）,,07468466777,8453777
永州唯美时尚酒店,,07468711666,18307470630
维罗娜主题酒店,,07463268111,
向阳宾馆,,07468327333,
湘桂精品酒店,,07468511581,8212888
月亮湾宾馆,,07468486789,
华信国际大酒店,,07463258888,
御天大酒店,,07465216999,5216988
荣星时尚酒店,,07468877666,
维也纳酒店（永州外滩店）,,07468838888,18153899806
7天连锁酒店（潇水中路二中店）,,07465333377,18684625004
明华宾馆,,13787662567,
鑫泉大酒店,,07468522222,
阳光商务宾馆,,07466681718,18974688876
