姓,名,家庭手机,工作手机
王府假日酒店,,03503315222,
吉利宾馆,,13994102575,13509703931
格日宾馆,,03508277066,
吉祥宾馆,,15035004951,
丹枫白鹭旅店,,13546101577,18635019132
舒雅商务酒店,,03508299029,13994181808
普京宾馆,,15935050304,
盛泰宾馆,,13994198216,13509703659
宏升酒店,,03508339566,18636018877
新雅宾馆,,03508222414,13834004098
土豪金宾馆,,03508717773,
庆义久快捷酒店（火车站店）,,03508242333,
庆义久快捷酒店,,03508256666,
捷程快捷酒店,,03508357999,
家家乐大酒店,,03503314266,8373588
和泓宾馆,,03508371666,
欣荣客怡,,03503218556,
九久商务宾馆,,03503218099,
都市118连锁酒店,,03503333118,
骏怡连锁酒店（原平店）（原王朝商务宾馆）,,03508291111,
尚好佳快捷酒店,,03508330333,8387888
尚客优骏怡连锁酒店（新康力度假村店）,,03508290091,8261111
银海连锁酒店（原平店）,,03508227100,
电力大酒店,,03508251555,
万豪商务宾馆,,03503319888,
原平农艺培训中心,,03508565111,
嘉晋商务酒店,,03508395111,8515891
金寨大酒店,,03508556555,
晋绿宾馆,,03508585799,
原平宾馆,,03508231342,8230889
京原宾馆,,13363500877,13363507718
力美世纪商务酒店,,03508555555,
亿客家商务宾馆,,13753002660,
比家美旅店,,18634656286,
原平如约月租房,,13834004098,
梨花宾馆,,15034463596,15388502725
远大酒店,,03508389789,
云升旅馆,,13994122728,15834086164
德盛缘休闲会馆,,15735070799,18635019370
红树林大酒店,,03508556029,13994129997
凯雯主题酒店,,03508269888,13994122829
友谊宾馆,,03508333777,
金业宾馆,,03508292888,
家元素快捷宾馆,,03508518833,
东方宾馆,,03508227444,13835026118
同河宾馆,,03508222615,
北国芙蓉酒店,,03503319688,
原平黄河京都大酒店,,03508228888,8210091
云锦水会,,03508351111,
金三角宾馆,,03508220383,13994198093
德隆商务会馆,,03503319591,
富龙宾馆,,03508585088,15034492212
鑫鑫宾馆,,03508271888,18635022599
宜家商务快捷酒店,,03508263999,8292999
舒雅宾馆,,03508585825,
新家美公寓,,15834284616,
原平豪门大酒店,,03508252000,
辽晋休闲洗浴中心,,03503218557,
蓉池宾馆（二部）,,03508293999,8228105
玉泉宾馆,,03508242111,
龙泽宾馆,,03508258188,13133201793
农校宾馆,,03508565111,
西山宾馆,,03508288888,
红高粱旅馆,,13303503055,
锦鑫宾馆,,03508648611,
文明旅馆,,13935069208,
福缘宾馆,,03508373788,
龙池宾馆,,03508586959,
八达宾馆,,03508237689,
王朝商务宾馆,,03508291111,
龙马湾宾馆,,18636043300,
星河旅店,,15383602577,
小强宾馆,,13994198099,
吉安宾馆,,03508225288,
西山旅店,,13835072639,
串串家园,,18636639744,
财神客栈,,15110551230,
洁静宾馆,,03508230333,
龙都宾馆,,03508224248,
天天旺旅馆,,03508238609,
天和宾馆,,13835023637,15296605998
原平市宾馆,,03508277703,
原化招待所,,03508227544,
崞阳宾馆,,03508299739,
鑫都宾馆,,03508228393,
迎宾宾馆,,13233508834,
时代宾馆,,15835009929,
星河旅馆,,15735086321,
泰和会馆,,03508256999,
红利旅馆,,18335041366,
温馨宾馆,,15110542344,
福居宾馆,,03508249026,
方圆旅馆,,13935068894,
吉祥宾馆（永兴南路）,,13610601372,
五寨小酒店,,13403504985,
原兴旅店,,13603508526,
平安旅馆,,03508558884,
站前宾馆,,15135024130,
柳香园度假村,,03508290044,
铁路宾馆（原平店）,,03508585288,
车站宾馆,,03508228508,
福新招待所,,03508238117,
家佳旅馆,,15935051302,
华美宾馆,,18295846032,
凯昇商务会馆,,03507373627,
华成旅馆,,15235002289,
老李旅馆,,15035011711,15110598390
鸿运宾馆,,03505818021,
新颖旅馆,,03508223150,
御园宾馆,,03503315191,
芳芳洗浴住宿,,13643633332,
