姓,名,家庭手机,工作手机
阳光商务宾馆（市中路店）,,05347459666,7459668
鸿泰大酒店,,05347267999,7369997
舒雅商务宾馆,,05347788111,
隆泰宾馆,,05347264567,
润佳商务宾馆,,05342125166,
四通商务宾馆,,05347448555,
森源商务宾馆（人民路店）,,05347322969,
香江商务宾馆,,05347424886,
途家快捷宾馆,,05342121618,
鸿福商务宾馆,,05347727777,
三兴达商务快捷宾馆,,05347737788,
法迪莱宾馆,,15965907418,
汝家商务宾馆,,05347356789,13639451288
市中商务宾馆,,05347226231,
胜都商务宾馆,,05347368777,
优优快捷宾馆,,05347228111,
华禹商务宾馆,,05347320588,
尚客优快捷酒店（德州禹城解放路店）,,05342128567,
建新宾馆,,13176274377,13176274388
恋家连锁宾馆,,05347448999,
禹城儒府时代酒店,,05348100000,
如家快捷酒店（东方大厦店）,,05347456789,
东昇宾馆,,05347422399,
龙鼎轩养生会所,,05347776677,
凯旋门宾馆,,15206977253,
东方明珠商务宾馆,,05347363888,
平安宾馆,,13396279793,
文民商务宾馆,,15725347179,15315879178
禹城市佳宜商务宾馆,,05342122668,
超越商务宾馆,,05348386381,13665343638
蓝天宾馆,,13181365766,
禹贡商务宾馆,,05346157999,6158999
久安宾馆,,05342128126,
明珠大酒店（站南店）,,05347564999,
鸿晟商务宾馆,,05347291158,
禹城宾馆,,05347289100,
鑫海旅馆,,13573479388,
陶然居宾馆,,13583444419,
万豪宾馆,,18253484228,18606400588
宇通商务宾馆,,05342128488,13465158188
君安居宾馆,,05347285202,
玉玺宾馆,,05347228611,
新佳宾馆,,05347441678,15065343300
迎宾宾馆,,15863314097,
如意宾馆,,15965972385,
养沅轩宾馆,,05347566668,
友和商务宾馆,,05347776167,
金泰宾馆,,05347631111,
大禹商务宾馆,,05347723888,
汇源商务宾馆,,15806888226,
丰顺楼商务宾馆,,05347222030,
亿雅宾馆,,13562484526,
鑫悦商务宾馆,,05342127788,
好莱屋宾馆,,05347220869,15053462345
温商宾馆,,05347325918,
商城宾馆,,05347666666,7262666
阿波罗大酒店,,05348912111,
泰和宾馆（钱江街店）,,15069296858,
润通快捷宾馆,,15969771588,
东方大厦酒店（客房部）,,05348915588,
齐鲁宾馆,,13869282116,
鑫鑫宾馆,,15965931472,
金穗大酒店,,05347799988,
58商务宾馆,,05347785999,
龙凤商务酒店（站北路店）,,05347325999,
明珠大酒店,,05347226688,
凤凰街33号宾馆,,15863312333,
福泰商务宾馆,,18605343499,
凯悦大酒店,,05347280999,7280777
东悦宾馆,,15863318661,
荣华宾馆,,05347323076,
鑫源宾馆（市中路店）,,05347320976,
新佳宾馆,,05347441678,
盛鑫源度假村,,05347466789,
运通宾馆,,05347324896,
禹城永鹏宾馆,,15615340695,
鸿源商务宾馆（开拓路）,,15963395728,
乡里乡亲农家院,,15065440568,
禹城幸福妈咪产后修复咨询服务,,18766040544,
大禹宾馆,,15066506565,
大唐商务宾馆,,15053442866,
宜家宾馆,,05347687999,13220991896
假日商务宾馆,,13176278887,
瑞祥宾馆,,05347325678,
世家宾馆,,18553463456,
同福宾馆,,15165946158,
鸿禹宾馆,,18263062777,
金太阳宾馆,,05342120552,
涵禹宾馆,,15165927377,
豪客宾馆,,13953447622,
城东宾馆,,05347721133,
鑫福宾馆,,05348955218,
泰锋义英宾馆,,05347224097,
工农宾馆,,05347228611,
大众旅馆,,05347223128,
盛源宾馆,,15963366143,
龙禹宾馆,,15069268626,
小城公寓,,18905442220,
鑫达宾馆,,05347369567,
祥意宾馆,,05347363188,
金桥商务宾馆,,05347775555,
天丰园大酒店,,05347424005,
物资招待所,,05348956951,
德州德城区新华宾馆,,05348947590,
金富源宾馆,,05347622144,
