姓,名,家庭手机,工作手机
东风快捷宾馆,,18137005271,
园园宾馆,,18736851297,
诚信快捷宾馆,,03704132899,
隆鑫宾馆,,03704112866,
府园宾馆,,03704112799,
康特快捷酒店,,03704994999,18736860183
益晨宾馆,,03706076919,4999188
泊客时尚快捷酒店,,03704442999,
新建宾馆,,15839029918,
平安宾馆,,03703021418,
天阳宾馆,,03704115138,
绍宸宾馆,,03704990577,
新兴浴池宾馆,,03704667766,
东环快捷宾馆,,03704996168,
聚客源快捷,,13460111761,
和谐快捷宾馆,,03704435666,15836805666
金元国际大酒店,,03704686666,
城市之家森林温泉酒店,,03704468888,
速8宾馆,,13353600567,13781500789
百盛宾馆,,03704124988,
中天城市酒店,,03706795222,17739017073
贝尔特商务快捷酒店,,03704719799,
响河快捷宾馆,,03704475999,
加州旅馆,,03704137555,
尚客优快捷酒店（商丘虞城漓江路店）,,03704162222,
木兰商务宾馆,,13183048333,
都市118连锁酒店（虞城政府店）,,03704999118,
华庭之星快捷宾馆,,03703010777,
大同宾馆,,03704112567,15237092788
金豪快捷宾馆,,03704666668,15958008966
青禾商务快捷酒店,,03704732999,
三联快捷酒店,,03704112888,
尚佳主题快捷宾馆,,03704216166,
东铃大酒店,,03704162762,
西环温泉酒店（西转盘店）,,03704998888,
四季商务宾馆,,13598337219,
西环快捷,,03704994567,
西环温泉（新建路店）,,03704990000,18937069226
温馨快捷宾馆,,03704681789,
豪豪宾馆,,13781653839,
虞城县木兰镇如家宾馆,,18037058388,
正方宾馆,,15903807678,
安优快捷酒店,,03704441888,
美宜家连锁酒店（虞城嵩山路店）,,03704123888,
南国快捷酒店,,03704441111,
民族宾馆,,13937045289,
大浪淘沙温泉酒店,,03704401111,
东环温泉洗浴中心客房,,13343605559,18037345688
虞城舒馨宾馆,,03704518168,18637055509
虞都商务宾馆,,03704121766,
木兰国际大酒店,,03704219111,
心雨快捷宾馆,,03704127888,
蔚来温泉快捷宾馆,,15137033733,
虞高宾馆,,15239928999,
假日温泉,,03704158888,
大命宾馆,,15836455593,
豫东宾馆,,03704121558,
老田大酒店,,13233891253,
郭政大酒店,,13211065678,
远东宾馆,,03704118359,
新新宾馆,,13837009381,
虞佳香酒店,,18303890868,
春光宾馆（健康路）,,03704127367,
艾诺快捷,,03704731888,
得阳快捷宾馆,,0370459777,
德良大酒店,,13569356393,
鑫鑫大酒店,,13598339895,
天然居,,03704118088,
佳和宾馆,,13949901621,18437063722
新兴洗浴宾馆,,18637024202,
诚信宾馆,,03703021302,
有家宾馆,,03704122642,
旺角宾馆,,03704889006,
天元宾馆,,03704446777,
洪慧宾馆,,03704879768,15896944061
静园宾馆,,13949901137,
