姓,名,家庭手机,工作手机
聚缘公寓,,15803486875,15035078562
小天鹅宾馆,,03598535889,13994997580
鸿达酒店,,03595524759,
恒泽大酒店,,03592618888,2619293
祥云旅馆,,03596021717,13293863489
顺德宾馆,,03592022898,
美巢之韵酒店,,03598894111,
黄河大厦酒店,,03592061788,2023135
鸿运宾馆,,03592291299,
天源宾馆（禹都大道店）,,03592407111,13015318514
瑞泽源酒店,,03596039111,
大众公寓,,03598652821,15935907962
唐回大酒店,,03592588268,
稷王宾馆,,15835989779,
润丰商务宾馆,,03598615988,
精品酒店,,03592023366,
和平宾馆,,03592128835,
伊甸园生态庄园,,13934889852,
七喜酒店式公寓,,13111243584,
福康公寓,,15536272996,
佳馨宾馆,,03598021695,13191197216
紫明轩公寓,,18235974417,
西城宾馆,,18406471281,
公寓酒店,,18635988780,
环球网络宾馆,,18636332259,
华宜宾馆,,15035985600,
鸿运家园,,03598763481,13313594200
河津龙腾宾馆,,03595798500,
阳光宾馆,,15035909458,
客隆宾馆,,15534825007,
诚意宾馆（棉北街六部）,,03592121414,
金凤苑大酒店,,03592264777,
金马大酒店（学苑路店）,,03597651888,7651999
芒果电影主题酒店,,03598252222,
美立房时尚主题酒店（四部）,,03598887999,
天汇宾馆,,15835266434,
科米佳苑,,03592513166,
金色假日快捷酒店（新绛店）,,03597847777,
和悦快捷酒店,,03592125577,
绿苑宾馆,,03592896888,
心悦宾馆（槐豫中路店）,,18634690626,
文馨酒店,,03598697000,15235996666
安迪商务会馆,,03596025555,
四海宾馆,,03595581082,13453395039
同悦宾馆,,13610637056,
花园宾馆,,13935942226,
家惠宾馆,,03595280028,
金江商务宾馆（振兴路店）,,03595038003,5022002
鑫丰大酒店,,03592067888,
国安大酒店,,03592030222,
尧舜·宾馆,,15535976767,
锦江宾馆,,13097516081,13223595939
佳玺公寓,,15135048732,
红楼宾馆,,03593525552,
晴馨公寓,,13353483455,
中亚宾馆,,03595162555,13835901912
瑞阳宾馆,,03592088248,18135911816
平陆旅馆,,03593527521,
君悦商务宾馆,,03595036266,
华祥宾馆,,03592062555,
三江客栈,,03597029603,
鑫瑞快捷酒店,,03598675517,
金茂宾馆,,03592024111,13100091909
瑞鑫宾馆,,03594029899,
金鑫宾馆（城北村店）,,03595031818,
广悦酒店（凤凰北路五店）,,03592066588,
千禧主题酒店,,03596666688,
金琥珀假日主题酒店,,03592500885,
晋州快捷酒店（绛县店）,,03596908777,6909777
银月宾馆,,03595039339,
佳运宾馆,,03596888111,
津翔商务酒店,,15003489563,17703483381
时代温馨公寓,,13994895816,
绿孔雀酒店公寓,,03598729459,18135966402
福元宾馆,,03593080552,
佳客达宾馆,,03594022902,13100099588
鑫亚宾馆,,03596321118,
馨惠宾馆,,03596081666,
君悦宾馆,,15835933462,
金源商务宾馆,,03595280437,5280481
升华宾馆,,03595030758,
美立房时尚主题酒店（一部）,,03596321555,
三和源宾馆,,17735960736,
红旗宾馆,,03598505777,
金海滩宾馆,,03598536678,
光明宾馆,,03593023455,
5号公寓,,15035434446,
金洪福宾馆,,03595280088,
新悦宾馆,,13233237655,
鑫港宾馆,,03592598681,
新时代宾馆,,13934370133,
凯瑞宾馆,,15635994216,
银河快捷酒店,,03598818888,15135931678
嘉瑞宾馆,,03598650400,
华都宾馆（车站坡店）,,03597030599,
中和宾馆,,03595300111,
金福源宾馆,,13835921139,
鑫湖宾馆,,03597035999,
金源宾馆,,03598522148,
宾客聚旅馆,,13994891935,
嘉宸商务酒店,,03597751777,13008018296
万芳苑宾馆,,03598533433,
青苹果酒店,,03598708388,
蓬莱宾馆,,03596060620,
一米阳光酒店,,03595160333,
云霞宾馆,,03598608588,
禾怡宾馆,,03597025553,18635933477
湘江酒店,,03598520876,
富贵快捷酒店,,03597055777,
凯德龙主题酒店,,03597183333,
跃鑫大酒店,,13734298282,13935985987
鑫悦会所,,03598533216,
天和轩宾馆,,15333098678,15935907077
翡翠精品酒店,,03598667777,
红福大酒店,,03598892999,15735358310
乐巢公寓,,18635913131,
金鼎商务酒店,,03594685555,4581555
儒贤宾馆,,03593660069,
梦锦宾馆,,15513599361,13835946308
龙泉商务酒店,,03595312888,5385666
神仙居快捷酒店,,03593559888,
鼓楼酒店,,03596381999,
明轩快捷宾馆,,03594080888,15235655999
名豪之夜,,03595109111,
边师大酒店,,03597028100,
华兴宾馆,,03596563022,13734297879
金龙宾馆,,03595254928,18003486811
淋怡宾馆,,14797463631,
万豪快捷酒店,,03596133888,
鑫源宾馆,,03594530538,
龙海宾馆,,03594620777,
迎宾楼宾馆,,03597021156,
瑞安阳光快捷酒店,,03592157799,17703594667
爱·家快捷酒店（车站店）,,03597031299,
唐开元商务酒店,,03598038000,
国贸大酒店,,03592277666,15035489478
朝阳宾馆,,03592084550,
乐途网络酒店,,03596336699,
笑城快捷酒店,,03594827666,15635977518
金鼎大酒店,,03594033699,18406466893
白云快捷宾馆,,03597525666,
玛尔达商务酒店,,03596365558,6365678
锦恒快捷酒店,,03592592888,15513494488
千禧桔子快捷酒店,,03598648801,15235925088
港南公寓酒店,,03598520586,
Casa Hotel酒店,,03598703333,
汇元酒店公寓,,03598509555,
鸿鑫宾馆,,03596024000,13753980548
裕兴快捷宾馆,,03597536677,
济源时尚酒店,,03596535150,
馨悦快捷酒店,,03592555556,18835955556
晋禹休闲会馆,,03595178888,
黄鹤楼别墅宾馆,,03596084888,
笑城生态窑洞客栈,,03592788400,
丽嘉宾馆,,03594097111,
尚客优快捷酒店（运城绛县文公路店）,,03592388882,
e家宾馆,,03598534111,
金爵宾馆,,15582916222,18135226888
亿豪宾馆,,03594026222,
