姓,名,家庭手机,工作手机
三清望湘源酒店,,13698089929,
万福大酒店,,07932113333,18907030266
玉龙大酒店,,07932208888,18907030266
芳芳旅社,,13970316765,
南海宾馆,,15779918297,
鸿缘商务宾馆,,07935293266,
三清山宾馆（玉山店）,,07932255979,
美仑商务酒店,,07932328888,2235118
麦可将国际大酒店,,07935205008,5205006
白宫假日宾馆,,18907030165,
7天连锁酒店（玉山高速路口汽车站店）,,07932136777,
横街宾馆,,15979371238,
金鑫田旅游度假村,,18379907000,15070357297
友谊国际酒店,,07932325966,2325999
玉溪酒店,,18720380045,15870939543
金凤巢酒店,,07936905888,
宜家宾馆,,07932460088,17779306992
373农庄,,18379908169,
宝龙精品酒店,,07935208888,
乐怡宾馆,,13766469252,
舒诚宾馆,,18070439991,18070439990
三清山华设驿栈,,13576388772,
三清山乐途客栈,,18770373198,
芳芳宾馆,,18779316629,17779310160
七一水岸山庄,,15179037288,
上饶青庐国际青年旅舍,,18270188769,
清玉宾馆,,07932359666,
福地·快捷酒店,,07932205818,
三清山悦宾农庄,,07932113087,
农夫山庄,,07932255721,
日景宾馆,,18296312660,
穗丰阳光酒店,,07932598888,
汇友宾馆,,13479399001,
玉山玉台国际酒店,,07937076666,7990088
格林豪泰商务酒店（玉山博士大道店）,,07932561988,
蓬莱宾馆,,13307036088,13086121188
天御商务酒店,,07932139999,
青青宾馆,,18179312089,
城市花园酒店,,07935293333,
玉山豪盛国际大酒店,,07932555555,
龙腾宾馆,,15374387522,
万家宾馆,,15179362855,
汉庭（玉山三清广场店）（原上饶玉山县店）,,07932367222,
锦江之星（江西玉山县三清山店）,,07932326666,
玫瑰假日酒店,,07932368888,
君悦国际大酒店,,07935298888,5298800
总统休闲,,07932352488,
名豪宾馆,,07932365113,15779918046
国贸大酒店,,07932353333,13767320871
乾峰大酒店,,07932367777,18970328810
玉山皇朝国际大酒店,,07932259999,2259888
福美假日酒店,,07935293788,13907932241
金华宾馆（武安西路店）,,13879306316,
玉威宾馆,,18970346673,
莲塘宾馆,,07932552089,
望江楼宾馆,,07932554796,
西海岸宾馆,,07932233588,
乾鑫宾馆（玉山店）,,07932352211,
玉山半岛国际酒店,,07932232222,
华鑫宾馆,,15216025033,
鑫源宾馆,,07932257966,13907030024
腾龙商务宾馆,,07936907777,6900888
欣愉宾馆,,13576321046,
浙商大酒店（玉山店）（原玉虹大酒店）,,07932326888,
锦虹宾馆,,07932562233,18970347966
三清山红枫酒店,,07932457333,15779137013
小城之醉商务宾馆,,07932561666,
龙泉宾馆,,15070392507,18296425149
玉豪宾馆,,13755361589,
珺轩商务酒店,,07932113666,
玉山豪泰国际酒店,,07937138888,
洛晶时尚精品酒店,,07936900998,15179338510
玉和商务连锁酒店（上饶）,,07932325888,
小天鹅宾馆,,15979346630,
三清山美景大酒店,,07937992000,7992111
玉山华云酒店,,07932357888,15579388595
东海岸宾馆,,18079330380,
玉山和平阳光酒店,,07932118888,
玉山豪门国际酒店,,07932116888,2116666
玉山玉虹国际大酒店,,07932258222,
三山假日宾馆,,07932465333,2460798
万豪宾馆,,07932238666,
深山农家乐,,15179007305,
玉山聚星宾馆,,07932550202,
三清山农家鱼庄,,13970352273,
三清湖度假山庄,,07932403888,
梦蝶宾馆,,07932557073,
玉山县绿色青旅,,13627931066,
老尤饭店住宿,,13237535718,
聚源宾馆,,15387930869,
万通快捷宾馆,,15879379555,
玉豪宾馆,,07937881299,
文燕宾馆,,13479036545,
三六九酒店,,13870331977,
亿源商务酒店,,07936900888,
三清山阿山哥农家乐,,07932406118,13067712332
望京峰山庄,,18170399921,
帝豪酒店,,13979339877,13576303534
传说大酒店（汪应辰路店）,,07932255577,
三清山三清大院,,07912180088,
蓝天商务宾馆,,07932359888,
汇鑫宾馆（玉山店）,,07932362757,18770372319
学生之家（一中店）,,18379950082,
柴火农庄,,18270186342,
小小宾馆,,15347935577,13979367153
乡缘大酒店,,07932408254,15179017916
亿家客宾馆（玉山店）,,15946871934,
郑氏旅馆,,15879398081,
鑫洋旅馆,,13970365451,
浙江宾馆,,13970348781,
白云宾馆,,13767343786,
大哥大宾馆,,400833-6699,18979375831
车站宾馆,,13014428588,
芳苑旅馆,,15270085232,
金三角宾馆,,07932554095,
三清缘宾馆,,07932236008,15979397533
杨氏宾馆,,07932258075,
诗芬大酒店,,07932555788,
自驾游民居房,,13732258874,
杨家小宾馆,,15350038626,
华霞宾馆,,07937079099,400833-6699
逸安公馆,,18606068230,18202886620
来福宾馆,,18370338819,
真真家园小酒店,,15079334002,
钰泽酒店,,07932480666,
胜家宾馆,,13576320479,
三清山玉峰宾馆,,07932492034,
杨辉公寓,,13979338895,
三清大厦,,07932233888,
祥玉宾馆,,18296424885,
蓬发宾馆,,07932206666,
迎客来宾馆,,15579358377,
美佳宾馆,,07932551188,
三清龙洞湖山庄,,13755342588,
上饶玉山龙腾宾馆,,07936900266,
锦佳宾馆,,14707937107,
银茂宾馆,,07932255701,2255728
米粒食,,15946889814,
华业宾馆,,13698032661,
