姓,名,家庭手机,工作手机
东方夏威夷水城（客房部）,,03748289888,
赵庄商务酒店,,15136875039,
广源宾馆公寓,,03748080699,
星光假日商务宾馆,,18039992132,15037492825
德亿宾馆,,03742076966,
锦港宾馆,,15290992636,13837410310
好七家庭旅馆,,03748109188,8112006
城市便利酒店,,13949832239,15936303063
运龙商务宾馆,,18337409222,
宜居宾馆,,03748398858,13303747770
灵发宾馆（二部）,,03748269977,
旭昇时尚快捷宾馆,,03748357777,
禹龙快捷宾馆,,03748816680,
锦园快捷宾馆,,03742058000,
舒馨商务酒店,,03748226777,18603745789
灵发宾馆,,03748160088,400833-6699
中沅洗浴宾馆,,03748602668,15937485363
爱之家时尚宾馆,,03748719666,8102826
丽都时尚商务宾馆,,03748686111,
钧都宾馆,,03748160666,
瑞丰宾馆,,03748689777,8688777
长春公寓,,18937462121,13460539888
洪瑞商务宾馆,,03748331999,13837481108
君御酒店,,03748830666,
凯隆快捷宾馆,,03742737888,
幸福家园商务酒店,,03748257000,8333399
华利宾馆,,03748280077,13937473910
斯丽卡尔视觉酒店,,03747366666,
孔家商务宾馆,,03748869998,
未来易家快捷宾馆,,03742057555,
柠檬树商务宾馆,,03748777666,
金帝辉煌商务宾馆,,03747031666,
喜鹊致嘉酒店,,03748888081,
龙域酒店,,03748173456,8295555
泓润花园酒店,,03748603333,
美宜家连锁酒店（禹州药城路店）,,03748157111,
景程商务宾馆,,03742055666,8809666
N次方快捷酒店,,03746066788,6066789
英格兰假日酒店,,03748888016,8888019
君悦商务酒店,,03748888666,8888555
梨园大酒店,,03748880880,
桃花源私人管家酒店,,03748666111,
蓝翔商务宾馆,,03748286661,8286662
城市连锁酒店（中华药城店）,,03748169699,
恒苑宾馆,,03748216111,
民政宾馆,,03748296660,
锦江假日宾馆,,03748827999,
奥特瑞格主题酒店,,03746068777,6068111
好七休闲旅馆,,03748185799,
万爱时尚宾馆,,03748252888,
承轩商务宾馆,,03748739666,
美宜家连锁酒店（众康店）,,03747373336,
四海招待所,,03748266576,13733695783
白雪快捷宾馆,,03748263198,
蓝海三元商务宾馆,,03748288111,15638759766
海澜商务酒店,,03748255222,8258001
和家宾馆,,03748113789,
宏泰快捷宾馆,,15290991717,
尚一特连锁酒店（药城路店）,,03748615888,15393780523
豫鼎钧窑商务酒店,,03748867766,13733636063
上元公寓,,13619882886,
永锦宾馆,,03748186222,8170777
汇鑫源宾馆,,03748117853,13523283000
和谐公寓,,13782303720,
优雅公寓,,15393771206,
地中海宾馆,,03746039188,
蜜途风格酒店,,03748777222,8777000
丽豪快捷酒店,,03748113166,8110065
尚客优快捷酒店（禹州新体育场店）,,03747033188,
鼎信商务酒店,,03742760788,6073909
梅园酒店,,03748174681,
百姓公寓,,03748188696,8182203
良友大酒店,,03748222222,
金汇宾馆,,03746030067,13733667908
明珠宾馆,,15090274016,
金港湾宾馆,,03748356866,8349666
阳光快捷,,03748181333,
夏华宾馆,,03748285188,
御海商务酒店,,03748709999,
南国花园宾馆,,03748339888,
快捷宾馆,,03748336698,
爱情公寓,,13303747170,
泰华商务酒店,,03748235888,
华悦快捷宾馆,,03748609991,8609990
森源商务酒店,,03748333333,13782359666
红天商务宾馆,,03748138882,
颍河迎宾馆,,03748209999,
天悦商务宾馆,,03747373888,
新龙门客栈,,03742073369,
丰源宾馆,,03742068882,
八仙门宾馆,,03748116686,13782286378
阳光宾馆,,13728284569,
建材宾馆,,03748225368,15393772368
瑶池商务宾馆,,03748670000,
贝加尔商务中心,,03748799995,
天河源宾馆,,03742760286,
九州宾馆,,03748770888,13733731778
锦阳宾馆,,03742766196,
舒悦商务酒店,,03748226777,
京都商务酒店,,03748888996,18839960832
宜家公寓,,03742059222,
开元国际饭店,,03748369999,8369997
豫庭快捷宾馆,,03742057778,13733713300
玉凤凰快捷宾馆,,03748177767,
竹林大酒店,,03748179999,
阿得快捷宾馆,,03748608600,
