姓,名,家庭手机,工作手机
龙庭商务酒店,,08778860777,
兴茂宾馆,,13330588316,
翔舜宾馆,,13108775669,
漠沙金马酒店,,08777881088,15808654949
红祥宾馆,,15187782114,13887712010
恒兴宾馆,,08772665122,
佳华瑞宾馆,,13988473769,
红利来宾馆,,15912554486,15096728447
世合宾馆,,13529753953,14787783275
金海港商旅酒店,,08778896666,
静园酒店,,08774868090,
金源商务酒店,,08776125106,
365快捷酒店,,13529775258,15887886779
恒益宾馆,,08772011856,13708699878
浙雅商务宾馆,,08778885522,
汇全酒店,,08778897819,
云翔旅社,,14787525022,13987733469
欣凯客栈,,18687783050,
渔福记主题酒店,,08776683333,13577733284
爱爵晶九公寓酒店（时代广场店）,,08772039666,
忠诚酒店,,08776103027,
金福宾馆,,08774969831,
佳瑞快捷酒店,,08772667636,13988473769
天顺宾馆,,08772061102,2061546
家年华快捷酒店（明珠店）,,08778895988,
遇见主题客栈,,08777391288,13988439554
玉溪福龙商务酒店,,08772017556,
海逸客栈,,15125094914,13908893020
海宸时尚公寓,,13150503085,13988423758
云塔公寓酒店,,08778896557,15825146495
薪平招待所,,08772011530,
鹏程快捷酒店,,08772090260,
鑫湖酒楼,,08776610592,
流韵宾馆,,13577706006,
仙湖五养园宾馆,,08776613698,13908777450
成朋酒店,,08777776944,
颐庭酒店,,08776816688,15331559688
假日海湾宾馆,,15108717473,
联盟大酒店,,08772063168,
庭院酒店,,08776688763,13887739400
柏悦时尚酒店,,08772668168,6125809
美一刻公寓酒店,,08772033456,
钱山一号别墅自助酒店,,08776270166,
云湖庄园,,08778616888,
木棉花酒店,,15706967126,
锦程大酒店,,08778882333,
阳光酒店,,08774016688,
海晟庭苑商务会所,,08776680208,
名邦大酒店,,08773058999,3058689
东升宾馆,,08774318230,
亚太宾馆,,08772068882,
7天连锁酒店（玉溪明珠路店）,,08772797777,
雅园宾馆,,13887786617,
水井尚宾馆,,15825142246,
秀山客栈（毓秀苑店）,,08773050499,
红瑞快捷酒店,,18787785339,13887741028
云上酒店,,08778896588,
老袋客栈,,08776688852,15808663610
8号楼快捷酒店,,08772027822,
悦境度假酒店,,15812098100,
睿雅紫苑住宿,,08777776409,2088909
金达酒店,,08772031666,
如家云上四季连锁酒店（玉溪淘宝小吃街步行街店）,,08772021168,
芙瑞快捷酒店,,15687722996,
