姓,名,家庭手机,工作手机
轩逸宾馆,,051486166277,
天天旅社,,15366406522,
古巷人家青年旅舍,,15861358302,
颐兴宾馆,,051487579586,13375281586
金水顺旅馆,,051487666093,13952729878
鑫华旅社,,13852576768,
品尚大酒店,,051486997788,
尚客优快捷酒店（扬州万达店）,,051480924777,80925559
尤悠主题酒店（万达广场店）,,051480388808,
永乐客栈,,17751363505,17751363506
瑞娜精品酒店,,13004395979,
百月馨商务酒店,,051487609009,13912143162
扬州花瓶旅社,,15952729518,18796611726
东方大酒店,,051486886222,
振仪主题旅馆,,051483417139,13773366468
朋克芭蕾主题酒店（瘦西湖文昌阁店）,,051487318222,
云鹏旅馆,,15366870782,
姚庄宾馆,,15358518628,
天旺旅馆,,13338863993,
果拉克连锁酒店,,051483938999,
美丽海主题酒店,,051489991317,
曹庄旅社,,15358518628,
忠强旅馆,,051486552145,
谢集梅庄公寓,,15358518628,
翠微苑短租,,15358518628,
姚庄公寓（三店）,,18036262554,
兴隆旅馆,,051487656189,13182011208
宰庄旅馆,,051487888213,13852739912
贵缘招待所,,13813170696,
燕都宾馆,,051487782961,
馨园宾馆,,051484607113,13921920439
春园招待所,,13616295383,
尚客优骏怡连锁酒店（扬州百祥路万达广场店）,,051489790008,
皇庭商务宾馆（扬大瘦西湖店）,,051480388788,87809988
贤雅居宾馆,,051484068989,
大观园宾馆（文昌阁店）,,051480388588,
迷果风情精品酒店,,051480382198,
为阁酒店,,051485100123,
尚客优快捷酒店（扬州高邮东外环店）,,051484498899,18952551172
湖边客栈,,051487111398,
尚客优快捷酒店（扬州瘦西湖鸿福路店）,,051487117555,87125198
鸿锦宾馆,,051484608803,18952772666
瞿庄旅社,,15358518628,
红祥旅社,,18101440110,
学子居旅社,,051487774363,
永芳宾馆,,15050763810,
尚居客旅馆,,051486292290,
开心住宿,,18252700665,
多多旅社,,15396778909,
红霞宾馆,,13382748460,
士华宾馆,,13390649623,
鸿运宾馆,,051484615497,18905257958
鸿翔宾馆,,051480952787,
新时空宾馆,,051484600900,
杨灵旅馆,,13773508117,
华泰宾馆,,051487693597,87861226
榴莲小镇主题宾馆,,051482079633,
凯越商旅酒店,,051487969581,
城市便捷酒店（高邮汽车总站店）,,051484668777,18921929345
蓝天旅馆,,15190437578,18012349885
旺角旅馆,,15312835996,
北海宾馆,,051484614010,13348137689
新城宾馆（瘦西湖南店）,,051480971777,
云峰宾馆（文游中路店）,,051484660216,15952558728
板桥宾馆,,051484626800,18052552386
永安旅社,,15005271368,
华丽商务宾馆,,051484621388,
美丽缘旅馆（扬州工业职业技术学院店）,,18951439133,
金海湾宾馆,,18605218333,
幸福客栈,,13773510303,
尚城宾馆,,13952788250,
凌扬客房（万达店）,,051487956726,
大华宾馆,,13952712816,
茗香苑短租房,,15358518628,
致青春主题酒店（扬州大学城汇金谷店）,,051489888640,18952597305
足迹青年旅舍（瘦西湖店）,,18115657279,
众信缘宾馆,,051482200698,18252766688
扬州燕来青年旅舍,,13390618200,
赏花台宾馆,,18012340999,
优雅宾馆,,13773516093,
康宁宾馆,,18252700682,
四季阳光酒店,,13004326181,
金英旅馆,,13852218616,
兴旺宾馆,,051487655839,
冬云招待所,,051487983533,
剑津招待所,,051483221817,
利尔康宾馆,,051487498088,
长兴宾馆,,051484629089,13813111155
临峰旅馆,,051484627623,
富驿时尚酒店（瘦西湖店）,,051480826999,
个园国际青年旅舍,,051487348333,
龙凤商务宾馆,,051483960099,
鸿泰宾馆,,051487221755,
心时光主题宾馆（扬州大学城店）,,051489888779,18952597305
名园宾馆,,051485888255,82238228
清沐连锁酒店（扬州市望月路店）,,051487899266,
华夏旅馆,,051483440553,
福群客栈,,18952780256,
亿客来宾馆,,051487658588,
清风阁客房,,13852536179,
惠河商务酒店（万达广场店）,,051485598788,85598688
珍缘宾馆,,051487810659,
集贤宾馆,,051484542088,
金山花园短租,,15358518628,
红天宾馆,,051484622590,
金港旅社,,15358518628,
鑫祥宾馆,,051487579456,
心相印宾馆（大学城店）,,13032568568,
红枫旅社,,051487123155,13585248575
金港北苑短租房,,15358518628,
舒扬客栈,,13815842698,
金港花园C区短租房,,15358518628,
德尚商务宾馆,,15252510528,
英伦公馆酒店,,051487512188,
朋克芭蕾3D电影主题酒店,,051480800099,
