姓,名,家庭手机,工作手机
颐正园酒店,,06328278666,
水城旅社,,06326803000,
幸福小区招待所,,06325580550,15192102615
佳驿网络宾馆,,06323955678,
交运客栈,,13386378551,
欧巢创意客栈,,06323910000,
公园招待所,,18263781166,18006327818
华晨商务宾馆,,06325978899,
平安旅社（文化路店）,,06325102465,13188929109
腾翔宾馆,,15165865399,
中央城商务宾馆,,06325088777,
红石榴商务酒店,,06323217000,
王家旅社,,13181279921,
尚客优连锁酒店（平行路店）,,06322125999,15698029422
尚客优快捷酒店（枣庄滕州塔寺北路店）,,06328809999,
贝壳酒店（滕州大同路店）,,06325161789,15863216928
慢生活快捷酒店,,06325230123,
同城公寓,,13361116100,
志成宾馆,,06325266148,13806374208
榴园宾馆,,06327272868,
金源旅馆,,13153055010,
友缘宾馆,,06325285396,
好兄弟宾馆,,06325588085,15965112899
鸿和宾寓,,06325569555,
儒佳宾馆,,06325264777,5264888
东泰主题商务宾馆,,06325558989,13276370827
鑫洁宾馆,,06325660268,18766320180
温馨之家旅馆,,15266296668,
荣兴宾馆（人民医院店）,,18806325336,
荣兴宾馆,,13153059953,
弘光宾寓,,06325552525,
老地方宾馆,,06328839377,18660348488
罗马假日宾馆,,06325681899,5861899
嘉和旅馆,,06326012200,
友缘旅社,,06325110154,
华兴宾舍,,06323697668,
青年快捷宾馆,,06325200555,
广场旅馆,,13561121282,
虹桥宾馆,,06324417893,
驿缘宾舍,,15163247599,
鑫聚山商务宾馆,,06323289838,18663207299
水沐年华洗浴中心客房,,06325958777,
鑫鑫宾馆,,06326611066,
美团商务宾馆（火车站店）,,06324782999,
枣庄银都旅馆,,06325669997,15665281907
城市之星宾馆,,06325509088,
乾源宾馆（平行北路店）,,06325851288,
五洲宾馆（平行路店）,,06325859859,15589278575
兰雅堡酒店（高铁站店）,,06328979666,
诚顺宾馆,,06325613252,13963265631
感恩宾馆,,18963255129,
运发宾馆,,06323139789,
锦龙宾舍,,06323370299,
人防宾馆,,06323302777,
金科商务宾馆,,13863248887,
西湖宾馆,,15063226588,
超旺宾馆,,06328827567,18264209995
新大快捷宾馆,,06323958222,
星星入宫,,15866229968,
墨家宾寓,,06325151188,
力源宾馆,,06326610122,
居家宾馆,,06328672345,13563279126
捧云快捷宾馆（汽车站店）,,06327650888,
善园平安宾馆,,15266160919,
圣鹏连锁商务宾馆,,06322100139,
广源快捷宾馆,,06324015678,
鹍鹏商务宾馆,,06323396006,
星期六宾馆,,06325187988,
518商务宾馆,,13563297622,
鲁客88商务宾馆,,06326801777,
尚客优快捷酒店（枣庄滕州荆河桥海上明月店）,,06323959555,
东城印象商务宾馆,,06328888867,
帝源宾馆,,06327711333,13906377679
宏大商务宾馆,,06327906333,
舒雅宾馆,,06324163999,
腾润宾馆,,06325161911,13563288808
天祥商务宾馆,,06326999888,6728999
欣悦宾馆,,06324432799,
滕州佳宜宾馆,,06325153599,
99旅馆连锁（滕州火车站店）,,06325563666,
火炎焱旅馆,,06325915657,18769276050
锦泰商务宾馆,,06325616555,5085288
天同宾馆（南店）,,06325589618,
峄城汽车站商务宾馆,,06327567666,
东和旅馆,,06325116512,
金城商务宾馆,,06326722988,13581110300
居然快捷宾馆,,06326666006,
润鸿商务宾馆,,06325605666,
金地快捷宾馆,,06325088699,
滕州爱真宾馆,,06325897899,
仁和商务宾馆,,06325218188,15318004123
利群宾馆,,18763295858,
华庭快捷宾馆,,06325802111,5802888
恒发宾馆,,06323568100,
美佳宾馆,,06327732288,15966754668
恒顺商务宾馆,,06326728666,
长兴旅社,,15306377708,
金泰商务宾馆,,06323202555,
龙泰商务宾馆,,06325138888,6806666
喜来登大酒店,,06325142816,
枣铁迎宾馆,,06325199799,
尚客优快捷酒店（枣庄吉品街店）,,06328888806,
大运河宾馆,,06326636178,
佳合达人宾馆（新兴店）,,06325865699,
宏远宾馆,,06326807777,13562227078
月河湾精品酒店,,06326679999,
宜馨宜家商务宾馆,,06323736888,13869466728
大爱商务宾馆,,06325030888,2928066
嘉仕顿假日酒店,,06324484444,
佳馨宾馆,,06328555188,13589606456
金玉商务宾馆,,06326375333,15554270668
墨鸿商务宾馆,,06325253777,
滕达宾馆,,06325560606,
鑫中天宾馆,,06323303666,
鲁班饭店（客房部）,,06325659000,
华美达速八酒店,,06325259888,
金港宾馆,,06328883988,
季家客栈,,13869431571,
翔龙商务宾馆（龙头路店）,,06323772999,
凯盛精品酒店,,06327770000,
远东商务宾馆,,06325982888,
沿河宾馆,,13406326458,
万家连锁商务宾馆（善南店）,,06325152555,5239866
夕居商务宾馆,,06323333111,
高跟鞋电影主题酒店,,06325118000,3737699
银圣宾馆,,06322222228,
温馨家园商务宾馆,,06326805928,
乐嘉商务宾馆,,06326686777,6997777
古城印象快捷酒店,,06328229888,13676328880
庄户村商务宾馆,,06326658169,13863224280
尚客优快捷酒店（滕州火车站问天广场店）,,06323957777,3957111
源泰商务宾馆,,06326805888,
忠铁宾馆,,15562230155,
速8酒店（火车站店）,,06325085588,
乐家商务宾馆,,06323982777,
