姓,名,家庭手机,工作手机
艳丽旅馆,,18816181719,
仙乐旅馆,,13583392371,
严爱旅社,,05338133115,
三星旅馆,,05332881723,
兆龙旅馆,,13581036110,
鲁川宾馆,,13869380140,
家庭旅馆（一店）,,13705330284,
吉祥旅馆,,13754794416,
鸿福祥旅馆,,13280628222,
时钟旅馆,,15553327106,
鑫宾旅馆,,15065892688,
我们的家温馨公寓,,18653336319,
宾兴旅馆,,05332090115,15269355918
星之恋公寓,,13305334198,
阳光天堂公寓,,18560366988,
过家家公寓,,18560366988,
世纪上城酒店式公寓,,05338364544,
雅思公寓,,15165336368,
三叶草公寓（中央国际店）,,13385339063,
伊家公寓（沃尔玛店）,,15345333885,
旮旯小屋,,13153390226,
鑫泰旅馆,,05336201427,
优佳旅馆,,15898739369,
老地方旅馆,,15153389516,
彩凤旅馆,,05332098226,13287895060
金潇网络旅馆,,18615120895,
佳家网络旅馆,,15069313754,
致青春旅馆,,15266487798,
学苑旅馆,,13589494188,
广源旅馆,,13455357014,
聚虹旅馆,,18853345029,
天府旅馆,,05338220277,
相约旅馆,,15725750932,
泰来宾馆,,15615838249,
新乐旅馆,,05332111851,
庆林旅馆,,13165333661,
龙城宾馆,,05336969077,
旭睿旅馆,,15169211635,
鲁亮旅馆,,15165333299,
东岳旅馆,,13754783599,
客好居宾馆,,05333070826,13853332187
彩云招待所,,13964492983,
新源旅馆,,15553346891,
新嘉旅馆,,13853359079,
星辰旅馆,,13210672666,
金都宾馆,,05333235496,
佳宇宾馆,,13022713449,
六福网络旅馆,,15605337974,
e家客旅馆,,05332763676,
吉庆旅馆,,15898718556,15853386692
福鑫苑旅馆,,13953385042,
龙盛旅馆,,05335034431,13583352245
I DO时尚主题公寓,,18678113662,
盛嘉宾馆,,13070634016,
三聚德主题宾馆,,05337151888,
佛缘宾馆,,05332890888,
润华宾馆,,05338530003,
58微旅馆（小商品街店）,,05332175868,18653319878
玲珑旅馆,,05332305758,
58微旅馆（富丽商城店）,,05332889686,
博盛宾馆,,15725728695,
泰和旅馆,,18653635378,
鹏森旅馆,,15069356688,
金王福宾馆,,13583383114,
伊人宾馆,,05338806657,15864490673
鑫威宾馆,,05335412129,
佰顺旅馆,,15715336931,
吉平旅馆,,15092331858,
金源旅馆,,15169308132,13969337442
福临门旅馆,,18766948319,
佳馨旅馆,,18816113168,13581000884
旺泰宾馆,,18816101744,
天缘合旅馆,,13409071395,
淄博欣慧宾馆,,13583328267,
汇鑫莱宾馆,,13335220277,
家和宾馆,,05336286154,8617403
久源宾馆,,05332186350,
人川网络旅馆,,15953331924,
煜升园旅馆,,13335200582,
如意网络旅馆,,05338293951,
圣福宾馆,,18364372677,
博斐宾馆,,15053359432,
淄博玫瑰旅馆,,13969377072,
华夏宾馆,,15315335898,
逸竹宾馆,,18560305387,13964390517
旭日旅馆,,15762812183,18743425888
雯毓旅馆,,15963318970,
泓祥旅馆,,13409068318,
泰宏主题宾馆,,13805334774,
伊家公寓（大海商厦店）,,15345333885,
政通旅馆,,18678216221,
吉祥宾馆,,18816175290,
新华宾馆（牛山路）,,15092326077,13964311411
如一旅馆,,13853372626,
心之家商务宾馆,,15853363166,
丽水酒店,,05333016216,
新兴宾馆,,05332550877,18560282785
齐慧旅馆,,05332288033,
同安旅馆,,18764311897,
鑫溢旅馆,,05332831578,15053341967
大刚旅馆,,13853370820,
柏苑宾馆,,15706432578,15706438578
俊燕旅馆,,15865472667,
壹加壹白领公寓,,13011624995,13082703244
青年·都市迷你酒店（火车站店）,,05336282088,
开心居家宾馆（小西湖店）,,05332857888,
苹果驿栈,,05338222878,
易佰连锁旅店（淄博西六路店）,,05338172435,
