姓,名,家庭手机,工作手机
观蓝湾度假别墅,,05965669580,18150722580
星惠宾馆,,05967756966,
民乐居精品民宿,,13860815224,
旅途者驿站,,18659611806,
云山饭店,,13376918683,
荣祥商务宾馆,,05967578088,
福霖宾馆,,05965652828,
金达酒店,,05966069555,
国际青年旅舍（1949猴子酒吧店）,,18120720973,
富源宾馆,,05967880999,
云水谣天娥宾馆,,05967756219,15959388192
风云阁土楼宾馆,,05967766066,
塔下Wifi客栈,,13400635211,
云港宾馆,,05962681200,2681211
阿明的家,,15892033809,
天福宾馆,,05966336986,
源鑫客栈,,13960191252,
云水谣-梅林土楼妈祖住宿,,13799042881,
安心宾馆,,05967775959,
朋来客栈,,13459002784,
云水谣简家宾馆,,05967776288,
南靖塔下新世纪旅馆,,05967771186,
365快捷酒店,,05962999998,
德昌客栈,,13559659953,
古村民居,,18950073142,
康居商务酒店,,05965787888,
爱情海公寓,,13850511755,
云水谣六福客栈,,15060702551,
云水谣917简朴寨驿站,,05967775917,
明记商贸宾馆,,05967663200,
云水谣达杉客栈,,13959676870,
亮华旅馆,,13779901528,
005温泉会所,,05962220596,
爱琴湾别墅,,15260591314,
福源客栈,,18760493658,
水中央家庭旅馆,,13850550381,
土楼云水谣和贵楼客栈,,05967757400,
海景商务酒店（元光南路店）,,05962633666,2634666
阿伟的家,,13605093708,
台陵公寓,,13605058284,
舒心客栈,,13850450282,
合鑫商务宾馆,,05966066158,
海蓝度假馆驿,,13860856064,
佳豪公寓,,05965660999,
云水谣老墙农家乐客栈,,05967756001,
漳州云水谣经济饭店,,13459674905,
阿波罗商务酒店（胜利东路店）,,05962880288,
康德宾馆,,05962992598,
长福宾馆,,05962160340,
海边民宿,,13709328910,
维多利亚时尚公寓,,05963198888,13400952894
咏海商务公寓,,05965662888,
福彩客栈,,05967756179,15160517344
时光度假海景公寓,,05965636899,13960013767
万嘉豪国际温泉大酒店,,05967866666,
领海湾公寓,,18059690081,
瑞祥公寓,,15960651072,
马銮湾看海商务酒店,,05965639211,
漳州箱子客度假酒店,,05966865185,
罗曼主题酒店,,05962336666,
新龙宾馆,,05962897288,
阳光家庭宾馆,,05968338900,
永辉旅社,,05962525098,
百花村温馨旅社,,13159490207,
芙蓉客栈,,13960016095,
宜居宾馆（元光南路店）,,13599569127,
浚源楼宾馆,,05967771884,
非诚勿扰酒店,,05963623456,
