姓,名,家庭手机,工作手机
同兴旅馆,,13831156280,
尚客优快捷酒店（石家庄赵县升华街店）,,031184945555,
贵宾苑宾馆,,031184924112,
易佰连锁旅店（石家庄赵县石塔路店）,,031184901318,
雅客e家快捷酒店（赵县永通路店）,,031184926333,
华都商务宾馆,,031184940666,
又一春商务酒店,,031184934567,
驿家365连锁酒店（赵县石桥大街店）,,031184958365,84956365
古桥宾馆,,031188895666,
君悦赵州商务宾馆,,031184923888,84941666
业华旅馆,,13273100892,
双龙旅馆,,13663110178,13273412898
铭豪宾馆,,15930112886,
正旭大酒店,,031183890818,15176118830
艾尚520酒店（赵县店）,,031184920520,
旭海庄园,,031180665577,
天一商务酒店,,031185941333,85941332
丽都酒店,,031184871888,13171881822
友谊宾馆,,031184956188,
赵州宾馆,,031184946776,
荣华旅馆,,031184946675,
富安旅馆,,031184943082,
恒客快捷酒店,,031184957087,
佳行旅馆,,031184946365,
交通旅馆,,031184956118,
吉祥旅馆,,031184927757,
安驿旅馆,,031184945368,
福顺快捷酒店,,18531127876,
石家庄瑞房柏林旅馆,,15930412162,
梦洁旅馆,,031184922385,
华清池旅馆,,13582192587,
峰峰旅馆小吃,,031184949026,
春燕生态酒店,,031185941688,
吉昌宾馆,,15830692469,
德旺旅馆,,15075417964,
豪门快捷酒店,,031184927888,13483133925
惠风旅馆,,15832184444,
居士林旅馆,,13833467799,
春暖旅馆,,031184942504,
正茂旅馆,,031184903818,
永兴旅馆,,031184943888,
明安旅馆,,15373830396,
