姓,名,家庭手机,工作手机
机场宾馆,,031168137719,68137777
大柳树快捷酒店,,031188792668,
芒果快捷酒店,,031188790058,
同顺宾馆,,15233642087,
华硕快捷宾馆,,031188207772,13513313234
新通天宾馆,,031188026066,88786767
佳家商务宾馆,,031188792121,
友谊快捷酒店,,031188205886,13180451002
海纳快捷酒店,,031188796886,
益源宾馆,,031188206999,18332259520
峰飞宾馆,,031188019100,
正定小蜜蜂宾馆,,031188792000,
爱情公寓,,18132288567,18942632777
小窝公寓,,031188762737,17731132687
约8公寓式主题酒店,,031186333355,13784028733
爱家快捷连锁酒店（府西街店）,,031188010199,
家庭公寓,,18132442272,
薰衣草主题酒店（正定店）,,18032297303,15033111017
佳冠快捷酒店,,031188015866,13932118028
福客居快捷酒店,,031188207773,
机场联航快捷酒店,,031186550048,66757098
文艺范主题酒店,,031189280520,
IU酒店（石家庄机场店）,,031188269777,
鑫仁聚酒店,,031168137857,
石家庄徐和一村精品酒店,,031189199333,
蜜月浪漫主题酒店,,13473957884,
慕尚精品主题酒店,,031186557793,
悦人精品酒店,,031188205123,
上洋住宅精品公寓,,13582327471,
阳光公寓,,18031110897,18931880412
艾尚520主题酒店,,031188014520,13785167750
堂堂宾馆,,031186320090,13582174843
好来坞主题快捷酒店,,15373113630,
易居连锁酒店（正定店）,,031188028885,18633863431
7天连锁酒店（正定机场店）,,031188208068,17732172528
都市88连锁快捷酒店（机场店）,,031188755888,
365云盟酒店（正定机场店）,,031188205688,85950365
汉庭（石家庄正定火车站店）,,031189190000,89190688
茉莉水晶精品酒店,,031188763366,88763399
正定展腾快捷酒店,,15176491169,
汉唐快捷酒店,,031188787177,13930422205
如家快捷酒店（石家庄正定新区燕赵北大街店）,,031189197711,
互联网精品酒店（石家庄机场店）,,031186555036,15032836380
正航宾馆,,031188259998,
爱巢主题酒店,,15373646393,
驿家365连锁酒店（燕赵北大街店）,,031185954365,
朗华国际酒店,,031189199888,
聚佳快捷酒店,,031188207019,
广源宾馆,,031183504548,15333212602
驿家365连锁酒店（飞机场店）,,031188205666,
友家快捷酒店,,031188206609,13703114688
华英招待所,,031189210822,
国俊宾馆,,18032785658,
站西宾馆,,15075123497,
盛达快捷宾馆,,031183501188,
乔缘精品主题公寓,,18032924039,13930155830
成功商务酒店,,031185175222,
佳丽佳公寓,,15373806703,
柏拉图主题公寓酒店,,17731130091,
益百宾馆,,031188866889,18833131444
石家庄君廷商务酒店,,031188208788,
尚客优快捷酒店（石家庄正定西高速口店）,,031188257633,
喜娥旅馆,,031188013040,
