姓,名,家庭手机,工作手机
俊宇旅店,,041189857127,
好璟旅店,,15541113335,
嘉瑞阁旅馆,,041189715668,
金阳旅馆,,041189879198,
庄河北峪红运农家院,,15509855139,
冰峪沟欣然庄园,,13478518779,
天乙旅馆,,15998485007,
回音青旅,,13591198208,13942843803
萬龙山庄,,15524695918,
阳光旅社,,13591187401,
盛民旅馆,,041189821113,
嘉恒府宾馆,,041189245555,
双盛阁旅馆,,041189811977,13555910228
四海旅馆,,041189841100,
鸿鑫阁旅馆,,041139197779,15142457585
金阳红旅馆,,041189853358,
湉苑客舍,,15842461699,
吉星旅店,,13130497559,
华博宾馆二部（客运站店）,,041189720888,15942853399
冰峪沟芙蓉宾馆,,18642869033,13224119016
富荣旅店,,041189826803,
冰峪沟云清农家院,,15942852685,
洪革农家乐,,13009403375,
银鑫宾馆（庄河市客运站店）,,041189816267,
鑫宸旅店,,041189720358,
金梦快捷宾馆（泰昌路店）,,041189722959,
好日子城主题酒店,,041188596666,
慧鑫旅馆,,041189828167,
冰峪沟仙人阁宾馆,,041189221111,13840935080
冰峪嘉华商务酒店,,13940805382,15840660783
方宇快捷宾馆（客运站店）,,15840654851,
方圆宾馆（客运站店）,,041189709933,
华奕旅馆,,041189870022,13654922282
鼎顶香商务客房（庄河大厦店）,,041189307777,89848333
鸿锦家园客舍,,041189722499,
红场宾馆,,041189826217,
驿林旅社,,15841156177,
红日宾馆（客运站店）,,041162595599,15840920398
佳豪快捷宾馆,,041189870066,
北方桦林宾馆（客运站店）,,041189103333,
冰峪沟盛世宾馆,,041189221919,
鑫鹏旅店（客运站店）,,15842430166,
桃花源宾馆（花园口店）,,041139183393,13942628830
黄海岸码头酒店（客房部）,,041189702211,
晨曦酒店式公寓（新天地店）,,15241188112,13084118000
雲鹏旅馆（中心医院店）,,041189811877,13841136711
金三角旅馆,,041181365588,15524592133
如家快捷酒店（大连庄河黄海大街店）,,041162517999-9,
冰峪沟双盛园（庄河分店）,,041189220605,
双鱼商务宾馆（中心医院店）,,041189135558,
冰峪沟龙华大酒店,,041189221618,89220618
如家快捷酒店（庄河时代广场千盛百货店）,,041139186699-9,
冰峪小角楼农家院,,13204053282,13109822280
首尊假日公寓,,13591179742,
大连冰峪沟农家四合院,,13204053282,13109822280
华兴旅社,,041189841658,
冰峪沟嵘志玉快捷酒店,,041189223344,13214113344
蔡大姐农家院,,15804261910,13504288059
迅8商务连锁酒店（老庙岭店）,,041162512999,
汉庭（庄河千盛百货店）,,041139186999,
冰峪沟贵宾元酒店,,041189220836,18640838069
速8酒店（大连庄河向阳路店）,,041189728116,
冰峪沟祥赫农家院,,13390005321,
佳泰连锁商务宾馆（庄河店）,,041189165777,
冰峪沟龙凤客栈,,041189227207,15804261910
涵昇旅馆,,041189836288,
柏辰宾馆,,041189709000,
冰峪沟庆洋山庄,,13074190979,
7天优品连锁酒店（黄海大街店）,,041162511115,
鸿运宾馆（光明幼儿园店）,,041189703727,
冰峪沟云凯农家院,,15942645781,
庄河冰峪山庄,,18641260277,
麗枫酒店（庄河店）,,041189820888,81363111
昱勃旅馆,,041189838733,
鑫宏农家院,,041189230321,15941123711
龙浦宾馆（客运站店）,,041189170777,
冰峪沟孙老师四合庄园,,13478750633,13940964410
华博宾馆（市政府店）,,041189862888,
富国旅馆,,041189860356,
怡海宾馆,,13019483600,
孙杰夫妻农家院,,041189227015,13009432249
老于农家菜馆,,13478665647,13079867791
尚客优连锁酒店（花园口金玛广场店）,,041189169293,
冰峪沟洪臣农庄,,13084157097,
冰峪沟峪江宾馆,,041189220588,
留芳雅旅馆,,15840831308,
聚仙宾馆,,15641119501,
冰峪沟小牟农家院,,13942638513,
步云山盛世金水酒店,,041189230407,
冰峪沟金源避暑山庄,,041189224555,15542526719
四季红农庄,,13840894449,
庄河冰峪沟星秀农家院,,13478958057,18340823808
梦里湾旅馆,,041189871386,
永君招待所,,041189873335,15840975787
