姓,名,家庭手机,工作手机
福泰欣宾馆,,15335535211,
邦程酒店,,04774778400,4778444
永旺宾馆,,13191363000,
悠悠大宾馆,,13214830388,15332860388
佳源招待所,,15332860388,
天骄旅店,,13704772661,
凯帝扬商务宾馆,,04774777333,
广源宾馆,,04774216240,
双满快捷宾馆,,04774778100,
南山天都宾馆,,04773979099,
佳馨宾馆,,04773972900,
嘉馨宾馆,,04774228422,
燕鑫宾馆,,15247794546,15389770780
久益居宾馆,,04774893168,
鸿鑫酒店,,04774825999,
东鑫商务宾馆,,04774820444,
新源招待所,,15335535211,
鸿泰宾馆,,13848572075,
E世界快捷宾馆,,04773918666,
喜悦宾馆,,04773972567,
双满商务酒店（沙圪堵店）,,04773973588,
薛家湾福佳快捷宾馆,,04774880788,
绿洲商务宾馆,,04774221818,
易家快捷宾馆,,04774883737,
蒙泰商务宾馆,,04774772777,
海麟大宾馆,,04774225989,
五洲商务宾馆,,04774228008,15648702666
东华商务宾馆,,04774853078,
世纪商务宾馆,,04774881888,
龙泽商务宾馆,,04773979088,
准格尔饭店（客房部）,,04774226600,4226800
盛世东海假日酒店,,04774929000,4929111
久卓商务酒店,,04774852333,
热带雨林酒店,,04772238752,15849701334
易铜厚大酒店,,04774927200,
丽晶商务宾馆,,04774820499,
电力世纪酒店,,04773867999,
万赫快捷酒店,,04773970333,
隆祥酒店,,04774892808,
亿德酒店,,04774852555,
锦尚商务会所,,04773863916,
邮政宾馆,,04774778588,
威尔泰宾馆,,04774779111,
金桥大酒店,,04773973377,
凯鑫宾馆,,04774708596,
伊东大酒店,,04774631333,
祥和宾馆,,04774898444,
家周宾馆,,13947799668,
丽华洲商务宾馆,,04773867088,15849745299
福瑞宾馆,,04774893222,
宝通商务酒店,,18147705221,
爵士大酒店,,04773865188,3865189
保君园酒店,,04774820588,4820599
准馨宾馆,,04774890888,
慧龙商务宾馆,,04773866010,
鼎食宴会城,,04773910333,
泰丰客房,,04774218000,
虎食粮宾馆,,04772226222,
阿泰商务宾馆,,04774226688,
煤炭宾馆,,04773973444,
天泰宾馆（准格尔西路店）,,04774708325,15204773429
宏峰商务大酒店,,04774220009,4220122
天泽岛大酒店,,04774685555,4685677
润东大酒店（原宇生大酒店）,,13384808652,
万和商务酒店,,04774925583,
凯旋门假日酒店,,04774229999,4229909
腾隆商务宾馆,,04774777666,
生力国际饭店,,04774898999,
以琳商务酒店,,13947786867,
草原熙来顺商务酒店,,04774220008,
双源旅店,,15374992088,
馨苑宾馆,,04774922999,
商业宾馆淋浴,,04774922029,
亚辰商务宾馆,,04774222099,
欣悦大酒店,,04774893333,
海瑞华商务酒店,,04774215000,
萨瓦纳大酒店,,04774886888,
兴海酒店,,04773869998,
警华商务酒店,,04774923966,
龙达丰酒店,,15147700307,
交通宾馆,,04774220599,
矿区宾馆,,04774217301,
富源宾馆,,04774220761,
天禧假日酒店,,04774778999,
神华准能宾馆,,400833-6699,
丽都宾馆,,04774211611,
宝润客房部,,04773970644,
磬悦宾馆,,13644774365,
奥东大酒店,,04774226003,
