姓,名,家庭手机,工作手机
张家港国贸酒店,,051258817788,
长征旅馆,,13390835217,
天逅主题酒店,,051258312388,
假日精品酒店（张家港步行街店）,,051258188998,56311903
静静旅馆,,051258338139,
锦龙之星连锁酒店（塘桥店）,,051280159555,13912775692
宏宝商务宾馆,,051258556198,18962261102
99优选酒店（塘桥店）,,051256922333,
海波旅馆,,051258336684,
皇冠玖玖宾馆,,051258190299,
文泰旅社,,051256755893,
望江楼宾馆,,051258709629,
万豪主题酒店,,051258181888,
布马酒店（张家港凤凰旗舰店）,,051258071999,
假日精品酒店（张家港西门路店）,,051258818299,
芙蓉旅社,,051258337087,17372592253
锦庭商务宾馆,,051282568999,
夜宁旅馆,,051258671850,13306246769
天顺宾馆（暨阳中路店）,,051256727988,
鸿运宾馆,,13773275102,
东苑假日宾馆,,051258200003,
龙潭湾度假村,,051258516888,
新平安旅馆,,051256923117,15851631690
港欣宾馆,,15370376906,13913297870
御景宾馆,,051258930128,
宾居楼宾馆,,051258708053,
城中宾馆,,051258680077,
久润宾馆,,13584486087,
松平客房,,051256933591,13962200938
福兰特连锁旅店（长安店）,,051255391222,
港盛宾馆,,051258708743,
平安旅馆,,18962213692,
四方宾馆,,18962226139,
益佳宾馆,,13962270648,
诚品商务酒店,,051258283888,15952427628
水云天宾馆,,051258782530,
品尚商务宾馆,,051258111818,
新茂宾馆,,051256920012,
九龙商务宾馆,,051258729285,13921982801
扬子商务宾馆,,051256353800,
锦丰沙钢大酒店,,051258563999,
谷茂快捷宾馆,,051258220999,18913508666
华丰宾馆,,15851607809,
王府宾馆,,051258791888-0,
7天连锁酒店（张家港步行街店）,,051258179777,
尚客优快捷酒店（张家港凤凰镇店）,,051256316333,
吉美宾馆,,051258233272,
鑫顺宾馆,,051258973400,
江南之星宾馆,,051258325088,
假日精品酒店（张家港凤凰镇店）,,051258458333,
梦想家精品酒店,,051256997188,
清沐精品酒店（张家港锦丰镇新天地店）,,051258958889,
布汀宾馆,,051258338066,
艾程连锁酒店（步行街店）,,051256320888,
港湾情侣酒店,,051258272227,13962451953
悦华宾馆,,051258810688,
7天连锁酒店（张家港金港镇大润发店）,,051282555777,15190028915
城市印象酒店,,051258991088,
玲珑商务宾馆,,051258700858,58700358
艾尚主题酒店（步行街店）（原机关宾馆）,,051258885568,
宜佳和快捷商务宾馆（锦丰店）,,051256715111,
艾程精品酒店（暨阳路店）,,051256997666,
西厢苑假日酒店,,051258816777,58816377
妙桥商务宾馆,,051282593555,
晨源宾馆,,051282036688,
金荣大酒店,,051256362858,
富豪宾馆,,051258717699,58717388
城市空间时尚酒店,,051256356880,56356888
凯撒快捷酒店,,051258192888,
巴马酒店公寓（凤凰店）,,051258815288,
湘巴老商务宾馆,,051256301999,13915681000
凌云商务宾馆,,051258708298,
星程友和城市酒店,,051256372888,
都市118连锁酒店（苏州张家港乐余店）,,051282551088,
永联快捷连锁酒店（永安路店）,,051258619000,
甜心精品酒店,,051280619999,
A&A Room途居商务宾馆,,051258113111,17351263118
锦江都城酒店（张家港店）,,051256968788,
九易精品酒店,,15151577777,
卡罗翡翠精品酒店,,051235026288,58190666
柏丽酒店,,051280171888,
如家快捷酒店（张家港长安南路店）,,051258979088,
假日精品酒店（长安中路店）（原金泰宾馆）,,051258791126,
德永盛精品酒店,,051258989588,13962222818
皇品时尚酒店,,051280176888,
美尚精品酒店（原新芳宾馆）,,051258988188,15850344358
格林豪泰快捷酒店（张家港塘市店）,,051258198998,
江苏汀悦酒店,,051258336688,18962207313
新世汇酒店,,051258810999,
好的家宾馆,,051258550879,
尚客优快捷酒店（张家港大新镇平北路店）,,051258602988,17715589515
艾尚连锁酒店（塘桥店）（原华丰宾馆）,,051280179988,
庭蔓精品酒店（原汤池汇商务酒店）,,051258125779,
金凤凰温泉度假村,,051256928888,
洪鑫磊商务宾馆,,051258202098,
都市118连锁酒店（港城汽车站店）,,051258123777,
莫泰酒店（张家港金港镇长江中路镇政府店）,,051256777168,
张家港长江大酒店,,051256908588,
格林联盟酒店（张家港南丰店）,,051280613777,18351690777
金三角快捷酒店,,051258486888,13962214748
锦龙之星连锁酒店（凤凰店）,,051258450335,15806242955
都市118连锁酒店（苏州张家港凤凰店）,,051258422118,
张家港沙洲湖酒店,,18788856637,
莫泰酒店（张家港长安中路店）,,051258816168,
梁丰园宾馆,,13584495003,
聚缘商务宾馆,,051258900555,
