姓,名,家庭手机,工作手机
山野宾馆,,18838500362,
佰睿快捷酒店,,03962556666,
全友家居宾馆,,03962718088,2718022
启祥宾馆,,13461805741,
福鑫宾馆,,03967896788,
佰隆宾馆,,03966099888,
泌阳宾馆,,03967938666,13303965828
商贸宾馆,,13461812134,
宜家宾馆,,17395999196,
金盾商务宾馆,,03967896678,
君悦快捷宾馆,,03963361998,7668818
如意快捷酒店,,03968027222,
悦巢印象时尚酒店,,03965819999,
如意快捷旅馆,,15938037678,18137506836
田园宾馆,,03962682366,
圆梦圆宾馆,,03962376255,
红楼宾馆,,15518363186,
宜家宾馆,,18336183393,
阳光旅馆,,17703962699,
滨河温泉洗浴（客房部）,,03963630066,
万客来快捷宾馆,,03966277333,
红珊瑚宾馆,,17339634829,
假日宾馆（雪松路店）,,03962681915,15890736762
美佳网络宾馆,,03962377616,
金福来宾馆,,03967916999,
汇源宾馆,,03967899707,
南湖宾馆,,03968959888,13839604938
明阳宾馆,,15518381299,
银海宾馆,,03967915369,
乐居公寓,,03964903555,
喜来登宾馆,,03968908198,13639643768
开元宾馆,,13393984011,
桔子酒店,,18749953888,
浩博宾馆,,15639642811,
陶城快捷宾馆,,03963229111,
鼎力商务酒店,,03963379777,
向阳假日宾馆,,03966225599,
星军快捷宾馆,,18639695659,
华玲宾馆,,03966230889,
万豪快捷宾馆,,03966220789,
中原快捷宾馆,,03967939388,
江南快捷宾馆,,03967025678,
翔阳宾馆,,18037535595,
鑫源网络公寓,,03963228882,
九九明园宾馆,,03962705678,
鹊巢时尚酒店,,03962866555,2953666
龙潭健身客房,,15290173555,
亨通宾馆,,18639612266,
鑫缘宾馆,,03963702688,13839672128
君悦快捷酒店,,03967065666,
中州快捷宾馆,,03963269000,
西平县爱如家时尚酒店,,03963537666,
康桥公寓,,03963252298,
背包客之家旅馆,,03963735115,
祥宇商务宾馆,,03967681666,
柏林公寓（高铁站店）,,03963666666,
风云宾馆,,03962186000,
东方商务酒店,,03968923699,
红河宾馆,,03963522227,
优客商务酒店,,03966718888,
月8主题酒店,,03963608088,
驻马店市驿城区美如家快捷宾馆,,15939692871,
邮电宾馆,,03967023888,
盛祥快捷酒店,,03966952999,
富强宾馆,,15836780051,
好思佳快捷酒店,,03962677777,2977777
老兵之家住宿,,03967999698,
蓝韵主题宾馆,,18039639668,
盘龙山宾馆,,03962780999,
街客旅馆,,03962821118,15236397530
祥太假日酒店,,03962962222,
客来发宾馆,,03968366777,18037852222
小有天网络客栈,,03963270700,
蔡明园宾馆,,03966960758,6901429
华兴快捷酒店,,03963201369,
金瑞快捷宾馆,,03964929996,13803961236
望江楼宾馆,,03967892222,17339616119
0点客栈,,03966158000,
速9快捷宾馆,,03962310996,
明珠宾馆,,03967028789,
鹊巢商侣时尚酒店,,03962296888,2296555
第五大道商务酒店,,03968115555,
蓝鲸美食美客酒店,,03962182222,
