姓,名,家庭手机,工作手机
逢缘宾馆,,07173236932,
大民宾馆,,13997726801,
爱格酒店（当阳店）,,07173250616,
博奥商务酒店,,07173152088,
金福源宾馆,,07173225887,
铁梅宾馆,,07173231088,
东方旅馆,,18827260889,13387288366
圆梦旅馆,,15072506665,
东信商务宾馆,,07173238849,
时尚城市客栈,,07173320022,
中天商务宾馆,,07173222391,13807205813
皇嘉宾馆,,07173233858,
东门楼宾馆,,07173242656,
丽都宾馆,,07173333322,
玉墅宾馆,,07173226168,
台北宾馆,,07173156615,
天娱快捷酒店,,07173255559,
李家商务宾馆,,07173235399,
东门商务宾馆,,07173901266,
鸡公岭农庄,,07173257077,
简朴寨客房部,,07173368666,
千百度休闲会所（总店）,,07173332999,
宝田宾馆,,07173227740,
三国王府尚一特连锁酒店,,07173332222,
长坂坡宾馆,,07173241666,3241000
夏威夷商务会所（客房）,,07173366888,
清水桥宾馆,,07173349888,
星程商务宾馆,,07173536888,13317569609
菲阳宾馆,,07173903110,13235623586
雄风桥宾馆,,07173902555,
皇家国际娱乐会所,,07173220699,
红鼎大酒店,,07173902888,3905666
鸿源假日酒店,,07173500000,
博华商务酒店,,07173388999,
香榭国际大酒店,,07173150555,3150666
如家快捷酒店（当阳环城东路体育中心店）,,07173255551,
港湾明珠大酒店,,07173450666,
海逸城市酒店,,07173255550,3536333
丁香花酒店,,07173331777,
晶磊山庄,,07173225766,
邵家旅店,,07173368622,15972724028
仙缘宾馆,,07173237828,15072508698
温馨旅馆,,07173222616,
环南宾馆,,07173223456,
御锦商务宾馆,,07173902588,
大有宾馆,,07173236880,
皇廷宾馆,,07173223388,
当阳东方国际大酒店,,07173410888,3366666
仲宣楼宾馆,,07173231888,
嘉洲宾馆,,07173259228,
春江大酒店（客房部）,,07173228333,
万象城商务酒店,,07173901999,
新千年宾馆,,07173251488,3903188
阿黄快捷宾馆,,15897535999,
财富旅馆,,07173331228,
平安旅社,,07173222072,
梅苑宾馆,,07173335988,
太子桥宾馆,,07173903699,
红楼商务宾馆,,07173252166,
聚鑫楼宾馆,,07173321118,
开心驿站商务酒店,,07173432666,
豪爵足道（客房）,,07173429006,
城东苑农家乐,,07173332353,18672655641
润祥宾馆,,07173284988,
信合宾馆,,15807203155,
明阳大酒店,,07173154999,
当阳宾馆,,07173255999,3255333
金叶宾馆,,07173225988,
东兴宾馆,,07173220222,
时尚假日酒店,,07173253999,
金汇丰商务酒店,,07173355999,
友谊桥宾馆,,07173369666,
电影招待所,,17771265206,
家豪宾馆,,07173221772,
鑫仟汇宾馆,,07173233699,
锦江大酒店,,07173329666,3329777
罗马假日,,07173236592,
当阳国际大酒店,,07173258888,
华盐大酒店客房部,,07173226555,
紫源宾馆,,13886695968,18972585958
和谐宾馆,,07173227220,
子龙公寓餐馆,,13972563251,
河溶牛杂四季早酒店,,13972010487,
怡乐宾馆,,07173225988,400833-6699
方便旅社,,13997725715,
枣树林酒店,,07173237566,
宜佳旅馆,,15872568196,
当阳大酒店,,07173906999,
浩源宾馆,,07173225578,
我家厨房天桥一店,,13217275225,
吉吉小栈,,18272444736,
又一春酒店,,13507243283,15872460307
惠康宾馆,,07173355000,
楚云宾馆,,07173902188,
老杨河溶特色牛杂早酒店,,15872667204,
动车快捷酒店,,07173159255,
城中小院,,13986796159,
东方旅馆,,13986829885,
祼色·民宿山居,,13986808416,
关雎河畔景区酒店,,07173330444,
金凯文商务宾馆,,07173902558,
宜昌小城驿站,,07173237569,
航空宾馆,,07173350688,
乐园宾馆,,07173285361,
玉阳宾馆,,07173222391,18162976333
震华宾馆,,15872679656,
金鑫旅馆,,07173248216,13477145700
隆川旅馆,,07173252888,
兴华招待所,,13545849769,
清云居宾馆,,07173368552,
银方宾馆,,07173331068,
永辉宾馆,,07173231491,
向阳旅馆,,15871562236,
光明宾馆（金叶小区西南）,,07173221466,
富新宾馆,,07178264421,15571777996
欣欣宾馆,,07173252268,
俊东旅社,,15871603129,
平价旅社,,15072503265,
爱心宾馆,,07173336699,
宏博宾馆,,07173332068,
林业宾馆,,07173255388,
慧丰旅社,,13545716438,
艳阳旅社,,13872615552,
