姓,名,家庭手机,工作手机
惠宾旅馆,,07724211788,13299298671
宝莱宾馆,,07724288887,
吉祥宾馆,,07724351566,
龙都宾馆,,07724271668,
俊发酒店,,07728900999,8900032
万通商务宾馆,,15240694560,
好尚便捷酒店,,07728918899,
G+时尚宾馆,,07724305280,13481788738
华韵商务酒店,,07724293338,4293339
大众旅馆,,07724305619,
美美宾馆,,07725766888,18978233431
金益宾馆,,07725219828,
逢源商务宾馆,,07725217555,
景源精品酒店,,07725222288,
源海大酒店,,07724305966,
巴厘岛宾馆,,07724656565,
金葵花商务宾馆,,07725212806,
城市达人概念酒店,,07725516888,
象州大酒店,,07724366668,
V时尚酒店,,07724214444,15577753336
555城市精品酒店,,07726655788,
金隆商务酒店,,07725218111,
瑶州宾馆,,07724350667,
美丽湾园林酒店,,07724367551,18978218538
来宾城市达人花园大酒店,,07724998899,6655666
精通酒店（桂中大道店）,,07724082888,4083888
迷尚酒店,,07724301696,13878280022
合山市成事快捷宾馆,,07728915888,
五福旺角酒店,,07725519558,
天天假日酒店,,07725321666,
美鑫酒店,,07724260555,
美景便捷酒店,,07724369889,18978211750
格林豪泰快捷酒店（来宾大桥路冶金路店）,,07724911999,
金都商务宾馆,,07724352855,
宝源商务酒店,,07724212888,6657778
城市便捷酒店（来宾武宣店）,,07726651888,
城市便捷酒店（来宾象州温泉店）,,07724306899,
鼎昌大酒店,,07725324566,
凯旋商务酒店（武宣店）,,07725226655,
城市便捷酒店（来宾滨江店）,,07726657998,
来宾大酒店,,07724238888,
居家四季酒店,,07728901888,8900088
万慧达度假酒店,,07726625666,6625888
小芳农家乐,,13768579826,
来宾饭店,,07726658333,
明秀商务酒店,,07724289899,
香洲宾馆,,07724215358,
东云时尚宾馆,,07724308168,
和兴商务宾馆,,07728913989,
森明大厦,,07724233668,4233588
荣泽宾馆,,07726026618,
裕达国际酒店,,07726688999,
河山大酒店,,07726626888,6626999
兴华商务宾馆,,07724305559,
金星宾馆,,13878504389,
田米客栈,,07726217868,18579909868
