姓,名,家庭手机,工作手机
莫林风尚酒店（冷水江店）,,07385365111,5365222
大不同宾馆,,18573835126,15873828020
福缘影院宾馆,,07383323858,
爱尚影院宾馆,,07383311213,
温馨旅馆,,07388211589,13888621899
自由空间宾馆,,07385258678,13807386155
名相大酒店,,07388119999,
新建社区公寓,,15573810586,
博一宾馆,,07383510020,18173836310
人文招待所,,07386616000,
九九公寓,,07385259828,
骏怡城际酒店（娄底扶青路店）,,07388786999,
7天连锁酒店（娄底步行街店）,,07388583777,
时代宾馆,,13762830186,
时代大厦金鑫宾馆,,18670223178,
芙蓉宾馆,,07388220188,18173810706
和谐家庭宾馆,,15364331119,
湄江假日酒店,,07384721076,
新粮贸宾馆,,07388990111,8990222
时代宾馆,,13762809512,
回家宾馆,,07388232738,
西子旅舍,,18773860020,15273855272
时代大厦1504客房住宿,,13873849473,
瑞莱宾馆,,07386548518,
湘味宾馆,,07386823480,18973825762
如意宾馆,,07388218363,13973830769
星月楼宾馆,,07385366666,13341381829
兴龙宾馆,,07386646789,18173821768
毛西铺宾馆,,07386222555,13348786789
金盾宾馆,,07386386111,6386899
鸿润酒店,,07388270777,
西苑宾馆,,15973806873,
天华宾馆,,15973094945,
中宏大酒店,,07388238999,
7天优品酒店（新化火车站广场店）,,07383377777,
华都宾馆,,07384453888,
适家连锁酒店（二店）,,07383503666,
三点快捷酒店,,07385253999,5395888
新明珠宾馆,,07386498999,
阳光宾馆（娄底火车站店）,,07388787777,
友谊宾馆（火车站店）,,07388281118,
嘉和宾馆,,07388372186,
维多利亚国际酒店（冷江店）,,07385236888,5236889
甜果公寓酒店,,07388678998,15607388998
星海假日爱情主题酒店（步步高店）,,07388912555,
东方宾馆（新星南路店）,,07388289179,
时代宾馆2008,,13348787059,
民政商务宾馆,,07388298388,18973858037
富丽成时尚宾馆,,07383821399,18975696826
新乐商务宾馆,,07388871588,
雅士福林大酒店,,07382867788,
九喜公寓,,15343088000,18073883000
尚佳公寓酒店,,07388333339,
华麟大酒店,,07385396333,5396222
金湘阿梅公寓,,13973899718,
湘运宾馆,,07386377666,
正新宾馆,,07388650573,
金华宾馆,,07386836866,
天悦商务酒店,,07388959919,
和森宾馆,,07386820858,
龙园宾馆,,07383581888,
城中宾馆,,07386460555,15607386789
五彩今天连锁酒店（大汉路店）,,07382853333,
菲利阁酒店,,07386631888,
福源宾馆,,07386548121,
达盛假日酒店,,07388125999,8125333
世纪宾馆,,07386820285,
168商务酒店,,07383869666,13677360336
天仙宾馆,,18627601515,
吉星大酒店,,07388918888,8919999
适家商务连锁酒店,,07388873555,
三鑫假日酒店,,07388819888,
建新宾馆,,07388990333,
娄邵宾馆,,07386479998,
锦尚花酒店,,07388627777,8611999
文信大酒店,,07386513868,
汇天假日酒店,,07386961777,
金泰宾馆,,07388937555,
华菱商务酒店,,07388229999,
学院宾馆,,07386778899,
融福大酒店,,07382889999,
人缘宾馆,,07384565222,
莱凯悦宾馆,,07386493666,6493386
永泰宾馆,,18173818330,
欣泰宾馆,,07386493222,
1985风尚酒店,,07383264567,3230777
彭都宾馆,,07386656988,
星期六快捷酒店,,07386613999,6613919
她他酒店,,07388311188,
莫林风尚酒店（冷水江锑都店）,,07385392222,
冷江电信大楼宾馆,,07385218888,
富丽华大酒店（乐坪西街店）,,07386388999,
熊大客栈,,07383782608,13657388181
富厚大酒店,,07386884888,
龙城商务宾馆,,07386466777,6858333
华城大酒店,,07388112999,
鸿福楼大酒店,,15673838833,17373852048
叶子酒店,,07382861888,2861889
光阳大酒店,,07388320888,
五彩今天连锁酒店（双峰店）,,07388983333,
润生商务酒店,,07386386666,
美天商务连锁酒店（军分区店）,,07386381777,6381799
湄江山水酒店,,07388275588,
莫林风尚酒店（涟源店）,,07384786666,
和泰商务酒店,,07388613333,8614888
美天商务连锁酒店（人文科技学院店）,,07386381333,6381311
建材商务宾馆,,07386838268,
金圆商务酒店,,07386683888,
金辉大酒店（扶青路店）,,07386503333,
亿利达商务酒店,,07386506988,
家和快捷酒店,,07388156999,8156888
龙泉商务酒店,,07386612999,
今喜大酒店,,07388957666,
中铁大酒店,,07388226666,
星源酒店,,07388310080,8310070
和莊文化酒店,,07388956789,
沁园大酒店,,07388809388,
君临宾馆,,07386763999,
乡土情酒楼,,18873877993,
三间房精品连锁酒店（火车站店）,,07388156777,
金丰大酒店,,07388808888,
满庭欢宾馆,,07388258588,
善德大酒店,,07388756888,
