姓,名,家庭手机,工作手机
宜人客栈,,08833108111,13759317677
南亚宾馆,,08833218195,
阳城宾馆,,18408831904,
天翼达宾馆,,15769919856,
海源商务酒店,,08833222699,13988380529
黄金海岸酒店,,13988328825,
边城明珠大酒店,,08836522789,
孟定天有大酒店（原艾安大酒店）,,13308835233,
佤乡迎宾楼宾馆,,08837122966,
君林酒店,,08836522599,
海燕酒店,,15987259678,
宜人客栈,,08833108111,13759317677
福艳宾馆,,08834261771,
恒辉商务酒店,,08832888777,2888999
永乾大酒店,,08833116999,
滇西明珠大酒店,,08833225555,
东祥宾馆,,08838828866,13099607777
玉宝酒店,,08838880885,
盛景大酒店（原盛景商务会所）,,08833891888,08833891666
月牙巷休闲酒店,,08837625666,15012013833
长乐酒店,,08837629996,
华昌酒店,,08832159666,
龙盛公寓,,13578420058,
红沙酒店,,08833211555,
保临公寓,,15012082895,
蝶恋花主题酒店,,08834210099,
凯鑫商务宾馆,,08837623888,
宁瑞酒店,,08834219777,
临聚商务宾馆,,15911664516,18288375711
瑞翔快捷酒店,,08833102066,
沧源鑫矗酒店,,08837128666,
银巷公寓,,08832127388,
佳驿商务酒店,,08832888888,
晨羽商务酒店,,08836522289,
旺昇公寓,,08832162481,15087843797
景锐宾馆,,18708832060,
邦海酒店,,08838888777,
华都商务酒店,,08832121799,
花园酒店,,08833650188,
传其商务酒店,,08838826118,
嘉恒大酒店,,08834262888,
高荣商务酒店,,08837121488,7121499
怡和酒店,,08833063006,13529612341
沧源宏昌大酒店,,08837125889,
君临时尚酒店,,08836522688,
林源宾馆,,08834263766,13988321369
温情宾馆,,08837624881,
金发酒店,,08837628869,
鑫利源商务酒店,,08834220088,13759333620
鸿源商务酒店,,08833228111,18788310955
双江华耀大酒店,,08837626888,
宏博国际酒店,,08833116666,
优佳快捷酒店,,08833212555,
晨晨公寓,,13988336023,
龙泰酒店,,08836631600,
银玉宾馆,,08834262499,
永兴宾馆,,08832155966,
泰和公寓,,13988349949,
永通大酒店,,08833062888,
