姓,名,家庭手机,工作手机
泉茂源宾馆,,07723910888,3975999
吉宏宾馆,,07723510512,
东旭旅馆,,07723871501,
老树青年旅舍,,13788729016,18677207837
顺源宾馆,,15678784559,
京亭旅馆,,07723512619,
航顺旅馆,,07723221859,
新兴旅社,,07723511073,
桥边旅馆,,07725360610,
柳州市广利旅社,,07723513281,
青年公寓,,13607825791,
聚客宾馆,,07722316256,
君祥宾馆,,07723221128,
天湖旅社,,18978075279,
友谊时尚宾馆,,07722309669,2309667
上林酒店,,07723126886,2026889
索隆青年旅舍,,15577202400,
盛通V8商务酒店,,07723108783,
皇廷酒店,,07722605599,
意通宾馆,,07722057698,
昌源宾馆,,07728123358,18076727988
福宝宾馆,,07723312803,
益茂宾馆,,13737252760,
青年旅舍,,18648860601,
爱之家青年旅舍,,18176715693,18276713784
聚和商务宾馆,,07722056799,15278800769
聚缘商务宾馆,,07722057668,
仙人掌宾馆,,07723678000,
福东宾馆,,07722691778,
馨平宾馆（航银店）,,07722077177,
家宜宾馆,,07722032208,
德昌宾馆,,13557307362,
龙杰商务大酒店,,07723991888,3915999
美晨宾馆,,07723850114,13707726713
长城宾馆,,07723503688,2078099
微信主题酒店,,07722030333,
湘红宾馆,,07722075699,
天恒宾馆,,07723182688,
浙广商务酒店（红碑路店）,,07722061888,2061999
华辰宾馆,,07722082588,
尚客酒店（原k2绿萝酒店）,,07728817888,
馨平宾馆（柳石店）,,07722077577,
豪府酒店,,07722097777,
豪锦大酒店,,07722082777,
银都宾馆,,07723018877,3028988
悦湾酒店,,07722511111,
龙盛大酒店,,07725330999,5330099
雅斯特酒店（广西柳州柳侯公园店）,,07722076888,
优程八桂酒店（柳州龙潭公园店）,,07723703300,
乐道商务酒店,,07723018888,
永兴宾馆,,07725372903,
春和商务宾馆,,07722038666,
帝鸿宾馆,,07723137139,
三通宾馆,,07722083688,
人人红观瀑酒店,,07725373100,5373200
柳州楚楚旅馆,,18648872660,18107722242
心相连宾馆,,07727263768,
喜欢旅馆,,07727221826,13878221775
金桔子酒店（融安店）,,07728110206,
舒怡宾馆,,07723721366,
富贵宾馆,,07722030188,
香江宾馆,,07722829555,2305118
千牛酒店连锁（原乐池宾馆）,,07722812938,
贝江宾馆,,15878206668,
蓝宝石宾馆,,07722032168,
世博商务宾馆（柳州跃进路店）,,07722076688,
52连锁酒店（柳州青云店）,,07722892525,2892727
幽舍小憩（一店）（原福煌旅馆）,,07722992110,18978076250
丹迪商务宾馆,,07722048229,
柳州宝柳宾馆,,07727260368,
保罗商务宾馆,,07726839500,
鹏锦宾馆,,07728819891,
一家商务宾馆,,07723139229,
天龙大酒店,,07722830808,
金鑫宾馆,,07725125018,
崀山宾馆,,07723981091,
新建商务宾馆,,07723265299,
新月亮湾酒店,,07722812922,3912898
A家连锁酒店（五星步行街店）,,07722665788,2686588
马安民族旅馆,,07728583220,
龙门客栈,,07728560181,
君安宾馆（汽车总站店）,,07723835968,
蔓酒店（谷埠二店）（原52酒店）,,07728818370,17776347689
蔓酒店（谷埠一店）（原52酒店）,,07728250088,
爱丽时尚宾馆,,07722861166,
格子微酒店（柳州火车站店）,,07722055199,2033988
东方商务宾馆,,07728721666,
嘉顺宾馆,,07726677508,
瑞天商务宾馆,,07723500399,
晶远宾馆（城中分店）,,07727628881,
四季时尚宾馆,,07728159098,
三江醉山泉宾馆,,07728582898,13788792409
阳光宾馆,,07726677680,
尚客精品酒店,,07725136699,5128713
海派时尚酒店,,07722309955,2309966
约定时尚宾馆,,07722038866,
雅吉时尚酒店（五星店）,,07723028288,
宝山宾馆（荣军店）,,07723308188,3308896
爱祥商务宾馆,,07722673523,
佳园商务宾馆,,07726860886,
52连锁酒店（黄村店）,,07722035599,
和诚商务酒店,,07726660988,
万豪宾馆,,07727613666,
52连锁酒店（五星店）,,07722025252,
丹洲鑫海客居,,13878212100,
昌隆宾馆,,07727629678,
三江佳缘宾馆,,07728625528,
盛景商务酒店,,07727530520,
52连锁酒店（胜利店）（原新概念快捷宾馆）,,07722072288,2072266
河东宾馆,,07727620198,
山月宾馆（柳邕店）,,07723228582,
福园商务宾馆,,07727628808,
金时代宾馆,,07727611298,
金山宾馆,,07726810333,
三江饭店,,07728626888,
西船宾馆,,07725392777,
资江宾馆,,07728852185,
得月亭商务宾馆,,07723511681,
建兴旅社,,17772008988,
万豪大酒店（原碧海云天酒店）,,07723979888,
雅吉时尚大酒店,,07723015188,8251702
以实玛利宾馆,,07723510069,
登悦时尚酒店,,07723012580,3012590
天成大酒店,,07723908788,3908799
鑫利酒店,,07722028336,
曼瑞斯酒店,,07722031666,2031777
伯爵大酒店,,07723851666,3851999
优客时尚宾馆,,07727530888,
宏誉商务宾馆,,07728681889,
鸿源商务宾馆,,07727612333,13878215298
顺可宾馆,,07728855500,
柳电宾馆,,07725360688,
俏佳人主题酒店（柳州店）,,07723802187,
金厦旅馆,,07728118538,
东方时尚宾馆,,07727618868,
沃顿商务大酒店（基隆店）,,07722037888,
久佳意商务宾馆,,07728150077,
锦江之星（柳州步步高广场北站路店）,,07722501688,
天开假日酒店,,07723678088,
三江雅闲居假日酒店（柳州店）,,07728780588,
沃顿360酒店,,07722580088,15717724729
月亮宾馆,,07728623088,
皇朝宾馆,,07728118777,8119555
维也纳3好酒店（柳州三江悦江路店）,,07728611555,
帝尊商务大酒店,,07728851888,8851999
融安国际大酒店,,07728316888,
城市便捷酒店（柳州鹿寨广场路店）（原鑫都宾馆）,,07726823333,
南天商务酒店,,07727619969,
美丽湾大酒店,,07722066666,2099666
优程八桂酒店（柳州北站店）,,07723266889,
东都好酒店,,07722025636,
志林酒店,,07722082288,2082266
千百度精品酒店,,07728626788,
大城小寓（柳州万达店）,,07722580225,13321623597
柏悦酒店,,07722867700,2869900
汇丰祥兴大酒店,,07722556266,2551888
浙广商务酒店（航银路店）,,07722035888,2030999
梦泰东宁大酒店,,07725134555,5122666
佰宫精品酒店（柳州店）,,07723166666,
融水大酒店,,07725136666,5136868
君翎大酒店,,07723851777,3851555
2513酒店公寓（柳州万达广场店）,,13657825549,
盛达酒店,,07728817555,8817666
宝悦酒店,,07723306666,3908888
千钧宾馆,,07726862666,
雅斯特酒店（广西柳州白云市场店）,,07722066088,
宜家·三江大酒店,,07728751666,
迎客酒店式公寓（万达店）,,07725339588,15723727585
花生米时尚酒店（柳邕店）,,07728817777,
柳州宾馆,,07722308882,2308881
柳州嘉誉酒店式公寓,,07722497558,18577857896
尚客优连锁酒店（融水丰泰店）,,07726606108,
25号青年旅舍,,17772032116,18777207610
汇金商务宾馆,,07728852558,
蔓酒店（映山店）（原52美宿馆）,,07723018885,15277299087
水悦山语大酒店,,07726606606,
力业连锁酒店（河东店）,,07722697786,
宇晨主题酒店,,07723023333,3021111
布央仙人阁农庄,,13481764985,
金泰商务宾馆,,07727626868,
汇源宾馆（富安店）,,07726619788,
52连锁酒店（北站店）,,07722813777,
广聚假日酒店,,07722031818,2031828
万豪宾馆,,07728583362,
贝尔时尚酒店,,07723600033,
山月宾馆（柳石店）,,07723907002,
南天大酒店（客房部）,,07723300008,3300009
优品100酒店,,07723977777,2020100
上品美居时尚酒店,,07725332666,
金桔子酒店（火车站店）,,07723920555,
佳居宾馆,,07728582889,
柳州品尚精选酒店,,07722567899,
华都宾馆,,15277240770,
和谐精品酒店,,07726671888,
城市便捷酒店（柳州北站店）,,07728857388,
四季酒店,,07722031068,2031028
小时光青年旅舍（阳光100店）,,13317889721,18172199806
维也纳国际酒店（柳州鹿寨店）,,07726661888,
小时光青年旅舍（火车站店）,,18172181673,
维也纳酒店（柳州西江路店）,,07723016888,
莱茵小驻客栈,,18778829257,
丹宏时尚酒店,,07722028999,
小时光青年旅舍（万达科大店）,,13317889721,
城市便捷酒店（柳州西江路店）,,07723677666,
三江丹洲意和客栈（柳州）,,15277726545,
星河青年公寓（五星街店）,,18867010305,
七月青年旅舍,,07728851949,18172251949
好迪雅酒店,,07728855168,
简约时尚太空舱青年旅舍（万达店）,,17736639891,
简约时尚太空舱青年旅舍,,17736639891,
蔓酒店（蔓菲公寓店）（原52酒店）,,07728818001,18178249279
侗乡人家客栈,,15878208737,
杰尼亚酒店,,07723069999,
城市便捷酒店（柳州万达广场店）,,07722030666,
来百钰商务酒店,,07723427300,
吴姐宾馆,,07728819430,
寨上客栈,,13687808315,
小时光幸福客栈,,18977277521,
金中宝宾馆,,07726833388,
桂源商务酒店,,07728617088,
国苗楼宾馆,,07725132183,
似水青年旅舍（火车站店）,,18978075994,
旭源商务宾馆,,07726633193,
三省坡茗农庄,,15878201702,
如家快捷酒店（柳州柳南万达广场店）,,07723020068,
柳州万达嘉华酒店,,07723038888,
鼓楼客栈,,18077268619,15177275109
银湾商务酒店,,07722998850,
广预宾馆,,07722309888,
城市便捷酒店（柳州火车站店）,,07722060888,
绿园客居,,13977286453,
和谐家园公寓,,07728612666,17777279666
柚园居休闲旅馆,,13768574648,
融江宾馆,,07727610168,
民族宾馆,,07722806666,
喜相逢宾馆,,07725360188,5360066
沃顿连锁酒店（八一路店）,,07722031888,2031899
喜临门大酒店,,07723616297,5376753
时代酒店,,07727619999,
观云客栈,,15224669125,
盘胖旅馆,,18276798561,
雅美家宾馆,,07723601078,
宝树国际大酒店,,07722078000,3023666
国利商务宾馆,,07726807788,
程阳聚游楼客栈,,18977278495,
杨姐客栈,,15077282676,18577631183
城市便捷酒店（柳州荣军路店）,,07723977999,
城市便捷酒店（柳州北雀路黄村店）,,07723968688,3968988
祥和客栈,,13877261055,
本色定制酒店,,07723029000,
永安宾馆,,07726807900,
新青年公寓小舍（广科大店）,,15777243552,
悦笙现代出租屋,,07722602118,18977232244
尚客优连锁酒店（城南店）,,07726860088,
城市便捷酒店（柳州江滨公园店）,,07723025555,
侗乡国宾馆,,07728619888,
金湾大酒店,,07722515555,
苏溪微舍客栈（原哆耶小筑）,,17776068862,
暖暖青年旅舍,,18978071329,
城市便捷酒店（柳州三江侗乡大道店）,,07726676666,18076737657
金源精品酒店,,07728111088,
多耶小栈,,18817831447,
佳家青年旅舍,,17736666330,
浮生小筑青年旅舍,,18107722669,
程阳山庄,,07728583626,18172232621
喵喵小青旅,,18877231915,18076742808
顺心宾馆,,07728115628,
柳州印象青年旅舍,,18176715693,
丹洲金秋农庄,,13977242271,
中交大酒店（餐饮部）,,07722832200,
三江程阳桥吴嫂客栈,,15878203107,
晨曦宾馆,,07723614051,
科大考研短租公寓,,18076742808,
夜郎故里摄影家民宿,,18276796300,
三友商务宾馆,,07725382228,
小憩园青年旅舍,,15347729879,
背包客青年旅舍,,07722801533,18977248333
万达嘉斯顿酒店,,07725363333,
向日葵宾馆,,07726641758,
力业日租公寓,,07726511666,
浪溪湾农庄,,15878220850,
苏庐酒店,,07725333888,
艾美酒店,,07723023888,3022998
柳州优逸酒店,,07722566111,
凯馨宾馆,,07727610198,
红辉宾馆,,07723912889,
龙海宾馆,,07722309666,2309555
柳州小时光家庭旅舍（科大店）,,07723596606,
柳州三江山间客栈,,13481996420,
一呆公寓（柳州城中万达广场店）,,07722580008,18177249551
伍号客栈,,07728611666,18977277010
舒服家旅馆,,18172202356,
城庆旅社,,07723711191,13377228013
程阳合龙桥客栈,,18277289200,
提拉米苏主题酒店,,07726635888,
航军旅馆,,07723166831,
兴连新宾馆,,07728626988,
怡程酒店（柳州市中心广场店）,,07723862299,
柳州桂楚商务宾馆（原楚天商务宾馆）,,07722826111,
望洲园客栈,,13768571508,
朋来酒店,,07728625566,8622299
雒容月星宾馆,,07722451166,
兴洲客栈,,15224658722,
农情酒店,,07728561998,18078239528
馨宁公寓,,07728317899,
龙情商务宾馆,,07723966588,
晴天客栈,,15978216050,
古岭龙宾馆马鹿山商店,,07722663978,
立早酒店,,07725360888,
广宇宾馆,,07726511718,13977259978
柳州丹洲古镇丹城江景楼,,18577228988,18677209388
众菱大酒店,,07723906666,
锦绣客栈,,15907827165,
明圆宾馆,,07723203558,
富贵街客栈,,13768571558,
卡意酒店,,07723800777,
大广饭店（原怡港大酒店）,,07728131688,
天韵宾馆,,07722081778,2081779
月亮湾度假山庄,,07725829228,18077260081
陆源商务宾馆,,07728125588,
自己家特色驿站（北雀路店）,,07722398227,15207728538
尚星商务宾馆,,07725126618,
迎鸿旅社,,07722481226,
精途酒店（柳州蝴蝶山西路店）,,07723669666,
兴发宾馆,,07723906229,
鑫来宾馆,,07726830028,
裕丰国际大酒店,,07728127777,8316988
摩天时尚酒店,,07723177777,
尊皇祥兴大酒店,,07723010888,
阳桦宾馆,,07728110789,6475666
舒世宾馆,,07723911588,
聚龙宾馆,,07723108582,2075958
梦非商务宾馆,,07725380756,
嘉捷宾馆,,07723858896,
梦祥宾馆,,07727620018,
百分百时尚酒店（桂柳店）,,07723919088,3919099
宏宾时尚旅馆,,07723991518,
风雷宾馆,,07725371588,
旺阁宾馆,,07723260008,
何丰酒店,,07727214417,
莫泰酒店（柳州文昌路店）,,07728855188,8855168
华达商务宾馆,,07727620006,
庆兴商务宾馆,,07722068988,
芭喜时尚驿栈,,07722804188,
柠檬树青年驿站,,18178806848,
天竺园山庄,,07727593333,
城市便捷酒店（柳邕万达广场店）,,07722053888,
银河小宾馆,,07723221421,
柳州路海大酒店,,07722053678,
高新宾馆,,07727621802,
逸景商务酒店,,07728808333,
豪富商务宾馆,,07727526588,
桃园宾馆,,07722057588,
闽居商务酒店,,07728252888,
云摩公寓,,18978041367,
留连旅社,,07722361070,
181商务宾馆,,07723111199,
柳州望桥楼宾馆,,07728582421,
天豪商务宾馆,,07722829982,
青年旅馆,,13657806078,
欧村生态山庄,,07726867888,
