姓,名,家庭手机,工作手机
阳光住宿（原鸣济旅馆）,,18098919887,
昊阳酒店（原春阳酒店）,,06608916888,
睿荣金峰度假山庄,,06608966999,
旺角公寓,,06608511199,
城北住宿,,06608892488,15766917223
陆丰新德里商务公寓酒店,,06608526699,
嘉利佳酒店,,06608895188,8155999
乔治主题酒店,,06608888831,
阳光酒店,,06608162777,
东陆酒店,,06608830988,
诚发商务酒店,,06608113222,
雅庭精品酒店（汕尾陆丰店）,,06608122666,
华轩假日大酒店（原华信酒店）,,06608820666,8823555
希岸酒店（汕尾陆丰店）,,06608606060,18025778999
维也纳酒店（陆丰人民路店）,,06608882888,
陆丰丽景半岛酒店,,06608888688,
中庭假日酒店,,06608163998,
陆丰佳佳快捷酒店,,06608183999,8183998
7天连锁酒店（汕尾陆丰汽车总站店）（原7天阳光）,,06608662999,
日+日宾馆,,13680986616,13828986015
天成酒店,,06608181666,
三和住宿,,13113723669,
维也纳智好酒店（汕尾陆丰碣石汽车站店）,,06608111118,
龙盛公寓,,06608153988,
桃园公寓,,06608813182,13926022040
惠康住宿,,06608915459,15818726446
文意酒店,,06608152888,
金悦公寓,,06608805898,
星悦住宿,,06608832438,
鑫源公寓,,15917134080,
海聚公寓,,06608513113,
长基商务中心,,06608687777,8877002
三甲公寓,,06608921108,13886609935
观海假日酒店,,06608307777,
鹏盛商务酒店,,06608567311,18927927871
启航公寓,,06608519101,
大家乐酒店,,06608860896,8682509
怡美宾馆,,13543136075,
绍丰商务宾馆,,06608517999,
南龙大酒店,,06608293333,8290111
大雷岛度假村,,06608201111,
博新宾馆,,06608266138,
现代公寓,,06608889488,
鑫都旅业,,06608833858,
龙发住宿,,06608989523,
金利华酒店,,06608932333,
龙兴住宿,,18998505523,
华逸酒店,,06608931888,18025792597
永轩商务宾馆,,06608131888,
陆丰好来登酒店,,06606159888,
劳工之家旅店,,06608827181-8001,13822248650
8星时尚酒店,,06608932888,
天成酒店（建设路分店）,,06608900333,
易达商务酒店,,06608139288,15914386536
陆丰海韵假日酒店,,06608308888,
玄武山大酒店,,06608877777,
汕尾集泰酒店,,06608932222,
陆丰接待所,,06608821450,
粤海旅馆,,06608871909,
金都大酒店,,06608956388,
陆丰宾馆,,06608827042,
华丽都酒店,,06608842888,
龙山宾馆,,06608989888,
豪庭大酒店,,06608976666,
驿馆,,15089519000,
华禧大酒店,,06608111555,
厦门观海居休闲度假客栈,,06605321818,
新兴宾馆,,06608851620,
金华祥大酒店,,06608929999,
九天宾馆,,13536489272,
阳辉宾馆,,06608266750,
金涛宾馆,,06608929888,
鸿运住宿,,13534002788,
爱群旅社,,06608269581,
鸿江旅馆,,06608862026,
照明旅社,,06608698529,
东龙新旅店,,06608997766,
凯丽大酒店,,06608974333,
金都旅馆,,06608226789,
祥盛客栈,,06608269777,
金星宾馆,,06608570986,
金厢旅馆,,06608608018,
盛发商务酒店,,06608561333,
东茂旅社,,06608837643,8837778
怡家宾馆,,06608152666,
亨利宾馆,,06608273268,
海鸿俱乐部,,06608226789,
君豪宾馆,,06608261111,
金凯逸大酒店,,06608689999,
永恒商务客栈,,06608182222,
东丰大酒店,,06608693688,
远图大酒店,,06608858000,8978222
富临酒店,,06608574666,
陆丰奥之华商务宾馆A店（广汕公路店）,,06608511333,
恋海休闲度假屋,,18020742256,
宁海东川宾馆,,06608118736,
柏林旅馆,,06608213468,
工业大厦,,06608970468,
陆武招待所,,400833-6699,
南华旅店,,06608888861,
东龙旅店,,06608997766,
龙泉宾馆,,06608691719,
宏兴旅馆,,06608245989,
富丽华酒店,,06608842999,
海悦酒店,,06608578000,
益群旅馆,,06608249618,
金海大酒店,,06608923006,
青青住宿,,06608888916,
华盛达商务酒店,,06608959666,
