姓,名,家庭手机,工作手机
海景湾国际大酒店,,06685886888,
华海酒店（新福二路店）,,06683918888,
城市便捷酒店（茂名高州沿江东路店）,,06686862888,6883328
朋来公寓,,18300070616,
平安旅馆,,06682865086,
棕榈园酒店,,06685392666,5392777
鱼得水宾馆（光华北路店）,,06682830386,3992966
银湖宾馆,,06688866833,
维多利亚酒店,,06687291666,
盈通旅社,,06685595268,
电白县第二招待所,,18926712878,13360298841
豪庭宾馆（酒店）,,06686787878,
长坡黄金海岸宾馆,,06686730918,
52连锁酒店,,06687295252,
悦来便捷宾馆,,13380812070,
实发宾馆,,06682274656,15363148735
顺得商务酒店,,06686882838,6882828
嘉湖宾馆,,06686886199,
MGM米高美酒店,,06685559055,
君宁商务酒店,,06685728999,
168公寓,,06682225168,
岭南人酒家,,06688866889,
红金鼎商务宾馆,,06683386888,
红天宾馆,,06682201236,
明悦宾馆,,06686677111,
宝龙商务酒店,,06683333828,
零六六八便捷宾馆,,06683998628,
三丰商务宾馆,,06682190666,
京华招待所,,06682289105-8888,22891028888
名晟宾馆,,06682902888,
丰诚商务酒店,,06686687088,
同心客栈,,06682240586,
艺巢主题旅馆,,06682863305,
卓越酒店,,06685118999,
茂名金沙商务酒店,,06682797788,2935677
柏拉图时尚酒店,,06687280333,
站前宾馆,,06687888666,7383108
锦绣商务酒店,,06683382888,3382899
广怡商务酒店,,06683337799,
建中商务宾馆,,06686577988,
汇嘉大酒店,,06687888889,7888377
嘉华宾馆,,06687510299,13434284188
诚客商务酒店,,06683933388,3933988
怡景商务酒店,,06683337788,2873888
高尔夫商务宾馆,,06688835555,
好来登酒店,,06683998888,
怡天酒店,,06682931888,
迪拜八星酒店（红豆街店）,,06682700888,
罗马假日宾馆,,06682757999,2188333
苹果酒店,,06682929999,
瑞京酒店,,06687888833,
尚客优连锁酒店（茂名火车站店）,,06682283288,2260288
龙都宾馆,,06685518388,
华景商务酒店,,06682736222,
国民商务酒店,,06683380988,
祥隆商务酒店,,06682061111,2226633
正旺酒店,,06683336777,
竹园宾馆,,06685899999,
河畔酒店,,06687921988,
旺上皇商务宾馆,,06688897666,
客怡居宾馆,,06688876222,
君悦商务酒店,,06682887888,2862999
城海迎宾馆,,06688813999,
华山宾馆,,06686598222,6598088
尚客优连锁酒店（信宜中兴大道店）,,06688874888,
城市便捷酒店（高州南关路店）,,06686660333,
平定酒店,,06687532888,7532333
荣富宾馆,,06682802168,
嘉燕大酒店,,06682988888,
恒运商务酒店,,06685252799,5120977
7天连锁酒店（高州高凉西路店）,,06686611777,6622777
盛邦商务酒店,,06686633566,
银河酒店（双山五路店）,,06682708888,
大喜假日酒店,,06685887888,
7天连锁酒店（茂名站前路店）,,06682816777,
荔红商务酒店,,06683915999,3915222
精途酒店（高州茂名大道店）,,06686687777,
城市便捷酒店（高州城东客运站店）,,06686669966,
城市便捷酒店（茂名火车站店）,,06682817999,2065999
帝承商务宾馆,,06686671111,
东方百老汇商务酒店,,06682977999,3937977
万豪商务酒店,,06686880089,
丽登酒店,,06687233333,7211288
广东鹏腾国际大酒店,,06685711999,5718899
港湾假日酒店,,06682255333,2257333
东利假日酒店,,06685891888,
嘉洲时尚商务酒店,,06685288666,
宾客之家宾馆,,06688868899,8868898
渔聚宾馆,,06685600008,
城市便捷酒店（茂名文明南路店）,,06682155888,
电城美港湾商务酒店,,06685353222,
恒大宾馆,,06685507788,
飞扬酒店,,06688866666,8866888
君福宾馆,,06687920777,
加州旅馆,,06688833333,
华燕宾馆,,06685211886,5211889
城市便捷酒店（水东店）,,06685591688,5591088
维也纳国际酒店（茂名电白店）,,06685866666,
鉴江商务酒店,,06686660168,6622288
诚荟酒店,,06685511155,15718318591
新湖大酒店,,06685211888,
唐华商务酒店,,06682268888,
凤凰城迎宾馆,,06685285888,
阿斯顿连锁酒店（电城店）,,06685358289,
好运来旅馆,,06687353892,
金龙泉大酒店,,06685119999,5119998
西雅图酒店,,06685755555,
维也纳国际酒店（茂名火车站店）,,06682758888,17728983101
永利公寓,,06682981818,18998288783
鼎豪精品酒店,,06686933333,
中环快捷酒店,,06686576666,
阳光商务宾馆,,06686858688,
雍景公寓,,06682223339,18312599411
时代公寓,,06685507777,18128399389
海腾国际大酒店,,06685197666,5195666
恒泰快捷酒店,,06686386999,
布拉格假日酒店,,06685555599,
乐的主题酒店,,06687888188,
鼎豪W酒店,,06686788888,
维斯顿酒店,,06685223222,5220033
城市便捷酒店（茂名博贺放鸡岛店）,,06685339888,18926700953
米兰简约商务酒店,,06685189666,
金百合旅馆,,06688869333,
沿江商务酒店,,06687756999,17322837519
维也纳国际酒店（信宜新尚路店）,,06688869999-0,
茂名凳子文艺民宿,,18038966590,
南湖第一宾馆,,06686689538,
观海楼假日酒店,,06682682888,
维也纳国际酒店（化州北京东路店）,,06687866666,
湖艳湾连锁酒店（上街店）,,06687918888,
碧海湾酒店,,06685221111,
环球宾馆,,06682966485,
明悦商务宾馆,,06688887777,
玉湖山水酒店,,06686733999,6730666
汇龙商务宾馆,,06686135388,
如家快捷酒店（茂名人民南路威威步行街店）,,06682091999-9,
IU酒店（茂名信宜中兴六路店）,,06688869777,
蓝月湾假日酒店,,06687990333,
粤华大酒店,,06688860666,
顺利假日酒店,,06686683555,6689555
有家出租客栈,,06688123567,
湖艳湾酒店,,06687912222,7933288
文喜宾馆,,06685890222,
禹神国际酒店,,06688918555,
安泰大酒店,,06685738888,
高州宾馆,,06686383638,
金源家庭公寓,,13713452133,
茂名金辉煌商务宾馆,,06688861577,8861166
精途酒店连锁,,06687566188,
君悦酒店（高州桂圆食坊店）,,06686618666,13432908083
一米阳光商务宾馆,,06682977080,
疍家旅馆,,18218608623,
起点商务酒店,,06686667888,
市政府招待所,,06686600088,6664262
果红假日酒店,,06685555688,13809787805
俊豪商务酒店,,06683337666,
海豚酒店,,06685187000,5187001
一家人家庭公寓,,18899898858,
茂名国际大酒店,,06682118888,2170999
华丽商务酒店,,06687720888,7728888
壹嘉商务酒店,,06685262999,5359068
燕岭绿湖湾酒店,,06687301666,
如家快捷酒店（茂名火车站人民广场店）,,06683338999-9,
南豪商务酒店,,06686611111,6688888
鼎丰商务酒店,,06686660808,
长鑫宾馆,,18934050576,
威尼斯国际水疗酒店,,06682998388,
长隆商务酒店,,06683868888,3818888
御水古温泉酒店,,06685899888,5559303
博贺怡海大酒店,,06685609111,
金天假日酒店,,06685181188,
茂名海云雁酒店,,06683969999,
龙腾国际大酒店,,06685338802,5338888
幸福人家旅馆,,06685894789,18211500152
铭丰假日酒店,,06687282222,7336699
茂名晶鑫招待所,,15363912736,
化州美利路时尚酒店,,06687308666,
信宜市委招待所,,06688812140,
通用大酒店,,06685139888,5236688
新湖时尚酒店,,06686577638,6577678
铭海酒店,,06687336888,
鸿运宾馆,,06686885518,
沿江3加2宾馆,,06686851989,
名轩假日酒店,,06685352333,
钱排长盛酒店,,06688258391,
城市便捷酒店（茂名人民路步行街店）（原迈濠商务酒店）,,06682860888,2810188
东信宾馆,,06682987808,15119633729
南湖第三宾馆,,06686886911,
电白纳欣假日酒店,,06685365811,5362388
城市便捷酒店（茂名学府店）,,06682791888,2791988
雅园商务酒店,,06682155666,2158298
茂名碧桂园凤凰酒店,,06685386666,
希亚精品酒店,,06682158888,2158999
金源大酒店,,06685286888,5286666
深圳湾宾馆,,06687292888,
濠庭商务酒店,,06687933333,
好莱登商务宾馆,,06688867788,
南海海港假日酒店,,06682687666,
八方连锁酒店（茂名党校店）,,06682921188,2207999
南湖第二宾馆,,06686666889,
新鼎丰商务宾馆,,06686682333,
放鸡岛海洋度假公园（客房部）,,06685189587,
濠景酒店,,06687273333,
天雅商务酒店,,06687383333,7338008
明都商务酒店,,06687286666,7286668
宏大商务酒店,,06686880066,
沿江三宾馆,,06686880611,
志威宾馆,,06687366998,
玉湖风景区玉湖宾馆,,06686577899,
英利商务酒店（上街路店）,,06687296668,
旺钻酒店,,06687213888,
翠辉大厦,,06682811688,2825111
橘恒商务酒店,,06687323333,
中悦宾馆,,06687753099,
南祥宾馆,,06682735328,15875868978
亨富迪商务酒店,,06682888388,
