姓,名,家庭手机,工作手机
阳来宾馆,,05536486579,15357035052
长丰快捷宾馆（阳光花园店）,,05536828522,6828390
新江南宾馆,,05536916208,
长丰快捷宾馆（长丰店）,,05536828390,
家友宾馆,,05536825970,
天元宾馆,,15005534566,17756534566
鸿运宾馆,,05536839418,
喜洋洋宾馆,,05536913008,6913018
久久商务宾馆,,05537653018,
光明快捷宾馆,,05536822722,
辉煌宾馆,,05536820600,
818宾馆,,05536827818,17756507922
敦煌宾馆,,05536813118,
如意宾馆,,05537653528,13956197766
555宾馆,,13349032926,
迈典宾馆,,05536827598,
金岸商务宾馆,,05536514800,
南苑宾馆,,05536816210,13956180806
林顿宾馆,,05536278378,
六六八商务宾馆,,05537653668,
快乐心期八宾馆,,05537653808,
源起宾馆,,05536839399,18154012296
五星商务宾馆,,18255320509,
豆蔻年华主题酒店,,05537656789,7656788
万兴假日酒店,,05536358888,2395222
唯驿精品酒店,,05536066600,6061660
天籁宾馆,,05536913558,
阿军宾馆,,05536916886,18055346776
华宇宾馆,,15655336556,
振兴宾馆,,13955391871,
白金汉爵宾馆,,05536117666,
昊美酒店,,05537656666,
奇东宾馆,,18119886066,
天天假日宾馆,,05536826166,
超感宾馆（香江商业街店）,,05536859258,
阿迪宾馆,,15395315017,
温哥尔商务酒店（睡文化店）,,05536066777,
世纪宾馆,,05536913088,
聚缘大酒店,,05536384799,
顺荣商务宾馆,,05536812299,
金凤凰大酒店,,05536839279,
南陵悠谷森林山庄,,13955383408,17756529652
华庭快捷宾馆,,18155333472,
荣华快捷宾馆,,18949516670,
前山商务宾馆,,05536856899,
美家宾馆,,18255378017,
红磨坊旅馆,,05536859266,
恒悦宾馆,,15955361976,
舒雅宾馆,,05536832808,
尝香聚酒店,,18226524986,
清云宾馆,,05536826268,
金穗商务宾馆,,13955397818,
籍山旅馆,,15155308085,
橙客快捷酒店,,05536813111,
宇培国际酒店（客房部）,,05536825858,6823377
尚客优快捷酒店（芜陵朋济路店）,,05536811555,
雄风商务宾馆,,05536829789,
万木商务宾馆,,05536215555,
南陵县奎湖如家宾馆,,05536231222,
百恋堂足浴宾馆,,05536815185,
金香江宾馆,,05536910599,
馨雅宾馆,,05536917117,
金色宾馆,,05536838688,
梦巴黎假日宾馆,,05536859766,
郁金香快捷宾馆（江南国际店）,,05536776666,
超感宾馆（祥生花园店）,,05536859268,
南陵县七天宾馆,,05536859077,
利友宾馆,,13349211050,
星悦商务宾馆,,05536832888,
南陵景轩宾馆,,05536916166,
晒滩宾馆,,05536826001,
青皮树酒店（皖南商城店）,,05536819888,
恒港假日大酒店,,05536811866,
温哥尔商务酒店（南大门店）,,05536776666,
金泉商务宾馆,,05536826018,
香樟假日宾馆,,05536833399,
山海大酒店,,05536518798,13855322662
大西门宾馆,,05536833862,
大桥商务宾馆,,05536837779,
万基商务宾馆,,05536859177,
喜来登宾馆（西门店）,,05536832186,
沪宝商务宾馆,,05536270666,
瑞豪宾馆,,05536826537,
新南陵宾馆,,05536832999,
豪鑫商务宾馆,,05536518222,
雨田润生态酒店,,05532390777,
鲁班国际酒店,,05536835766,6835888
喜来登宾馆（东门店）,,15357016876,
龙云新世纪大酒店,,05537658888,7659999
龙腾宾馆,,05536916009,
雅乐宾馆,,05536811186,
伟嘉宾馆,,05536829698,18255318865
左岸宾馆（安贤街店）,,15155308085,
徽昌大酒店,,05536919779,
张桥大酒店,,05536062777,
e家快捷宾馆,,05536919168,
锡铂山庄,,05536583788,13956152188
乌霞宾馆,,05536825099,
平安宾馆（芜湖）,,05536279766,
食全酒美酒店,,18365399123,
现代商务宾馆,,05536206699,
南林县林业宾馆（芜湖）,,05536827077,
亭园农家乐,,18055306780,18356219377
绿岭大众酒店,,05536919177,
爱森风尚宾馆,,05536826277,
阳光雨宾馆浴室,,05536827755,
南湖宾馆,,05536232588,13956218588
银平宾馆,,05536913388,
新喜乐酒店,,05536212777,
沙滩宾馆,,05536161799,
籍山大酒店,,05536832177,
南亚大酒店,,05536821804,
丰南宾馆,,15055790913,
新谷春宾馆,,05536828011,
在水一方生态农庄,,05536773997,
湘江宾馆,,15055759657,
南弋宾馆,,05536166668,
康乐宾馆,,05536816314,
大浦乡村世界快捷酒店,,05532362666,
家乐宾馆,,05536233688,
梦里水乡,,05536919168,
美丽华宾馆,,05536822718,
芜湖西山宾馆,,05536832699,
阳光宾馆,,05532283880,
鑫悦轩大酒店,,05536919977,
迎宾旅馆（南翔路店）,,05536821416,
新都宾馆,,05536820556,
丽都宾馆,,05536916066,
夜归人旅馆,,13395539289,
江业大酒店,,05536106777,
义雲大酒店,,05536919979,
茶园宾馆,,05536816288,
金都宾馆,,05536833443,
西郊宾馆,,05536825299,
明望旅馆,,05536277898,
星辰宾馆,,05536819688,
时代宾馆,,05536206009,
九鼎公馆娱乐会所,,05536276666,
麒麟宾馆,,05536821395,
昌来酒店,,05536041016,15855987799
老邻居酒店,,13956184467,
星城国际宾馆,,05536518188,
虹云桥宾馆,,05536817828,
城东宾馆,,05536824525,
晶伟大酒店,,05536916192,
熙缘大酒店,,05536519277,6916699
辉煌大酒店,,05536916699,
帝豪宾馆,,05536238999,
富宁大酒店,,05536839908,13855316029
三一八宾馆,,13395537707,
云龙大酒店,,05536816979,
相聚宾馆,,05536916058,
金石宾馆,,05536383688,
吉鸿祥商务宾馆,,13470735456,
皇朝宾馆,,05536836698,
金林大酒店,,05536487799,
戴镇大酒店,,05536457777,
富贵大酒店,,05536278668,
