姓,名,家庭手机,工作手机
微爱情侣公寓,,15357579777,
幸子宾馆,,05634175485,
杨山人家宾馆,,05634023069,13805625543
佰荷宾馆,,15956353047,
静园宾馆,,05632168766,15956320818
新英雄岭宾馆,,05634133068,
锦宁宾馆,,05634013680,
扬帆宾馆,,05632161999,
宁国南极溪水庄园农家乐,,15385459584,
老地方客栈,,05634013400,
安谊快捷宾馆,,18756355819,
皇朝快捷宾馆,,05634113298,
欣辰宾馆,,05632171585,13865387118
逸家快捷旅店,,05635297979,
汪溪滨江商务酒店,,05634452999,
广源商务宾馆,,05634800229,
长乐宾馆,,18956384517,
凯宁宾馆,,13731920075,
鑫润商务宾馆,,05634801666,18056386777
中添商务宾馆,,05634015111,
德悦宾馆,,05634034086,
安宁宾馆（宣城）,,05634011808,
欧亚宾馆,,05634180888,13965656058
福鑫商务宾馆,,18956384982,18956384751
新雨宾馆,,05634035222,
红日沁隆商务酒店,,05634111000,
80时尚宾馆,,05634178080,
万利豪假日宾馆（宁阳东路店）,,05634988999,
米兰风情商务宾馆,,05635292222,
友佳商务宾馆,,05634178777,
星际酒店（北园路店）,,05634107999,
红枫叶时尚酒店,,05634106988,
扬子商务酒店,,05634833999,
蝶尚精品酒店,,05634152666,
江南宾馆（宁城北路店）,,05634111666,
盛唐大酒店（宁城南路店）,,05634017188,
雅致精品酒店,,05634016988,
格林豪泰快捷酒店（宁国宁阳东路大润发店）,,05634177998,
都市阳光酒店,,05634101788,
罗曼蒂克商务宾馆,,05634295888,
御家酒店,,05634019118,
有缘宾馆,,18963709845,
盛沣宾馆,,05634172666,
燕云宾馆,,13731903702,
皖南川藏线客栈,,13177771725,13865326579
格林豪泰商务酒店（宁国诚信大厦店）,,05634665666,
心悦驿站宾馆,,17733396898,
如心客栈,,05635290777,
桂冠时尚宾馆,,05634668999,
梦缘山庄（酒店）,,05634210666,
缘馨圆宾馆,,13605634377,
宁国罗陵湾自驾乐园酒店,,05634023899,
青龙池山庄,,05634210899,15256340838
山里红宾馆,,05634016688,
宏佳宾馆,,05634132688,13399634663
馨家快捷宾馆,,13515636474,13966167814
江南公社宾馆,,05632177666,
皇庭宾馆,,05634116818,
帝多精品酒店,,05634290999,
顾家花园假日酒店,,05634442888,
海浪宾馆,,05634028869,13956587567
蓝心水岸温泉酒店,,05632958888,
落雨杉客栈,,13865380247,
天豪宾馆,,18505632289,13705630034
凤板驿栈,,05634940331,13635637275
宁国市七天桃园酒店,,05634455888,
东津河度假村,,05634600999,
塞纳河畔·开源大酒店,,05634103000,
金鹏宾馆,,15357520866,
鼎新大酒店,,05634888799,
天悦商务宾馆（宁阳中路店）,,05634116999,
文杰宾馆,,18756311075,
君悦宾馆,,05634731333,
金富豪商务宾馆,,13856341193,
百慧客栈,,05634038138,
开鹏商务宾馆,,05634831888,
幸福人家宾馆,,18098503255,13515636079
佳园宾馆,,05634028086,
建宁宾馆（宣城店）,,15395631649,
王家农家乐,,18110865075,
海云大酒店（客房）,,05634102798,13856361640
港湾人家农家乐,,18788877562,
自家人宾馆,,05634959799,
纪秀苑宾馆,,05634280788,
美居宾馆,,05634220816,
杨林酒店,,13637210589,
