姓,名,家庭手机,工作手机
柴旺温馨旅馆（火车东站店）,,18577876138,
好梦家庭公寓,,18677929891,
鑫雅家庭公寓,,18697974581,
秋香家庭公寓,,18587589929,
馨旺酒店公寓,,15697717085,
鑫宇豪华家庭公寓,,15678928883,
跃龙商务宾馆（火车站店）,,07712426377,
吉祥家庭公寓,,13297706688,
爱丁堡酒店,,07716786099,6786088
英宏家庭公寓（火车东站店）,,13299262106,
美新宾馆,,07712825150,
木菠萝青年旅舍,,18174703584,13839233860
馨晖酒店公寓,,13607818994,
大王滩度假村,,07714778086,
锦绣公寓,,13972200579,
静园公寓,,07712753381,
东龙旅馆,,18275724817,
联友招待所,,07713824679,13667884758
丰昆宾馆,,07712433739,
隆客旅馆,,07712780746,
家和温馨旅馆,,15678884775,
荣高宾馆,,07712442743,6736598
零距离家庭公寓,,13277779262,13077771011
南宁荷池宾馆,,07715629161,
晚安▪地球人青年旅舍,,13114701657,
小星空青年旅馆（朝阳店）,,18677954045,
洲洲家庭旅馆（水街店）,,18007712044,
富满地国际大酒店,,07712195888,
南宁多旺旅馆,,07715667855,
学友招待所,,13978714731,13978724008
曙光宾馆（银海大道店）,,18697998218,13152505229
顺顺公寓,,17776623226,
洁雅旅馆（火车东站店）,,07715346417,18077021717
好自然青年旅舍,,18176256860,
盈捷宾馆,,07712206568,
和平居旅馆（火车东站店）,,18076384443,13277734566
悦庭私家精选公寓（东盟店）,,18978908834,
驿路港宾馆,,07713106055,
天新旅馆,,13471191652,
花园里.青年旅舍（火车站店）,,13607717590,
遇见·你连锁青年旅舍（火车站店）,,18589881926,
驴友拾年青年旅舍,,17736627612,
幸福青年旅舍,,07715765008,18978990916
宜美家宾馆,,07714871118,
英顿宾馆,,15977472691,18977114302
美辰家庭公寓,,18775101271,13878591307
运达开旅馆,,07714500858,
华雅轩家庭公寓,,18587793817,
缘美公寓（东站店）,,13978846777,
凯翔商务酒店,,13807805901,
林苑宾馆,,07712324353,
北纬22℃青年旅舍,,18777112968,
探花宾馆,,07713898168,
源河公寓,,13687714036,
尚都商务宾馆,,07715338731,
南宁市陶然阁商务酒店,,07714872625,4872352
好再来酒店公寓,,18878998008,
安心家庭公寓,,18878838852,
柠檬.Tree青年旅舍,,15577020516,18677159489
远大酒店公寓,,07712429030,2428010
郡庭家庭公寓,,18077787952,
好客之家家庭公寓,,13277830277,
金林宾馆,,07714894597,
联运宾馆,,07712435535,15177128886
宁宁公寓,,07713851518,
天利招待所,,15677156418,
