姓,名,家庭手机,工作手机
乡情臻品酒店（宁乡步行街店）,,073188310222,
怡宁宾馆,,073187654328,
鸿运宾馆（大塘巷店）,,15274708668,
灰汤兵歌旅馆,,18874750227,
玉潭电力宾馆,,073187877289,13357212108
98主题宾馆,,073187113210,
爱尚168宾馆,,073187111918,
随意居公寓,,073187891208,13574160008
神州宾馆,,073185852698,18974802618
锦程宾馆（楚沩中路店）,,073187859000,
西城宾馆,,073187881676,
新民宾馆,,073187053228,
圆缘宾馆,,13507474022,15974128654
馨原旅馆,,18874888875,
鑫盛宾馆,,15111093233,15111179043
百和酒店,,073187262977,
莫林风尚酒店（宁乡店）,,073187177111,
阳光主题宾馆,,18175147172,
好运来宾馆,,18874230691,
海春宾馆,,073187108930,13755022189
志洪旅馆,,13974991514,13787116441
春城明珠商务快捷酒店,,073187847000,87847018
星云主题宾馆,,073185858520,13786195558
米爱风情酒店,,073185851868,15580859998
名爵商务宾馆,,13874894255,
春城华丽宾馆,,073187802968,
汤韵旅馆,,18670084135,073187192099
豪都酒店,,073187381222,
37°时尚公寓旅馆,,073187370299,
金都大酒店,,073187850222,
中悦商务宾馆,,073187857113,
兰烨主题宾馆,,073187826238,
恒圣时尚公寓酒店,,073187984655,
馨宇家庭旅馆,,18173143628,
慧丰酒店（黄材镇）,,073187573928,
鼎诚家庭旅馆,,073187873257,
畅文旅馆,,13467561557,
陌陌主题宾馆,,073187873477,
潮都公寓酒店,,073187873081,17775993862
金泰宾馆（宁南一街店）,,073187632709,
八间房连锁宾馆,,073187821927,
佛源旅馆,,13467561557,
远达酒店,,073187807999,
众鑫酒店,,073187071111,
鸿富城市青年酒店,,073187110000,
龍騰宾馆,,18774973629,
湘龙温泉宾馆,,073187298116,
喜来乐宾馆,,13054183888,
五彩今天连锁酒店（宁乡春城路店）,,073187073333,
锦都主题酒店,,073187897777,
天银大酒店,,073187127777,13508400119
7天连锁酒店（玉潭镇沿江路店）,,073187156777,
宏晟时尚假日酒店,,073187156666,
和平旅馆,,13627494027,
春城印象酒店,,073187103777,87108691
富茂大酒店,,073187732666,
美维雅商务酒店,,073188932028,
梦港湾大酒店（原铜锣湾大酒店）,,073188592588,
首站酒店,,073187052666,
给力宾馆,,073187873575,
云中天商务酒店,,073187233777,
汤都温泉公寓,,073187298198,
7天优品（金牛广场店）,,073187870777,
洲源温泉宾馆,,073187295962,13467544160
君天大酒店,,073187976999,
鸿天康逸温泉山庄,,073187295555,87296888
桃花谷大酒店,,15802535984,
灰汤宜安居宾馆,,073187097299,13055195098
居隐连锁客栈（灰汤温泉店）,,073187873979,
名叶宾馆,,13873174834,
金丰宾馆（楚沩东路店）,,15074940985,13517478731
古城印象酒店,,18874703455,
鸿钰宾馆,,13507493405,
锦明宾馆,,13974987582,
桂三宾馆,,13467662233,
沁心春旅馆,,15273117831,
客云居宾馆,,073187081666,18670763768
聚福楼家庭旅馆,,15526474727,
金星宾馆,,15386408603,
豪庭商务酒店,,073187591111,
萨萨宾馆,,073187838700,13975848700
玉溪宾馆,,073187890666,15388927089
南方商务宾馆,,073187932666,
凝香大酒店,,073187818088,
老邻居酒店,,073187879696,
林美休闲农庄,,073187151666,
速捌商务宾馆,,15575187019,
星期日家庭旅馆,,13755138418,
金煌阁宾馆,,073187212597,15874843118
7夕家庭宾馆,,15974175718,
宁乡碧桂园凤凰酒店,,073188312222,
金天宾馆,,073187575225,
顺风168宾馆,,073187381558,
恒和宾馆,,073187156838,13397616838
品尚假日酒店,,073185858115,17708432869
灰汤华天城温泉度假酒店,,073187456888,15974276502
馨馨宾馆,,073187191338,
柏丽酒店,,073188691888,
晓园宾馆,,073187296368,
传奇宾馆,,13875889323,
灰汤沐泉家庭旅馆,,15974186985,18975139375
天杰旅馆,,073187821098,18975177150
宁乡县宏胜酒店,,073187309666,
湘茗大酒店,,073187351066,
丽达国际大酒店,,073183878888,
紫阳宾馆,,073187982588,
灰汤茶友温泉特色宾馆,,073187297766,
百度温泉宾馆,,073187296257,18008439123
广龙商务宾馆,,073187075168,
富强旅馆,,18274974800,
沩鑫大酒店,,18374869188,18507314811
新天旺时尚酒店,,073187051606,15574931203
进哥家庭旅馆,,073187221500,15874260049
轶涵家庭旅馆,,13617314722,
旅游宾馆,,15386429228,
立三宾馆,,073187800563,
嘉顺宾馆,,073187128186,
灰汤华山家庭旅馆,,18974961996,15084941510
金逸商务酒店,,073187932222,87935555
红浪漫主题餐厅,,073187095708,18570380759
裕源旅馆,,073187297608,18932465901
根艺客栈,,15802649242,
锦锋温泉宾馆,,073187298016,
灰汤沁源春水大酒店,,13786278781,
鸿天宾馆,,15364009777,
沩清大酒店,,073187351588,
灰汤润泉宾馆,,073187299188,15367969378
亨运宾馆,,073187818388,
嘉怡宾馆,,073187857308,
悦莱宾馆,,073187296522,15802685989
美好人生宾馆,,13808437575,
九盛酒店（宁乡店）,,073187636999,18573126799
7禧宾馆,,13662626356,
馨梦宾馆,,13637472329,
炎羽农家乐,,18711168864,13548544937
通程温泉大酒店,,073187108888,
金开宾馆,,13874969798,
新鑫宾馆,,15367716309,
世缘阁家庭旅馆,,073188313282,
华天宾馆（人民南路店）,,073187824888,
超云旅舍,,15873128939,
玉鑫宾馆,,13755159135,
style腔调酒店,,073185858016,
鑫旺宾馆,,073187296727,
宁乡政清接待中心,,073187809778,
站前住宿,,15874890046,
三泰大酒店,,073187855500,
云来宾馆,,13467639673,
好运来汤泉旅馆,,13217482881,
康英旅馆,,073187835431,
世纪温泉旅馆,,073187297855,
华晟商务酒店,,073187098999,15874046158
灰汤金鑫宾馆,,13548958699,
恒楚·阳光酒店,,073187218999,
泰和温泉宾馆,,18670072442,
新城家庭旅馆,,073187852185,
天恒宾馆,,073187899777,
金汤旅馆,,13297423982,
晨熙家庭旅馆,,18774923882,
大华家庭旅馆,,13469057858,
V8主题酒店（一环南路店）,,073187885777,
老粮仓客房,,13298693639,
沙河宾馆,,073187887001,
呀呀主题宾馆,,073187097785,
阳光商务宾馆（一环北路店）,,15874154925,
好运来旅馆,,073187878139,15116330380
美佳宾馆,,15111256322,15173168207
米莱故事酒店,,073187203333,17775746962
水力宾馆,,073187881603,
黄金岛商务旅馆,,18163749369,
鸿美商务宾馆,,073187578555,
富康家庭旅社,,15200858370,
八一明珠商务宾馆,,073187820999,
青城之恋酒店（宁乡店）,,073187420888,
星天地宾馆,,073187095418,
希尔登大酒店,,073187846001,
中博商务大酒店,,13755163268,
铭洋旅馆,,073188312289,13469465676
广圣花园酒店,,073187650899,87650886
春海弄潮旅馆,,18874126808,
天外天商务宾馆,,073187526999,
泓楼宾馆,,18711049589,
一三大酒店,,073187982828,87982878
一帆宾馆,,073187859333,
长沙宁家大酒店,,073187056789,
盛兴商务宾馆,,13548573318,
天元大酒店（花明北路店）,,073187809778,
DPD商务宾馆,,073187650005,
鸿福大酒店,,073187850288,
华峰华天假日酒店,,073187198888,18774090608
灰汤温泉大北农农家乐宾馆,,073156180498,
西雅大酒店,,073187057777,
天恒宾馆,,13007416347,
景天宾馆,,073187898123,
金福宾馆（一环北路店）,,13617494730,
凯悦强湾商务宾馆,,073182750178,18974340080
宁城宾馆,,17775801680,
江都商务宾馆,,13548946942,
星晨宾馆,,073187885516,
沩山度假山庄,,073187650666,
水利宾馆,,18627584900,
宁乡紫龙湾温泉度假区酒店,,073187233333,87211111
玉兴宾馆,,073187098555,15111290185
