姓,名,家庭手机,工作手机
长寿宾馆,,07306679999,
长寿宾馆,,07306679999,
温馨宾馆,,18817012282,
丽都宾馆（新汽车站店）,,15115088413,
香格里拉大酒店,,07306402588,
鑫都宾馆,,07306669988,
石牛寨避暑山庄,,15115001550,
时尚宾馆,,07306887998,
步云阁宾馆,,13787982163,
龙门宾馆,,15897302288,
子龙大酒店,,07306611238,
欣荣宾馆,,07306666988,18692138567
石牛寨悦来客栈,,07306450896,
凯悦宾馆,,07306331777,18974082299
鸿运来宾馆,,13974072508,13974002214
富丽华宾馆,,07306669868,
华天宾馆（南江镇店）,,07306568888,
天岳宾馆,,07306663499,13574750095
献钟生态农庄大酒店,,07306601688,13100206391
礼文宾馆,,13973039023,
今典大酒店,,07306679676,6679956
皇室假期宾馆,,07306669228,6377999
平江无忧居家庭客栈,,18473087212,
石牛寨好运来宾馆,,18169307271,18274035983
平江县格林云海商务酒店,,07306665666,6665555
龙之韵宾馆,,07306555168,15975640638
阳光宾馆（安定店）,,07306355276,
福临宾馆,,15173067757,15842892068
贵宾楼商务宾馆,,07306807000,18073016882
万豪假日酒店,,07306351899,
平江县石牛寨镇如家宾馆,,13808409156,18373073576
长寿里宾馆,,07306678886,18974001293
和顺宾馆（天岳大道店）,,07306612999,
石牛寨沁园宾馆,,07306450166,17769300522
华美商务宾馆,,07306999998,
斑马时光酒店,,07306677366,13575023003
阳光宾馆（十字街店）,,07306220698,13348708078
尚一特连锁酒店（平江天岳大道店）,,07306227888,
维娜斯酒店,,07303375200,15274004422
天然居酒店,,07306450088,15115088795
安第斯酒店,,07306886660,13532555123
爱琴海精品酒店,,07306868888,
石牛寨山水湾（连锁）酒店,,07306450656,13762777762
格林豪泰快捷酒店（岳阳石牛寨店）,,07306998998,13873091998
鑫城主题宾馆,,07306666880,
石牛寨望牛山庄,,13574008626,
金盛源酒店,,07303063066,18118709211
丹桂园假日酒店,,07306799999,
石牛寨金辉煌大酒店,,07306532999,
瑞景宾馆,,18692103534,13874001608
云来大酒店,,07303055699,
石牛寨映山红宾馆,,15050283141,
五洲宾馆,,07306677818,15073007416
石牛寨老街宾馆,,15197109086,
石牛寨鹏程宾馆,,07306450018,15292036088
佳诚宾馆,,13575075255,
帝豪山庄,,18975036758,
红塔宾馆,,07306299139,
豪庭一号宾馆,,07306372777,
新天地旅馆,,15080969193,
龙腾大酒店,,07306450719,18229414720
石牛寨洞岭旅馆,,15700844410,
牛市大酒店,,07306403998,18373078099
喜迎客商务酒店,,07306401409,13135003478
阳洋宾馆,,15080964848,
石牛居,,13417400983,15274018318
星期天主题酒店,,07306473666,6474666
石牛寨云湖山庄,,13870216870,
向向宾馆,,07306298222,
金胜商务酒店,,07306355592,17716700592
纯溪大酒店,,07306473888,18692120366
石牛寨湘赣宾馆,,07306450276,13874000689
宾悦大酒店,,15080988281,
石牛寨丹霞假日宾馆,,13787984262,
石牛寨古寨山庄,,15973031518,
石牛寨龙门客栈,,18317191702,
金牛宾馆,,18974079180,
友谊宾馆,,15274002993,
石牛寨天逸会所,,13875975963,15974207763
石牛寨前进酒楼,,13789039787,
陈家柴火饭店,,07306450822,18975043600
芭莎时尚酒店,,07306589777,
随缘旅社,,13786003767,
德园大酒店,,13807409465,13874004581
纯溪林海山庄客栈,,18821871271,
石牛寨同发大酒店,,07306460919,18603031197
石牛寨春风山庄,,07306450038,13973009608
石牛寨乐民居宾馆,,07306450502,18274037965
恒丰大酒店,,15717400188,
康巴红宾馆,,07306568188,
中海国际酒店,,07306405999,18774141999
宜家快捷宾馆,,13874074042,
金典商务宾馆,,07306393666,
荣和国际大酒店,,07303299999,
忆家宾馆,,15115001931,
浩然宾馆,,07306450589,18216380399
康宇宾馆,,07306567909,
和风商务宾馆,,07306351123,
星杰商务宾馆,,07306806078,13762783540
石牛寨香悦宾馆,,18390104570,18507308663
石牛寨蟒洞山庄,,15200209399,13107301003
平安宾馆,,15842857601,
石牛寨胖子香公寓,,07306533909,
天成山庄客栈,,07303066667,
纯溪云雾山庄,,18274051222,
佳逸大酒店,,07306450511,15197103137
鸿润宾馆,,18817014003,18711223242
锦鸿宾馆（原钰城贵宾楼）,,07303055688,15207309331
湘村客栈（小镇老街店）,,07306351075,13874048867
石牛寨随缘宾馆,,13789024156,
新都连锁酒店（黄金路店）,,07306678868,
星光假日酒店,,18821876196,
紫金阁食府（住宿部）,,07306450510,
辉煌宾馆,,07306671221,13469236261
福隆酒店,,07306566666,
石牛寨锦绣山庄,,13590261632,
皇都宾馆,,07306677566,15292039778
平江县龙门镇七天假日宾馆,,18273895447,
石牛寨四季宾馆,,18680528891,
