姓,名,家庭手机,工作手机
金汭宾馆,,09336123666,
龙祥宾馆,,09336181234,
御花园宾馆,,09338218788,
芙蓉宾馆,,09333328588,
龙泉大酒店,,09336102088,
金苹果大酒店,,09332602222,
双星精品酒店,,09338710888,
尚u大酒店,,09338888677,15249318072
舒嘉快捷宾馆,,09338888879,18740953523
橘子主题酒店,,09334166664,
丽晶酒店,,09338888022,
都市118连锁酒店（静宁吉利汽配城店）,,09332533888,15193392600
苏香门第商务宾馆,,09338888868,
如家快捷酒店（平凉柳湖公园店）,,09338236666,
欣叶国际大酒店,,09332536698,2536558
平凉广成大酒店,,09338518018,8518019
锦江之星酒店（平凉西站玄鹤新城店）,,09338601168-0,18919338087
宏达国盛酒店,,09338792888,
尚客优快捷酒店（平凉火车站店）,,09338629900,
易佰连锁旅店（静宁中街店）,,09332521694,
方圆宾馆,,09335936666,
静宁水利宾馆,,09332526253,
索菲娅快捷宾馆,,18993328900,
浩悦商务宾馆,,09338699699,
平凉新世纪商务酒店,,09338885656,8885959
鑫富社区招待所,,09336466212,
安口商务宾馆,,18993306110,
居家快捷宾馆,,09338355566,18193368718
嵘泰宾馆,,13830376680,
鸿源快捷酒店,,09337763066,13993388742
联众精品酒店,,09335939788,
初心私家小窝,,13993339173,
一品阁宾馆,,09337700100,18919335318
平凉电商大厦,,09338699031,
如家快捷酒店（平凉华亭仪洲大道新客运中心店）,,09337821888,
锦绣华庭商务宾馆,,09336413888,
忆家民乐宾馆,,15337036118,15336036018
金诚商务宾馆,,18693339299,
广成客栈,,09338353511,
开源宾馆（仪洲大道店）,,09337703666,7703686
华融酒店（客房部）,,09337738700,
凯悦宾馆,,18089336106,17752061824
五味宫酒店,,09338353511,
融庭酒店,,09336469999,
喜达假日酒店,,09338888178,
瀚隆中银商务酒店,,09338298955,
恒悦宾馆,,09336611388,
锦龙快捷酒店,,09335938555,
舒家公寓（B2区）,,18093358372,
维也纳酒店（平凉崆峒店）,,09338887999,18139880901
如家快捷酒店（平凉崆峒山胜利桥店）,,09338501666,
尚客优快捷酒店（西大街赵庄店）,,09337823555,
锦绣假日酒店,,09338230588,
崇信宾馆,,09336236888,
颐兴宾馆,,09338692088,
旺角宾馆,,15193333919,13739339661
天元大酒店,,09332534888,13830370149
星辰商务宾馆,,09333308777,
吉瑞酒店,,09338351028,18993337717
格林豪泰（静宁县客运站店）,,09332660111,
东方客栈,,09338355619,18198032708
金潞来商务宾馆,,09333327777,
福瑞宾馆,,09333606188,
西门客栈,,09338791666,
新济宾馆,,13099333316,
鑫源商务宾馆,,09335938666,
财神客栈四季红,,09335931567,
平凉神农庄园,,09338888882,
众康宾馆,,09333621176,15693356677
养心寨农家,,09338793699,
尚客优快捷酒店（平凉崆峒南门什字店）,,09338239988,
金泉商务宾馆,,09336600188,13689477263
速8酒店（静宁汽车总站滨河路店）,,09332631111,
青年公寓宾馆,,09336418677,
尚家快捷酒店,,09335977666,
平凉颐都君悦酒店,,09338889990,
建华宾馆,,15339336886,
海盛快捷酒店,,09336232777,15091145115
汭河宾馆,,09337701955,
崆峒山庄,,09338353511,13993383120
颐都宾馆,,09338251678,
金浩酒店,,09338886969,
华砚宾馆,,09335964888,7728908
远景商务酒店,,09334166666,
新丝路商务宾馆,,09333323666,
古镇宾馆,,09338886363,15339335553
建达宾馆,,09338223846,
尚品大酒店,,09335915111,
东昇精品酒店（原八一宾馆）,,09338888299,
红运宾馆,,09338226399,
速8酒店（平凉新民路店）,,09338591000,
庆华商务酒店,,09336418868,18794643786
江峰宾馆,,09336609366,
金梦苑宾馆,,09336609088,17393307598
金土地宾馆,,09335927555,
颐园宾馆,,15095512329,18693300199
宾辰宾馆,,09338511782,17752298090
电务宾馆,,09335973036,
皇冠假日商务宾馆,,09336836366,
泾华宾馆,,09333328828,
物资商务宾馆,,15393304596,
金色假日商务宾馆,,09333301866,
陇东明珠宾馆,,09338612588,
供销宾馆,,09332535812,
紫东宾馆,,09332528199,
崆峒假日宾馆,,09338880678,
众友宾馆,,13309331505,
正宇宾馆,,09338715678,
锦绣商务宾馆,,09338353666,
隆源宾馆,,09337706388,
7天连锁酒店（平凉解放路十字店）,,09338353777,8355777
清廉商务宾馆（医专店）,,09335988399,
东方电力宾馆,,09338221299,8221298
7天连锁酒店（平凉西门口店）,,09338552288,
鑫融商务宾馆,,09338888836,18139880644
新裕商务宾馆,,09338798188,8798166
华御大酒店,,09337730888,
