姓,名,家庭手机,工作手机
天天宿吧,,15890465552,
和谐公寓,,13323633551,
正良时尚酒店,,03938599777,
龙都客栈,,03938083222,8083555
飞龙旅馆,,15939321200,
宜兴公寓,,13193550998,
幸福公寓,,13839353383,
豪运公寓,,03938585116,
纺织商务宾馆,,03938946066,8943066
百姓宾馆（长途车站店）,,03938570000,
欧雅风格酒店,,03937715555,
新缘客栈,,03938966952,
锦源公寓,,18939386512,
吉星旅馆,,03938156808,13938309868
金苑公寓,,13781313000,
濮阳金溢宾馆,,03936925748,18749949715
东威宾馆,,15303919958,13525623222
庆达公寓,,18003932835,
百姓商务酒店（原万佳商务宾馆）,,03936635222,
佰缘快捷宾馆,,03937770666,15239323886
五洲宾馆（开州路店）,,03934416994,
阁来祥商务酒店,,03936287777,6289999
龙之梦公寓,,03936165555,13213925999
桃源新居,,03936166886,18236053323
永政宾馆,,03937700700,13333933288
鑫源公寓,,03938922201,
宁达旅馆,,13525649229,
华天商务宾馆,,03935316066,
新油城宾馆,,03938555777,
欧凯时尚酒店（客房部）,,03938240999,8240765
百姓商务酒店（中心广场店）,,03938560000,8088155
唯爱主题酒店,,03936234567,13030338383
青年公寓,,03938809809,14762690669
新诚谊民公寓,,03937777255,
温濮公寓,,03936658555,
顺驿公寓,,03936922155,13781337905
客家宾馆,,03935310951,18665000393
龙翔宾馆,,18939302987,
启程快捷公寓,,03938080077,
乐达宾馆,,03938575282,
百信快捷公寓,,03938589159,
四季家庭宾馆,,18639936835,
阳光快捷宾馆,,03935758999,
自由之翼阳光假日酒店（体育场店）,,03938938111,
金水宾馆,,03932219656,
日月升公寓,,03935399099,
百姓城市客栈（原柏维城市客栈）,,03938550000,18839352733
华府宾馆,,03935315189,
瑞祥宾馆,,03937257009,15090202692
东升宾馆,,03938205055,
皇家风情宾馆,,03936973666,
旺兴公寓,,13839272826,15890451679
绿苑商务宾馆,,03932226777,
腾飞公寓,,03936636326,
海尔思宾馆,,03932222207,2222208
香山公寓（飞龙车站）,,03936688555,
天龙商务宾馆,,03938122111,
宇飞快捷酒店,,03938150000,
濮潍宾馆,,03932056555,
蓝堡湾宾馆,,03938160001,8120001
银河宾馆,,03936188368,
蜗客客栈,,03935565566,
明都商务酒店,,03936369888,
天桥宾馆,,03934208726,
8090主题宾馆（黄河路店）,,03936166000,18860326088
颐和宾馆,,03936178555,6178666
自由之翼风尚酒店（京开道店）,,03938798777,
柏维风格酒店（大庆路店）,,03936123456,8210000
柏维城市客栈（建设路店）,,03937773333,
开元商务宾馆,,03935323188,
爱尚依家宾馆,,03934678886,
泰和快捷宾馆,,03933280222,
天天假日城市客栈,,03932070000,
金盛门宾馆,,03936167000,
红星宾馆,,03935329888,18839398688
都市驿栈商务酒店（原飞天宾馆）,,03936107555,
龙都宾馆,,03938900008,
濮阳市前合村京龙如家宾馆,,03938087888,8087999
濮阳京开宾馆,,03938937888,
福源大酒店,,03938089001,
温馨宾馆,,03938609899,
金凯悦酒店,,03936972222,6101111
君逸商务酒店,,03936616999,6618777
