姓,名,家庭手机,工作手机
东阳宾馆,,13223301850,13845048059
老龙头海景别墅,,15232389851,
苗志国宾馆,,13930314440,
洪喜旅馆,,15603360749,
秦皇岛六艺庄园,,18103355508,
文彦旅馆,,15733586828,
迎海旅馆,,15128513372,
方芳旅馆,,13011463633,18033556907
燕岛沺源民宿,,03354040654,13730359848
翡翠岛珠联璧合宾馆,,03352215689,13171722921
湘丰城旅馆,,18733510963,
玉茹公寓,,03354681776,13001420566
北戴河新区鹏量宾馆,,13603232720,
东阳宾馆,,13223301850,13845048059
冰月宾馆,,15373612407,
小海螺主题客栈,,13230399888,13343339345
君宝宾馆,,03352289201,
树山旅馆,,13643364321,
王玉红民宿,,13930352655,
李淑云民宿,,18712790098,
博洋旅馆,,15533533263,
家庭自助公寓,,13623350363,
丽丽渔家院,,15232327362,
明哲家庭旅馆,,13001826082,
淇政渔家院,,15933509611,
蓝畔农家院旅店,,15333346998,13315377886
刘庄近海公寓,,15232399234,
璐爽渔家院,,18703356633,
黄金海岸农门客栈,,13230565271,
老龙头假日蓝湾酒店式公寓,,15233597878,
莹灏旅馆,,13933635616,
杨雅萍旅馆,,13731769846,
花熙宾馆,,03354039473,18633539071
翠环旅馆,,15133561813,
宝春旅馆,,18714649550,
永哲家庭公寓,,15076093578,
奇兴宾馆,,03354682300,13833550618
单爱娟宾馆,,15350884988,
王宝军旅馆,,18733545326,
淑英旅馆,,18233556586,
吉祥客栈,,15803357321,
杨丽荣家庭公寓,,13833552977,
淑香旅馆,,18833814566,
天贺沐浴（客房部）,,03353050282,
黄金海岸凤都农家院,,18733599866,
建平旅馆,,03354031196,13389087765
同福客栈,,15243456432,
爽秀旅馆,,13111437012,
杨国英旅馆,,13933555607,
黄金海岸华雅农家院,,03352215095,13933616864
庆福一号店,,13933683588,
旭日近海公寓,,13703239486,
缘缘客栈,,18712785856,
广柱旅馆,,15703331833,
小旭海鲜酒店,,03352281869,
宝艳旅馆,,18630341041,
金龙酒店（东三路店）,,03354042555,15033586874
刘恩元近海旅馆,,03354048857,
洪海宾馆,,13785935727,13011966957
刘双栋旅馆,,03354042689,18633534276
商业招待所,,03357690193,
海航宾馆,,15003358066,18033558066
赵玉琴旅馆,,03354040340,13603359534
8080家庭自助公寓,,18333573173,
温馨度假公寓（三店）,,13933648362,
白芸宾馆,,18603398380,
王凤琴旅馆,,13623349469,18630340610
单立海旅馆,,13933668466,
晓文家庭公寓,,13930351797,
春生旅馆,,03354030358,15076044270
北戴河李敬荣旅馆,,13513364543,
黄金海岸丽国农家院,,03352602319,13780339552
北戴河金海酒店3号楼,,03354287998,4030686
忆秋水民宿,,15032329797,
夏国春渔家院,,18233533664,
瑞诺民宿,,13133503056,
振海农家院,,13722552245,
国义旅馆,,13933562510,
田缘居舍,,03354026967,18733519990
俊新旅馆,,15233535017,13933695531
秦皇岛凯蓝农家院,,13513343850,
葡萄沟凤凰饭庄,,13780568129,
丽霞旅馆,,15533547928,18733457928
小楠家庭公寓,,13933919674,15031462103
义莲公寓,,13401069288,13811720011
盼海农家院,,15076009396,
元方家庭公寓,,13930371073,
小东饭店,,13643362527,13293180277
小美家庭公寓,,13582806771,
齐会文旅馆,,15903378643,
富民宾馆,,03354684696,18830472321
深蓝家庭公寓（海韵店）,,13903347997,
国成假日宾馆,,03354039839,18804489958
王红玉旅馆,,03354049234,13933523197
鸿滨别墅,,13780386198,
葡萄沟宝康庄园,,13933512528,
博客宾馆（海岸葡萄庄园店）,,18833511001,
李秀娟旅馆,,03354048689,13933799204
鑫逸渔家院,,18833856810,
假日蓝湾海景家庭公寓,,15233597878,
富强旅馆,,18233573977,
味鲜楼宾馆,,13333300318,
赵春华旅馆,,18230438988,
永滨旅馆,,03354040210,13513348101
王秀华旅馆,,13785078787,13930389084
佳华民宿,,03354031792,18733521296
北戴河近海居公寓,,13722552227,
联众宾馆,,15133509766,
何艳芳宾馆,,03354040387,13780339674
和平饭庄客房,,03352076461,13463395265
葡萄沟温馨家园饭旅店,,13930388846,
远方的家农家院,,15303287223,15233540067
葡萄沟晨晨饭庄,,13463386288,
国良旅馆,,18716011835,
葡萄沟马氏3号庄园,,13803382516,
秦皇岛森林逸城金海海景公寓,,18230438779,
香婷旅馆,,13191832516,
北戴河海螺湾别墅,,18630366606,
丽滨家庭旅馆,,03354188266,
天津市教师疗养院,,15533519909,
北戴河轩然旅馆,,03354287157,
昌滨公寓,,13733355606,13733355608
临海壹号公寓,,03352775737,
刘振有旅馆,,13081886603,18533520339
相遇这片海民宿,,13730331922,18716011777
金玲旅馆,,15303340006,13503353009
东旺宾馆,,03354269762,13603355181
顺安宾馆,,03357903088,
晞莹家庭公寓,,13191801870,
然然家庭公寓,,18033588668,
丽凯宾馆,,15833357000,
明琦旅馆,,15028574735,
回头客栈,,13503359664,
阳丹宾馆,,03354684733,
滨海小区35号楼,,13483357734,
瀚海楼宾馆,,03355057578,
刘振江民宿,,13623348070,
夏梦农家院,,18210029029,
北戴河飞缘港湾度假家庭式公寓,,13671199041,
菊秀农家院,,13513368774,15033530298
韩立娟民宿,,18603360948,
瑞程民宿,,13383273837,13383273817
建颖旅馆,,03354049337,
浪漫情海假日公寓,,13903344348,
建军旅馆,,13930378949,13933530542
李永春民宿,,15028589695,
李红亮农家院,,13784492858,
海滨近海家庭公寓,,15033566853,
橙子酒店（大蒲河店）,,03352200717,18230309797
陈玲霞旅馆,,13223325533,15533511055
王秋林农家院,,13482993092,13623343193
王艳萍旅馆,,03354043718,13315389988
北戴河佳泽会所,,03354043399,13930340666
迎宾假日酒店,,03355089666,
山海关宜家客栈,,13833547924,
黄金海岸涛海宾馆,,13833586639,13180598555
杨桂义旅馆,,15803350204,
云爽民宿,,13513349939,
冯东旅馆,,18232371444,
刘会菊旅馆,,03354032945,18833856788
育花二区公寓37号楼,,13933685306,
北戴河八室八卫20人别墅,,13833541115,
昌黎宾馆,,03352023636,
锦源宾馆（单庄店）,,13833550708,
东存宾馆,,13315354879,
鲜鲜楼宾馆,,03354039700,
亲亲我的小屋,,13513362560,13513365183
江信公寓,,15103358600,15733506096
留香家庭公寓,,13091374246,
驿捷度假连锁酒店（北戴河龙斌店）,,01053579800,15143001766
军峰宾馆,,13513363275,
馨月家庭公寓,,18833824935,
东方思妤假日公寓,,15033358566,
林涛酒店（原二十一中培训中心）,,13315690229,
双喜家庭公寓,,13933564320,
世纪海洋花园公寓A,,13513096293,
温馨家庭公寓,,13180125516,
北戴河刘庄滨海度假公寓,,13784519170,
文心近海家庭公寓,,13785914866,
假日蓝湾海景公寓,,18645000304,
杨君旅馆,,15333331504,
海边度假公寓,,13933645145,
刘庄二玲公寓,,13081869574,
张桂兰宾馆,,03354047871,15847760677
秦皇岛森林海岸家庭公寓（森林逸城店）,,15703375335,
黄金宾馆,,03354041353,13833501197
假日临海公寓,,18903353123,
玉凤家庭公寓,,13513098869,
北戴河温馨家庭公寓,,13780338714,
刘庄温馨家庭公寓,,13780338714,
北戴河刘庄李建英家庭公寓,,13784194010,13933555013
华盟宾馆,,03354011666,15533546111
山海关堰塞湖家庭公寓,,13930313459,
地利宾馆,,13031880885,
薄荷花苑公寓,,13503353203,
悦途家庭公寓,,13513347202,
北戴河营营家庭公寓,,18633545896,
四海之家度假公寓（滨海小区60）,,13903347997,
许建平民居（金舍博贤院店）,,03353066218,18712733456
旗荣惠家庭公寓,,13582809914,
温馨假日公寓,,18633545896,
古城公寓,,13933538974,
驿旅阳光客栈,,13933667521,
滨海度假公寓,,13933600283,13230325776
凤秋家庭公寓,,15232320887,
滨海自助家庭公寓,,15232320887,
洛雨公寓,,13111412112,
涛宇家庭公寓,,13933616548,
小庞近海公寓,,13780356825,
魅力海滨二室家庭公寓,,13933798986,13933512228
