姓,名,家庭手机,工作手机
四海宾馆（海岱路店）,,05363284833,
街客快捷酒店,,05363856000,
街客快捷酒店（火车站店）,,05363501567,13210740600
东门客栈,,05363232401,
双竹缘宾馆,,15966112773,13869619158
温馨旅馆（北营街店）,,05363233357,
洪涛商务宾馆,,13563683927,
彤鑫佳宾馆,,15866133596,
花园宾馆,,05363207308,
康洁旅馆,,05363287652,
赵家客房,,05363286619,
鑫福园宾馆,,13656462156,
尚客优快捷酒店（青州大润发古城旅游景区店）,,05363235678,
忆客佳快捷商务酒店,,05362995222,13964777522
我家客栈,,13964720077,
幸福阳光商务宾馆,,05363225797,
进客宾馆,,05363206511,13780800455
盛华宾馆,,13864653030,
爱回家时尚宾馆,,05363236777,
凤祥宾馆,,05363253229,
康佳宾馆,,15963621977,
恒悦宾馆,,18765661497,15306364647
华辰宾馆,,05362135548,
佳鑫宾馆,,18263622229,18263622228
万宾宾馆,,05363326316,15763038139
瑞祥旅馆,,13287687961,
雅客商务客房,,05363880876,
假日时尚宾馆,,05363328374,
香江宾馆,,05363535898,15866538803
奥深宾馆,,05363306133,
金添宾馆,,18953612237,
99连锁酒店,,05363221666,
和佳宾馆,,13583636665,13854423777
良通商务宾馆,,05363255088,
平安宾馆,,05362136497,18853613559
9+1连锁酒店（中都财富广场店）,,05363222818,
慧博园商务宾馆,,05363859678,
格林豪泰快捷酒店（青州范公亭东路店）,,05363308999,
金鑫客栈（古城店）,,05363226632,15853659300
百丽精品客房,,05363222227,
索马连锁客栈往日时光青年旅舍,,13053686251,13906360630
宜家阳光快捷连锁酒店,,05363591777,3597111
四季商务宾馆,,05363889400,
绅迪客房,,05363255016,
六合居饭庄旅馆,,05363200717,
聚鑫商务宾馆,,15953653122,
青州印象商务宾馆（宋城店）,,05363253336,
88快捷酒店,,05363789977,18953646189
客优快捷宾馆,,15854477632,
宋韵古风客栈,,05363882822,
和祥宾馆,,15054418108,
好客宾馆,,13562637887,
古州往事客栈,,05363255369,
东夷商务宾馆,,05363322107,
华鑫浴池旅馆,,05363232017,13606470816
瑞喜登快捷酒店（豪庭店）,,05363255686,
大草原商务宾馆,,13606367639,
鑫泉快捷宾馆,,13181699591,
天豪商务宾馆,,15606363202,
花都安家商务宾馆,,05363751222,
宏阁宾馆,,05363237305,18653605530
信德客栈,,18365620877,
大千体验式客房,,13305361859,
世嘉快捷宾馆,,13780850441,
好风光偶园民宿（古城店）,,05363801382,
紫悦宾馆,,05363220868,
米兰风尚精品酒店（王子店）,,05363282333,
红橙商务酒店,,05363298817,
乐活商务宾馆（开发区店）,,18263656039,15069642966
天一商务宾馆,,05363258283,
顺心居宾馆,,05363328971,
青州市都市迷你酒店,,05363303333,
尚客优快捷酒店（青州金天地购物广场店）,,05363815555,
鑫宇旅馆,,05363220831,
他她私享地宾馆,,05363328966,
裕隆宾馆,,15953622330,
阳光99快捷宾馆,,05363200258,
格林豪泰快捷酒店（青州古宋城大润发店）（原青州大酒店）,,05363327555,
易佰连锁旅店（青州汽车站店）,,05362132187,2132023
鼎晟商务宾馆,,05363823222,13583693308
悦家快捷酒店,,05362136555,3583555
八盛喜商务宾馆（古城店）,,05363828386,
萬泰商务宾馆,,05363555789,
瑞泽商务宾馆,,05363524007,15063632170
橄榄树艺术酒店（宋城店）,,05363296766,3299766
瑞喜登酒店（王府店）,,05363308366,
瑞喜登客房（瓜市店）,,05363253686,
尚客优连锁酒店（青州火车站店）,,05363502688,18663611671
仰天山酒店（柿子沟店）,,13791622715,
尚客优骏怡连锁酒店（青州云门山景区书画城店）,,05363856222,
喜上喜A家公寓（青州旗城商业街店）,,13791680788,15095122088
九州假日酒店,,05363275789,
鸿玺大酒店,,05362130666,
静心小憩民宿,,18663632259,
尚客优快捷酒店（青州尧王山西路店）,,05363222111,
青州尚家时尚酒店,,05363236999,3232227
遇见时光公寓,,15610238345,18678012613
双贝商务宾馆,,05363266678,
尚客优骏怡连锁酒店（青州云门山南路古城店）,,05363225999,13011660699
古槐酒家,,05363703229,13963620611
米兰风尚精品酒店,,05363789111,
9+1连锁酒店（青州火车站店）,,05363501123,
弘顺旅馆,,15154460252,
青之蓝商务宾馆,,05363525988,
KT假日精品客栈,,05363200117,13791851859
云青客栈,,05363278087,15153613322
宋城商务客栈,,05363267088,3267099
喜上喜古城客栈 （青州古城旅游景区店）,,05363253788,18553679111
驿程连锁酒店（青州店）,,05363235325,
朗威宾馆,,18264625090,
尚客优快捷酒店（青州古城南门店）,,05363227777,
古州茶庄宾馆,,05363536918,17560626252
天友宾馆,,15854884433,
如家派柏·云酒店（青州范公亭东路店）,,05363277000,
海川食府商务宾馆,,05363823135,
福海大酒店,,15964571234,
尚客优快捷酒店（青州衡王府路宋城古街店）,,05363702266,
鹿鸣湾商务宾馆,,05363291787,
格林豪泰贝壳酒店（青州海岱中路电业店）,,05362131666,
华益宾馆,,05363258829,13280725608
翰兴商务宾馆,,05363299931,
尊泽商务酒店,,05363255666,
