姓,名,家庭手机,工作手机
北大荒宾馆,,04522891092,2891091
福人旅馆,,13704825829,
客隆旅馆,,13212965681,
华逸旅馆,,04522911377,
佳馨休闲旅馆,,18804525499,
福江旅店,,13555503218,
天福旅馆,,04522222465,13504624243
站前招待所,,15663371872,
齐齐哈尔鑫鸿缘旅店,,15804522232,
群佳招待所,,15546240861,
兴航旅店,,18204629992,
东吉旅店,,13351821181,
舒心旅馆,,18745220220,
齐乐旅店,,18714312765,
随心旅店,,13766516566,
乐途宾馆,,04525984818,
天恩宾馆,,13514656133,
红万隆旅馆,,04522713113,
腾宇旅馆,,15046209388,
锦灿主题宾馆,,04527605888,
溪水日租公寓,,13136616116,
比家美旅店,,15046213547,
贵仁缘休闲旅馆,,04528888676,
富圆旅店（火车站店）,,15846272005,18746835998
莱曼商务快捷宾馆（总店）,,04528888589,8888689
鑫百盛招待所,,04526139190,
晟轩旅馆,,04522818555,
祥瑞旅馆,,15214405409,18946261058
军嫂旅店,,13895999247,
鑫胜旅店,,04522732966,15603624978
好梦旅店,,18846348896,13845263329
铭扬旅店,,13796887422,
学府客栈,,15164682789,
紫荆花客栈,,15604527099,
佳缘旅馆,,13214628855,
奕人旅馆,,15845607887,
金苹果休闲宾馆,,04527126789,
影咖主题宾馆,,04526884555,
子沣假日主题宾馆,,04525963668,
米兰旅馆,,13946277472,
宝辰快捷酒店,,04527026677,
澜庭快捷宾馆,,04527460888,
永青奇益家旅店（齐大西区店）,,18603628117,
舒雅快捷宾馆,,04526726688,
天舒旅店,,15845654498,
鑫宇旅馆,,04525909089,
随心所寓旅馆,,13251626999,
永青奇益家旅店（龙沙店）,,04522137818,
避风塘主题宾馆,,04523333799,18645219765
嘉园旅店,,13304522154,
留金睡悦旅店,,13895978708,13796285855
凯悦商务旅馆,,04525989868,
银河宾馆,,04524328933,13136728789
永财旅店,,04522900057,
湖西旅店,,13224620860,
亨沅旅店,,18646600526,
金昕招待所,,04522126619,
顺禧旅馆,,04522526857,15304820785
鑫北方招待所,,04522914095,13763515117
家洁旅店,,15545029324,
鑫鹏招待所,,13504620380,
隆隆旅店,,18804520153,
天地缘旅馆,,04522978188,
聚鑫旅馆,,04522320286,
幸福旅馆,,13704522094,
恒腾招待所,,04522575639,
鑫三君招待所,,13604526419,
老城旅馆,,13845233498,
聚鑫源旅店,,13836256060,
永青兴隆旅馆,,13684520859,
喜洋洋旅馆,,15636961825,
天隆旅店,,13903622413,
明兴旅馆,,13766580721,
九洲旅馆,,15545225780,
苹果旅馆,,04522691231,
沿江旅店,,04522828835,15845656227
锦龙旅店,,13206617844,
蓝天旅店,,13351922331,
怀宾园招待所,,18745237795,
龙缘旅店,,13763513005,
龙祥旅店,,04528919293,
佳乐旅馆,,18845210928,
静缘休闲旅馆,,04522147031,
好来屋旅店,,15945230159,
佳诚旅馆,,04526051335,
鸿源旅馆,,13845203107,
背包客电影主题宾馆,,04526855577,13604829169
苹果假日宾馆,,04522657272,13384528016
君越主题宾馆,,15804524477,
若晴旅店,,15946245033,
樱花旅馆,,04522902606,
华都宾馆,,18686964881,
龙辉商务旅馆,,04522547111,
蓝天宾馆,,04527761777,
鸿福旅馆,,04523390044,
鑫都宾馆,,04523402789,13314655666
玉红旅店,,13945276865,
嘉尚快捷宾馆,,04526323222,
丛霖小栈,,13846552324,15904366955
丽景公寓,,15645240105,
蓝色海岸3D宾馆,,04528900000,
双河宾馆,,04528085111,
如意家庭旅馆,,04522122718,
佳佳客栈,,13796863646,
优优旅馆,,04522741688,
人和宾馆,,04524264999-666,4135888666
金鸿旅馆,,13945228619,
明月旅店,,13836252290,
明江招待所,,13796886733,
我们约会吧主题宾馆,,04528888737,13846294768
万达商务宾馆,,04524151111,
鑫颖招待所,,13766565186,
华庆旅店,,15804527732,
新正义招待所,,13946281621,
瀚巢旅店,,04522513398,
三源旅店,,04522146475,
顺利旅馆,,13351929422,
鑫汇旅馆,,15845650499,
怡然之家旅馆,,04522932888,13946294255
宣和棋牌会所（原喜百年商务宾馆）,,04526195888,
悦来客栈,,04526325696,
艺鑫旅店,,13904620839,
顺通旅店,,04522695299,18604529470
天缘娱乐主题宾馆,,15145262179,
哈大齐旅店,,13796895163,
双丽宾馆,,13045232683,
恒旺快捷宾馆,,13029751999,18646292377
百易通惠民旅店,,13846283392,
鲁比克宾馆,,04522428988,
一家人旅馆（军校街店）,,13019030121,
小时代主题旅馆,,18204623339,13359576518
众帮招待所,,18714312765,
鑫源旅店,,04525979184,
鹏缘宾馆,,04527037555,
家源旅馆,,13946229725,
521旅馆,,14794638887,15004522184
仕林旅馆,,04528089999,
我们开房吧印象客栈,,04522886888,
瑞盛宾馆,,04526017775,6017776
鹏程旅馆,,04523399222,
天源旅店,,04522345181,
百合旅馆,,13134527500,
东方明珠快餐店旅店,,13836243045,
国铁招待所,,13845202287,
爱之家旅馆,,18246686187,
吉泰旅馆,,04522911361,
十几间客房,,18704520378,
紫荆花旅馆（建华店）,,18249275630,
普罗旺斯宾馆,,04522110456,
金马车主题宾馆,,04528888679,
好来屋宾馆,,18545205562,
壹家客栈,,04522401089,
顺鑫缘客栈,,04522119119,
卫士客栈,,15636252866,
远通宾馆,,04522117777,
鑫太和宾馆,,04526755789,
乐巢时尚快捷宾馆,,04528954555,
金网休闲旅店,,04522382177,13504621113
轩悦宾馆,,04528095777,
禧悦精致宾馆,,04528920999,
鑫嘉源旅馆,,04522223078,
金盾宾馆,,04524538858,
幸福湾时尚宾馆,,18903625221,
小红楼宾馆,,04523398123,
青苹果快捷宾馆,,04526181122,
正前旅馆,,18003621591,
酒酒招待所,,15845667590,
天赐时尚旅馆,,18946268181,
小资宾馆,,04522112999,
蓝典旅馆,,15714621146,
莱曼商务宾馆洗浴（原红海湾宾馆洗浴）,,04528984888,8984999
乾元影视主题酒店,,04526172555,
云祥旅店,,13803619632,
天江快捷宾馆,,04525887766,5886677
喜瑞隆快捷宾馆,,04523376000,13945255920
时尚睡吧旅馆,,04526169977,
龙华旅馆,,18845298646,
远东旅馆,,04528888360,
柠檬宿旅馆,,04522322223,
安旅之家宾馆,,15084578422,13204527257
北方旅店,,13019091008,
98时尚宾馆,,04525083456,15146218787
蓝屿快捷宾馆,,04528232328,13846259997
卧龙滩时尚宾馆,,04527223456,7645555
玖玖时尚宾馆（龙华路店）,,04522181999,2796678
相对小宾馆,,04522911313,
家艺术旅馆,,18645200011,
云屏世家酒店,,04522312222,
兴悦招待所,,13091749555,
友家客栈,,13394629948,
亿源招待所,,13263527111,
阳光客栈,,13604619373,
荣天休闲旅馆,,04528099518,
鑫鑫佳园宾馆,,04522947495,
乐道旅馆,,04522402488,
万家乐旅馆,,04522736882,
丽江旅馆,,04522401291,
西来顺宾馆,,13664627777,
振兴商务宾馆,,04523127122,13234640313
佳华旅馆,,04523121707,
周到客栈,,13351120366,13009744500
金钰湾宾馆,,04522533377,
华通宾馆,,04526053333,
卧龙宾馆,,04526019000,
汇龙宾馆,,04528081777,
龙泰宾馆,,04527026567,
通府宾馆,,04526177733,
樱花宾馆,,04526192678,
宝辰宾馆,,04522404444,
盛家美快捷宾馆,,04522412929,13351124886
火舞网络客栈,,15845662451,
恋家宾馆（二店）,,04526175533,
梁宸时尚快捷宾馆,,04525987809,13836221656
游龙快捷宾馆,,04523397733,15663150232
家和佳宾馆,,04526700001,
华逸快捷宾馆,,04522341000,
恋家宾馆（总店）,,04526115533,
凤鸣主题宾馆,,04528789187,13079637068
家齐快捷宾馆,,04526010789,
金银谷宾馆,,04527024691,
华纳假日宾馆,,04522461888,
爱巢主题宾馆,,13351322637,
朋来旅馆,,13846287451,
宜加宜快捷宾馆,,04526120777,
悦达假日酒店,,04526588888,6566666
你好快捷宾馆,,13274523507,
齐源宾馆,,04522891896,
海峰商务宾馆,,04523323666,
春天宾馆,,04526118819,
家恩时尚宾馆,,04526118907,18944521107
艾美佳宾馆,,04528888318,
卜奎宾馆（沃尔玛店 ）,,04526134577,
乾德商务宾馆,,04522222861,
弘润宾馆,,04524202222,
美丽家的主题宾馆,,04526133232,
诚信招待所,,04522931683,
千禧主题宾馆,,04528016000,
佳福旅馆,,04522136557,
浓情旅馆,,18745221496,
