姓,名,家庭手机,工作手机
睿智招待所,,08593810602,
浙江大酒店,,08595229911,
湘江国际酒店,,08595338888,5339999
唯一精品主题酒店,,08596666622,
好又来旅馆,,08593220630,15117318192
兴义市格林花园酒店,,08593231888,
峰冠酒店,,08593122266,
鼎顺商务宾馆,,08593668513,18185920858
珏豪酒店,,08593123555,3128255
博羿大酒店,,08597393999,18985420077
朝喜商务酒店,,08593332699,18285961503
伍拾陆个民族风格酒店,,08596665656,17718091056
尚客优精选酒店（兴义桔山大道店）,,08598711555,
金圣酒店,,08598759998,18285989805
金山大酒店,,08598601666,18188202399
得家公寓,,18744991914,
豪辉大酒店,,08593221999,3339888
富奥宾馆,,08593114829,13885968199
7天优品酒店（兴义神奇西路店）,,08597444999,
侣途MiNi酒店,,08596810888,
品尚快捷酒店,,08596761888,
好花红大酒店,,08593528866,15186585657
天一大酒店,,08598758777,
逸客大酒店,,08592280000,
7天优品酒店（兴义机场路店）,,08593258777,
铂悦精品酒店,,08593523888,
唯爱主题酒店,,08597315888,
桃源宾馆,,08596210979,13984661016
苹果酒店,,08592252888,
蔷薇精品酒店,,08593113311,
you时代mini五星酒店,,08593253666,
义龙试验区格林酒店,,08598607966,
海潮之星精致酒店,,08598888999,
艾尚精品酒店,,08595226888,
通达商务酒店,,08596317777,18386451883
玖捌壹快捷酒店,,08593333328,15597974333
七禧假日酒店,,08593240777,18608594277
兴义简爱主题酒店,,08592251314,
优言品快客酒店,,08593111001,13595905500
一格精品酒店,,08593370000,
宏达大酒店,,08596366688,
义龙大酒店,,08593546677,
三鑫精品酒店,,08596219088,
唛尚主题酒店,,08592235777,
唯依主题酒店,,08595212777,
者相大酒店,,08596663899,
逸家公寓,,08595555533,
九龙酒店,,08596889888,
贞丰宾馆,,08596777777,
7天阳光（兴义贞丰南环路店）,,08596630333,
胜利之星酒店,,08595211688,
国林商务宾馆,,08595211768,
浙江大酒店,,08596320888,
兴义兴河宾馆,,08593247388,
湖南大酒店,,08596777666,
都市小米连锁酒店,,08593129339,
子悦宾馆,,15870357011,
云尚精品酒店,,08595556555,
富豪酒店,,08596611916,
雪花公主酒店,,08593522888,
兴义金州酒店,,08593233099,
常兴宾馆,,13985494188,18084295660
华英大酒店,,08596211500,6216800
印象商务宾馆,,08592290099,
德卧大酒店,,08595222265,
优家精品公寓酒店,,08593114300,18085984300
布依客栈,,08593340450,
薏苑酒店,,08598607393,
满意168宾馆,,08598759168,8758808
7天连锁酒店（兴义万峰林下五屯店）,,08595530777,18932072955
爱尚主题酒店,,08593789999,
德天民族酒店,,08598617777,
千寻精品酒店,,08593380777,18608599176
锦城商务酒店,,08593118991,
满庭芳公寓酒店,,08593120818,13595958370
万豪主题酒店,,08593666866,18785973518
城市便捷酒店（兴义钻石广场店）,,08597888666,7888555
豆腐坊客栈,,13908592851,13885905233
梦乐城大酒店,,08596376666,
旺峰客栈,,13985099657,
好家假日酒店,,08593190616,18208620166
布谷鸟民族酒店,,08596327777,
大帅印客栈,,13984490670,13096800670
金叶商务酒店,,08596872888,
龙凤酒店,,15086564913,
帝都大酒店,,08593122999,
益琴家酒店,,08593919796,
众鑫精品酒店,,08593450999,
桥头小店客栈,,08593198688,
洪兴酒店,,08593330456,
鹏达宾馆,,13595983691,15885998751
夜郎布依客栈,,15186406892,
湖景酒店,,08598828888,
罡运宾馆,,08593342988,13678597851
都市100假日酒店,,08592217789,
温馨宾馆,,13238597109,
V＋精品主题酒店,,08596666696,
悦美精品酒店,,08597847777,
恋峰客栈,,08593118441,18286900800
丽之星主题酒店,,08598858888,
万峰林将门驿站,,18185917555,
湘益酒店,,08593523666,
金阳宾馆,,08593662629,
浙商大酒店,,08597869888,
馨雅宾馆,,08593119333,
奇峰客栈,,13668596361,
兴江大酒店,,13985986410,
天天客栈,,18208592944,
君临休闲酒店,,08593113566,
万峰林憨憨客栈,,08593338500,
悦莱酒店,,08597610966,
秋和商务宾馆,,08593248186,18985981598
康宁旅馆,,08593241668,
蜀蓉商务宾馆,,08593662701,
嘉和快捷酒店（原鸿嘉酒店）,,08597239888,
华舒商务宾馆,,08598759997,
海亚酒店,,08593235588,18224987966
景顺商务酒店,,08593527999,13885985936
莲湖酒店,,08597611999,
城市快线酒店,,08593911177,
泓芙蓉大酒店,,08592291777,2293777
豪庭酒店,,08592292888,13595935066
军港酒店,,08596665666,
半边天大酒店,,08598752333,
顺豪精品酒店,,08593818677,15985360093
7天连锁酒店（兴义坪东大道店）,,08593775599,
南昆路海大酒店（中铁连锁酒店）,,08592281088,2282831
顺明酒店,,08595555805,13035598429
联福大酒店,,08593467118,
豪迈宾馆,,18684131235,18185377688
万峰林文文客栈,,15585981888,
宇轩客栈,,08593338819,18788750818
林海酒店,,08593818838,13908596703
富康国际酒店,,08593666666,3777777
富鑫精品酒店,,08593818888,
常发宾馆,,08596222188,
鑫河宾馆,,08593891789,15808590808
老榨房客栈,,15808596698,
家瑜大酒店,,08595314687,18288770268
楷俊商务酒店,,08593919308,13379666651
金水韵主题酒店,,08598818888,
桂花井商务酒店,,08592235999,18185978966
天府大酒店,,08592235222,
贵川宾馆,,08593389039,
外婆家客栈,,18585909350,18188219535
天马大酒店,,08594738888,4730111
尚博商务酒店,,15585965321,
星空酒店,,08595222186,
荷都商务酒店,,08595555518,
鸿源宾馆,,08593663684,
兴兴酒店,,08593232969,13595948598
雅豪精品酒店,,08593113038,13985992724
天恒大酒店,,08593259999,18185926333
顺鑫宾馆,,13985968956,
双鑫客栈,,08593625375,13158298818
明宏客栈,,18185928896,13595955020
晶鑫商务酒店,,08593919999,
源鑫商务酒店,,08597444666,
如果爱主题酒店,,08593912222,
星洲大酒店,,08592295888,
尚客优快捷酒店（册亨环城路店）,,08594211888,
南山南客栈,,13885901369,
汇源酒店,,08598600166,15108597451
迪威大酒店,,08597880799,
兴义赵庄戴斯度假酒店,,08593566888,18094603605
程枫精品酒店,,08593551555,
梦乐精品酒店,,08593192698,15186468999
恋尚主题酒店,,08592288588,
远方的家精品民宿,,18083405569,
万庭主题酒店,,08593340888,
蓝湖宾馆,,08593372123,18748831226
贵仁酒店,,08596216500,13308596848
津成国际酒店,,08597828888,3230707
湘仁宾馆,,08592269299,
全友大酒店,,08597235999,
华泰宾馆,,08594827999,
乡村音乐酒吧客栈,,18932092014,
湘西宾馆,,08594210988,
顺凯隆商务酒店,,08593298899,
亿客来客栈,,18285935564,
榕树客栈,,18685990811,
七梦峡谷假日酒店,,08598715333,15117307273
家和宾馆,,08598758151,18788762220
宜家招待所,,13885964985,
万峰林景沣客栈,,18608592192,
峰兮客栈,,08593224567,
808快捷酒店（原捌零捌快捷酒店）,,08595229388,
远达酒店,,08594218888,
万顺商务酒店,,08598790888,
美乐峰林客栈,,08593222087,
汇峰商务宾馆,,08598758000,13908592005
湖南大酒店,,08598607666,
明远农家客栈,,15885973576,
兴义国龙雅阁大酒店,,08595333333,17785090888
华旭商务酒店,,08594444999,
鸿辉快捷酒店,,08593544888,
金州翠湖宾馆,,08593619958,3619959
恒宇宾馆,,08593120866,
阿辉驿栈,,08593661526,
兴峰客栈,,13985397635,
皇朝酒店,,08593335777,
黄金宾馆,,08593115232,
龙城客栈,,08595213388,
迷尚主题酒店,,08597925888,15585960600
锦湘大酒店,,08593918399,
亚龙湾水世界（客房部）,,08593818188,
阿罗田园客栈,,13379693413,13985981762
迎龙旅社,,15685968280,13985962093
来来宾馆,,13885904848,15519984848
万豪酒店,,08597612388,
宇成快捷酒店,,08596616526,
车缘假日酒店,,08598716999,
金鑫商务酒店,,08593388366,
皇冠酒店,,08593115559,
泰安酒店,,08595225888,5555222
财通商务酒店,,08598705678,
安逸快捷酒店,,08593223036,
普天精品酒店,,08592258999,13885838685
君悦来客栈,,18932098490,
帝豪酒店,,08593120211,
黔义酒店,,08593333899,18985970588
奇峰酒店,,08596618559,
宇辉宾馆,,08597613000,
宏盛宾馆,,08593334001,
兴义浙江大酒店,,08593333388,
温州国际酒店（原浪漫满屋大酒店）,,08594872222,
广场宾馆,,08593112830,
豪客来宾馆,,08596615378,13885953997
贵源便捷酒店,,08592260688,2260388
成豪假日酒店,,08596855999,
金龙商务酒店,,08598759111,
尚品酒店,,08592254333,18085994098
逸家大酒店,,08592261777,2219499
加州mini旅馆,,08598758111,
鑫乐宾馆,,18153198000,
万和宾馆,,08593298890,15599392977
幸福酒店,,08593910699,
华侨大酒店,,08592298333,
腾雲商务宾馆,,08597898666,
海钰酒店,,08593381111,8711111
福德招待所,,08593816433,13098594599
兴旺客栈,,13984668684,
大众招待所,,15519394400,
城城大厦,,08593112222,3113333
家缘风情酒店,,08593332808,
黔顺商务宾馆,,08598601088,15597999761
宇航酒店,,08593818599,
情雅酒店,,08597422222,
海星宾馆,,08593919929,18184199929
圣峰商务宾馆,,08592299988,
雅阁酒店,,08596661557,
缘聚宾馆,,15685960813,18083450012
龙豪商务宾馆,,18788782855,
温州国际酒店,,08593126666,
册欣商务酒店,,08594218488,13885993268
瀚诚酒店,,08593227277,
浙江商务宾馆,,08597233555,
瑞权宾馆,,08593815588,
维斯特精品酒店,,08593527888,2291881
凯鑫宾馆,,08593663426,18788780242
锦宇精品酒店,,08593295988,13595900918
峡谷宾馆,,08593116888,
兴明宾馆,,13885989766,
义龙试验区如家精品酒店,,08593567896,13314492966
宏基商务酒店,,13765097820,
黔林商务酒店,,08592288666,13923198852
仿古客栈,,08593919626,
新伊留酒店,,08595216999,18748835434
兴义吉隆堡度假村,,08598708888,5456666
东南宾馆,,08592254666,
鑫鑫商务宾馆,,08593528888,18932093499
融庭假日体验酒店,,08593335555,
福顺宾馆,,15086527740,
黔山度假酒店,,08593116669,
浙江明珠酒店,,08592298888,
才胜酒店,,08593452245,
金阳宾馆,,08597618859,18908591039
金润假日酒店,,08593383333,
兴义西湖宾馆,,08593667771,
大自然西南酒店,,08593561666,
金泰宾馆,,08596619168,
温乐酒店,,08592251333,18285995003
7天连锁酒店（兴义瑞金北路店）,,08593667776,3667775
鑫源酒店,,08593526776,15086542103
