姓,名,家庭手机,工作手机
红芙蓉旅馆,,02836206776,
里仁旅社,,15984348551,
大坝农家乐,,15984327748,
怡心楼,,13909038690,
黑龙滩大酒店,,18784428769,13198708997
朱三姐农家乐,,02836301286,15196495574
钓鱼山庄,,02836301518,
心愿旅社,,13678219103,
鑫珑旅社,,15378631803,
静安居旅社（建设路店）,,02836215797,15397706098
奔腾旅社,,15883313318,
静安居旅社（文林路店）,,02836203997,15892708039
斯曼旅社（仁寿大道店）,,18113676338,
老兵客栈,,02836233376,
泰富旅社,,13219457261,
神奇商务宾馆,,02836266369,13350437801
盛景华庭商务酒店,,02836230888,
兴怡旅社,,13890371958,
仁寿宾馆,,02836666303,
茗仕商务酒店,,02836289333,
嘉瑞商务酒店,,02836666198,
遇见主题酒店,,02836333316,
遇见你主题花园,,18628980923,
7天连锁酒店（成都仁寿天梯公园店）,,02836237777,
中城主题酒店,,02836333318,
龙源旅社,,15309036177,
尚城精选酒店,,02836091888,
仁寿县文林镇七天假日酒店,,02836289777,
楠庭酒店,,02836333777,
爱伦酒店,,02836617777,
城市映象酒店,,02836659888,13734914298
贝特商务酒店,,02837334567,
他她主题酒店（仁寿县店）,,02837700777,
双天雅竹精品酒店,,02836333666,
陵楠酒店,,02836639999,
7天连锁酒店（成都仁寿书院路好吃街店）,,02837399777,
华生宾馆,,02836722222,36622222
罗曼主题酒店,,02836682525,
茗流馆酒店,,02836360888,
6118商务宾馆,,02836236118,17381146118
仁和酒店,,02836792588,13778803875
新天地主题酒店,,02836080999,
八点半主题酒店,,02836066662,
川科佳苑公寓,,02836889588,15283746611
美尚君悦酒店,,13990353624,
黑龙滩宾馆,,02836301138,
仁寿县文林镇如家旅社,,18990330344,
蜀帝酒店,,02838275888,13990391382
金马宾馆,,02836204800,36204871
致尚酒店,,02837701818,13778837939
杨金水商务宾馆,,02836066978,13648132163
汇锦酒店,,02836666611,36301888
雙庆假日酒店,,02836220666,
蜀雅商务会所,,13658142064,
中义商务宾馆,,02836247168,13990317341
汉庭（眉山仁寿奎星阁店）,,02836666622,
舒适旅社,,02836246969,18180022925
天街旅社,,02836275973,
盛景丽园酒店,,02836265666,18090068710
家意旅社,,02836204010,
云峰旅馆,,13096077011,
恒8连锁酒店（成都天府国际大学城店）,,02836819888,
怡家连锁酒店（仁寿店）（原陵州大酒店）,,02836211111,
博悦酒店,,02836070777,
卡罗蓝酒店,,13408586622,
天府精品酒店,,02836060988,15882362506
家宾旅社,,02836203449,
柏林精品主题酒店,,02836796666,
公园精品酒店,,02836202333,
祥和宾馆,,02836293079,
兴旺旅社,,02836298516,
锦绣旅社,,18381199321,
松宇旅社,,13890300251,
怡丰商务酒店,,02836288138,
客盈门旅社,,15282363077,
泰福居旅社,,18228512958,
雅格酒店,,02836960820,18990382978
恒扬四季主题酒店,,02836249888,
兴盛旅馆,,13547684565,
后院精品旅社,,02836205948,13388242539
文宫大酒店,,02836771885,
鸟巢旅社,,02836221671,
万豪商务酒店,,02836050809,13350711253
温新旅社,,02836202023,
百乐汇旅社,,13890381200,
风帆酒店,,02836223222,
第一印象商务酒店,,02836888588,
明良旅社,,18113676338,
桂园旅店,,02836292422,
宜居客栈,,13909032817,
黑龙滩怡锦名人酒店,,13688259233,
如归旅社,,18111301718,
仁寿县东昇商务宾馆,,02836172333,
皇家酒店,,02836247777,
玉锦华城商务酒店,,02836666977,18080389525
田园旅社,,18628903337,18080380437
黑龙滩长岛天堂洲际酒店,,02836689999,
罗马主题酒店,,02837393888,
凯斯宾馆,,02836211717,
华苑商务宾馆,,02836333668,
翔鹤宾馆,,13378361260,
黑龙滩森山岭山庄,,13688256289,
红风园茶旅社,,18909031187,
乐山乐水精品酒店,,02836960707,36960808
阳光大酒店,,02836267888,
乔苑旅社,,02836298866,13388255150
馨逸宾馆,,02836248909,13568316249
爱家旅社,,15908140983,
黑龙滩金海湾度假山庄,,02836301583,
金凯瑞商务宾馆,,02836236366,
静逸旅社,,02836888234,
东益德酒店,,02836635555,
欣悦酒店,,02836244666,
恒顺商务酒店,,02837710888,13350437801
瀚邻精品别院,,18111304768,
豪生宾馆,,15983314436,
富豪旅馆,,13340935205,
