姓,名,家庭手机,工作手机
宝瑞商务宾馆,,05304686668,
尚客优快捷酒店（菏泽单县湖西路店）,,05303136222,
速8酒店（单县汽车站店）,,05304343456,
爱琴海商务宾馆,,15253037408,
益家宾馆,,15098231444,15098319571
乐家宾馆,,13181567665,18005401520
南城宾馆,,13385303522,
世兵宾馆,,05304625866,
聚缘宾馆,,13583067101,
乡情商务宾馆,,18375407612,
佳驿宾馆,,05304493333,
悠悦快捷宾馆,,05304762777,
西城宾馆,,05306108949,
金龙宾馆,,05304622220,13061567000
名扬商务宾馆,,05304186677,
南苑宾馆,,05304567778,15562772299
庆丰圆商务宾馆,,15964444808,13953034563
鸿瑞轩商务宾馆,,05304601234,13275303688
爱家宾馆,,15866393567,
百事顺商务酒店,,05304577888,
龙翔宾馆,,13326201579,13258938787
汇佳商务宾馆,,05304501234,
金鹰宾馆,,05304196789,
瑞都宾馆,,05304569777,
太平洋商务宾馆,,05304657778,
好家商务宾馆,,05304609888,
国庆宾馆,,15806760336,
九瑞商务宾馆,,05304668333,
广鑫宾馆,,05304441398,
和平时尚宾馆,,05302099299,
舜师名园商务宾馆,,05304497555,
希望浴池商务宾馆,,15910124321,
卓悦商务宾馆,,05304635333,
怡心居宾馆,,05304654658,
世家宾馆,,05304582789,
海源宾馆,,05306109288,
7天连锁酒店（菏泽单县汽车站店）,,05304629777,4628777
润庭宾馆,,05304687789,
吉星商务宾馆,,05304524444,
温尔顿商务宾馆,,05304666333,
派酒店（文化路菏泽学院店）,,05304773777,
五洲宾馆,,05304277788,
富丽华酒店,,05304385888,
如家快捷酒店（菏泽单县汽车总站店）,,05304654444,
温馨宾馆,,05304567895,
佳悦商务宾馆,,05304503999,
左巷宾馆,,05304672666,
瑞福祥商务酒店,,05304664444,
汉庭（菏泽单县店）,,05304723999,
汉邦宾馆,,05304529999,
和颐商务宾馆,,05304373222,15553044315
琪乐宾馆,,13853034834,
中信商务宾馆,,05308622222,
宜家商务宾馆,,05306108887,
西苑宾馆,,15805302166,18678600345
大浪淘沙洗浴宾馆,,05304628988,
金宇宾馆,,05304664399,15726045555
金都商务宾馆,,05304668518,13181592427
保松商务宾馆,,05304629599,15063468762
新世纪商务宾馆,,18462387000,
湖西宾馆,,05304638660,
刘海宾馆,,05304196688,
晨泰商务宾馆,,05304317999,
瑞远商务宾馆,,05304267333,
云宝商务宾馆,,05304669391,13375409085
阳光商务宾馆,,15554087009,
