姓,名,家庭手机,工作手机
悠然阳光快捷宾馆,,03492228222,
大众旅馆,,13834441865,
艺海公馆,,03492106666,
佳仁快捷宾馆,,13633496589,
顺鑫宾馆,,03492229779,
云龙宾馆,,13546083873,13546081963
万客来旅馆,,03492228199,13363498900
鼎盛宾馆,,03496695001,15340605401
龙泉休闲会馆,,03495558866,
鑫盛宾馆,,18634973487,13934832798
天天快捷主题宾馆,,03497069222,
紫源快捷宾馆,,03497099998,13834423878
怡馨快捷宾馆,,03498170456,15513349788
聚德宾馆,,13663497707,
凯旋商务会馆（客房部）,,03497060999,
金泰宾馆,,13593454120,
虹桥快捷宾馆,,03497077868,18534949928
雅轩宾馆,,03493168358,
滨河湾快捷宾馆,,15392696246,
福兴商务宾馆,,03492086333,
盛苑快捷宾馆,,03495095999,13546795636
恒通招待所,,15935495119,
和谐快捷宾馆,,18234944124,
云山大酒店,,03493030929,
雄城快捷宾馆,,03498199559,
惠通快捷宾馆,,18534983876,
博豪宾馆,,13653491110,
宏瑞主题宾馆,,03495995448,
万鑫宾馆,,03492229480,
8度快捷宾馆,,03497077888,
欣龙商务会馆,,03495960666,
华庭快捷酒店,,03495961777,
黄金海岸休闲会所,,03493030330,
泰鑫商务酒店,,03498022088,18903498046
浩天快捷宾馆,,03498185119,
芒果快捷宾馆,,03495066665,15386750202
源丰快捷宾馆,,13037044978,13037044993
爱家宾馆,,03496611116,
博客商务酒店（火车站店）,,03492225111,
绿洲宾馆,,03498021888,
禾佳快捷宾馆,,03495993187,
金日精品酒店,,03498027666,
宁嘉宾馆,,03493026123,3056333
雅鑫宾馆,,03493037777,
山海商务宾馆,,03497063999,
秦园商务酒店,,03496638999,13613497374
红拉人快捷酒店,,03494158888,5605555
广和宾馆（火车站店）,,15721618069,
晋北会馆,,03498810555,
尚客优连锁酒店（应县金城西街店）,,03495885666,
如一家快捷宾馆,,03496600111,
晋宇快捷宾馆,,03497095666,
朔州市开发区格林快捷宾馆,,03498869666,
雅居快捷宾馆,,13100040455,
新时代4K电影旅馆,,15513349748,18234941282
橙子快捷酒店,,03493776333,
龙泉快捷宾馆,,03492165808,88819888888
裕龙商务快捷酒店,,03496295666,
平安快捷宾馆,,15934493445,15110852416
鸿雅宾馆,,15703492278,18234989521
旺盛宾馆,,03496053779,
塔前宾馆,,03495023836,
大洋商务会馆,,03492033333,
御宸源大酒店,,03498850000,
亿峰商务宾馆,,03492193555,15110801997
平安连锁宾馆,,03493025650,
莲旺轩酒店,,03492222262,
平朔宾馆,,03492052255,
福临门旅馆,,03495665426,13994921966
朔州西易商务会馆,,03492158000,
零点快捷宾馆,,18034993666,13353491000
诚信快捷宾馆,,13593002697,
鑫家旅馆,,18634953163,15703498630
盛唐商务会馆,,03493098888,
北鑫商务会馆（客房部）,,03493029888,15503497777
华臣酒店,,03497089777,13393498001
塞纳河洗浴（客房部）,,03498881666,
夕阳红宾馆,,13834405285,
金地快捷宾馆,,18534988686,
华富宾馆,,13934422569,
崇福堂宾馆,,15103495028,
鸿丰宾馆,,13935209915,
瑞鑫快捷酒店,,03492099333,2098333
海悦山庄,,03498819888,
运发国际大酒店,,03495961129,
永昌快捷宾馆,,03497091333,18234902728
南山美郡快捷酒店,,03496965888,6965222
迎新酒店,,03495026116,
锦玉宾馆,,18634923315,
滨河商务酒店,,03496674666,15835491336
天锦苑大酒店,,03496180168,
博园复式公寓,,18434183888,
宜家宾馆（汽车站店）,,03495026868,15110823177
上上城公寓式宾馆,,03492095777,
如家快捷酒店（朔州区政府店）,,03492223222,
中鹤商务宾馆,,03492098880,
宏达商务宾馆,,03495601500,13834444328
朔州海天海大酒店,,03495980999,
怡然之家快捷宾馆,,03497035558,
振华宾馆,,03496066888,
寻梦宾馆,,03497076768,
常乐快捷宾馆,,13934972151,
劲松快捷酒店,,03492226699,18634920099
祥云宾馆（火车站店）,,03492150866,
迎韵宾馆,,03492028668,
永昌国际酒店,,03498099999,8090000
天源大酒店,,03496053099,
天美宾馆,,03496250966,
悦来客栈,,15333493141,
和谐快捷宾馆,,15340608598,15603499933
旺通苑宾馆,,03492226333,
北站招待所,,03495988408,
泰胜源大酒店,,03498850333,
银星宾馆,,03492032111,
临通快捷宾馆,,03495023855,
昕阳宾馆,,03495080888,
宏通宾馆,,03495056888,
钰泉宾馆,,03492022678,
丽都快捷宾馆,,13191025386,
玉茂宾馆,,18603492253,
贝壳连锁酒店（鄯阳西街店）,,03492228111,
玉龙国际酒店,,03498038888,
大地宾馆,,15513317978,
居然宾馆,,13593495646,
居然快捷宾馆,,03495995678,
泰祥宾馆,,13080399981,
安康宾馆（古北街店）,,03492033518,
云州商务宾馆（二部）,,03493199888,
应州招待所,,13593483262,
吉又祥旅馆,,13994938081,
旺顺源宾馆,,03496660366,
天源快捷宾馆,,03497073789,
仁人宾馆,,03495961122,
微世界主题宾馆,,03495027777,
