姓,名,家庭手机,工作手机
银利宾馆,,09936021888,6096000
鑫昌盛宾馆,,09937272266,7272366
四季阳光宾馆,,09018506889,13999727715
阳光宾馆,,09013387888,18609018920
锦绣源宾馆,,15886939555,15909931293
大西北宾馆,,09013342549,
福丽华大酒店,,09016186666,7636666
华宝宾馆,,09016119990,6116660
和平宾馆,,09936021999,
新世纪大酒店,,09017686888,7686555
海棠假日商务酒店,,09936953333,
万鑫宾馆,,09936926888,15199389222
康馨宾馆,,09016181111,
亚欧酒店,,09013343100,7601000
天博生态大酒店,,09936099588,
爱琴海商务酒店,,09016856665,6281212
蟠桃商务宾馆,,09935119666,13579755236
天福宾馆,,09013348166,
华润宾馆,,09017680456,
东城宾馆,,09013326555,
怡和宾馆（塔南新天地店）,,09016666781,6666782
鸿源酒店,,09937272888,
凯悦宾馆,,09906722000,
嘉辉商务宾馆,,09017630555,
宜家宾馆,,09016528666,6721666
永生源宾馆,,09937501688,7501699
渝龙大酒店,,09928016666,8019666
汇泉丽都宾馆（127团场店）,,09923977679,
佳园宾馆,,09013385168,18197599168
龙禧宾馆,,09016666778,6666779
豪都商务宾馆,,09013684888,
鑫和谐商务宾馆,,09936956555,
瑞都商务宾馆,,09937272777,
世纪商务宾馆,,09936980666,
宏博宾馆,,09017681888,
圣泉宾馆,,09013302666,18099017707
七星宾馆（二店）,,09936966999,18109931271
星期天商务宾馆,,09926875086,15199951119
速8酒店（塔城伊宁路店）,,09016855222,
福源恒大酒店,,09907513888,15309929656
正合大酒店,,09016685222,
丝路明珠大饭店,,09936977999,
信和假日酒店,,09013305888,
沂疆大酒店,,09927352222,7352111
塔城美美主题酒店,,09016856668,
鑫煌商务宾馆,,09906720909,
熊猫主题酒店,,09016245555,
塔城独秀大酒店,,09016666222,6666333
后海假日酒店,,09017691888,7691777
宝利来商务宾馆,,09936930789,13779357045
如意宾馆,,09016116777,18099018989
新瑞宾馆,,09016262666,
汇丰宾馆,,09016666708,
海天商务酒店,,09016666701,
金帝商务宾馆,,09936016222,
七星商务宾馆,,09936056688,
名都商务宾馆,,09928597555,17799258888
安家福宾馆,,09013353299,
民政宾馆（客房部）,,09936020788,
乌苏宾馆,,09927352220,7352221
启丰快捷酒店,,09016187771,
山花酒店,,09017611111,7611801
华宫宾馆,,09016116669,6116667
君邦宾馆,,15009916939,13899927726
华都商务宾馆,,09017665080,18999489073
格格电脑旅馆,,18909935818,
裕福源大酒店,,09017665555,
华港宾馆,,09936098868,
鼎盛大酒店,,09017601777,
海悦商务宾馆,,09927352666,
爱都时尚主题宾馆,,09936059123,
大众快捷宾馆,,09016596910,
丽轩商务宾馆,,09928026999,
鑫悦酒店,,09013363333,
佳苑宾馆,,09936099266,6099766
凤凰主题宾馆,,09016284567,
新侨宾馆,,09927260588,
党校宾馆,,09013307555,
迎宾馆酒店,,09936010588,
鲁福宾馆,,09928505168,
