姓,名,家庭手机,工作手机
晶鑫旅馆,,13720909821,13653406654
单身公寓,,13503549721,
朝阳住宿,,15834030807,
盛和旅馆,,13753472489,
福隆旅馆,,13834138787,15110408459
金穗公寓,,18636907982,
智胜旅馆,,13653406654,
九洲宾馆,,03516777828,
江霞姐妹青年旅舍,,15834023559,
太原有缘青年公寓,,15937225724,
小时代公寓,,15513088982,
新宇日租房,,13994238822,
祥和旅馆,,03516980898,
意顺招待所二部,,13994226341,
瑞兴宾馆,,13753127533,
米拉日租房,,15513817779,
今豪宾馆,,13834144390,
景玉快捷宾馆,,03512325026,15034123801
禧庆日租房,,15296646690,
德一宾馆,,13734006025,
一号公寓（1部）,,13099061117,
君悦宾馆,,18636988182,
兴天锦江商务宾馆,,03517585555,7975555
苹果宾馆,,15234864333,
华明湾休闲酒店,,03517628088,
新纪元大酒店（长风街店）,,03517650088,
千悦浴场（客房部）,,03518821777,
海天玉大酒店,,03515965999,
花众-Hz青年酒店,,03517282777,6633678
太原海霸王酒店,,03513092999,
清香太空舱公寓,,13233411403,13663510433
极有家精品公寓（原悠游太空舱公寓）,,18334735414,15834174136
新华铁道宾馆,,15803435656,
味道园嘉润饭店,,03518618000,
乐家公寓,,15234261277,
格林豪泰商务酒店（太原国贸店）,,03514126998,2521111
云海浴阁公寓,,03517047999,
国营招待所,,13834116753,
快乐驿站,,13934018087,15603586499
吉祥宾馆（火车站店）,,13834505870,15235111102
强胜旅馆,,13233415213,
感觉快捷酒店,,03517029888,6587177
晋阳宾馆,,03516012446,
海岸线酒店,,03515684888,5684999
小米太空舱酒店（长风北美店）,,17635130713,15903435329
漫时光太空舱酒店（长风街北美新天地店）,,18636138986,13453190713
草莓优选自助酒店,,18636810091,
七七七快捷酒店,,03513276777,
清水泉酒店,,03514038999,
常泰公寓,,18635193986,
优家house国际公寓（万科紫台店）,,03515616568,
T5云国际青年旅舍（柳巷食品街店）,,18234176476,
宏图日租房,,15234035900,
金湾精品酒店,,03517865333,
金欣旅馆,,18635198955,
俏岸精品酒店,,03517951777,
新爵快捷酒店,,03512334589,
椰子水晶酒店（太原新建路店）,,03512508568,4043366
悠游太空舱青年旅舍（柳巷店）,,13485343154,13754871828
光大宾馆,,13546374305,
菊红日租房,,13754801018,
微爱主题公寓,,15235197528,18935154313
太原海鸿时尚精品公寓,,15935545296,18703408331
完美太空舱青年旅舍（柳巷店）,,13754871828,
美特美太空舱公寓,,15834119051,
钛丰优格青年胶囊旅舍,,03515277637,
大马宾馆,,15513600444,
爱琴海快捷酒店,,03512270888,
锦江之星（太原府西街万达广场店）,,03515275008-0,52750088123
聚源宾馆,,13327417401,
通达美特美太空舱客栈,,13313518446,
左岸酒店公寓（太原火车站店）,,13623605457,13663421754
维尔酒店公寓,,15035167464,
漫时光太空舱酒店（平阳商贸城店）,,13653412867,13623652867
